#q 	 Ifit_avg 
7.391000e-03 	1.000000e+00 
7.657000e-03 	9.987987e-01 
7.922000e-03 	9.975970e-01 
8.188000e-03 	9.963948e-01 
8.453000e-03 	9.951914e-01 
8.719000e-03 	9.939868e-01 
8.984000e-03 	9.927804e-01 
9.250000e-03 	9.915720e-01 
9.515000e-03 	9.903612e-01 
9.781000e-03 	9.891477e-01 
1.004600e-02 	9.879311e-01 
1.031200e-02 	9.867108e-01 
1.057800e-02 	9.854872e-01 
1.084300e-02 	9.842595e-01 
1.110900e-02 	9.830268e-01 
1.137400e-02 	9.817898e-01 
1.164000e-02 	9.805471e-01 
1.190500e-02 	9.792995e-01 
1.217100e-02 	9.780455e-01 
1.243600e-02 	9.767857e-01 
1.270200e-02 	9.755190e-01 
1.296800e-02 	9.742458e-01 
1.323300e-02 	9.729649e-01 
1.349900e-02 	9.716769e-01 
1.376400e-02 	9.703810e-01 
1.403000e-02 	9.690763e-01 
1.429500e-02 	9.677635e-01 
1.456100e-02 	9.664412e-01 
1.482600e-02 	9.651101e-01 
1.509200e-02 	9.637688e-01 
1.535700e-02 	9.624180e-01 
1.562300e-02 	9.610564e-01 
1.588800e-02 	9.596846e-01 
1.615400e-02 	9.583012e-01 
1.642000e-02 	9.569069e-01 
1.668500e-02 	9.555004e-01 
1.695100e-02 	9.540823e-01 
1.721600e-02 	9.526518e-01 
1.748200e-02 	9.512080e-01 
1.774700e-02 	9.497515e-01 
1.801300e-02 	9.482811e-01 
1.827800e-02 	9.467974e-01 
1.854400e-02 	9.452990e-01 
1.881000e-02 	9.437866e-01 
1.907500e-02 	9.422588e-01 
1.934100e-02 	9.407163e-01 
1.960600e-02 	9.391578e-01 
1.987200e-02 	9.375839e-01 
2.013700e-02 	9.359938e-01 
2.040300e-02 	9.343865e-01 
2.066800e-02 	9.327629e-01 
2.093400e-02 	9.311214e-01 
2.119900e-02 	9.294629e-01 
2.146500e-02 	9.277859e-01 
2.173000e-02 	9.260913e-01 
2.199600e-02 	9.243776e-01 
2.226200e-02 	9.226456e-01 
2.252700e-02 	9.208939e-01 
2.279300e-02 	9.191236e-01 
2.305800e-02 	9.173336e-01 
2.332400e-02 	9.155232e-01 
2.358900e-02 	9.136935e-01 
2.385500e-02 	9.118429e-01 
2.412000e-02 	9.099728e-01 
2.438600e-02 	9.080816e-01 
2.465200e-02 	9.061707e-01 
2.491700e-02 	9.042385e-01 
2.518300e-02 	9.022866e-01 
2.544800e-02 	9.003134e-01 
2.571400e-02 	8.983205e-01 
2.597900e-02 	8.963071e-01 
2.624500e-02 	8.942727e-01 
2.651000e-02 	8.922189e-01 
2.677600e-02 	8.901444e-01 
2.704100e-02 	8.880508e-01 
2.730700e-02 	8.859367e-01 
2.757200e-02 	8.838039e-01 
2.783800e-02 	8.816512e-01 
2.810400e-02 	8.794803e-01 
2.836900e-02 	8.772900e-01 
2.863500e-02 	8.750821e-01 
2.890000e-02 	8.728562e-01 
2.916600e-02 	8.706116e-01 
2.943100e-02 	8.683503e-01 
2.969700e-02 	8.660710e-01 
2.996200e-02 	8.637758e-01 
3.022800e-02 	8.614632e-01 
3.049400e-02 	8.591353e-01 
3.075900e-02 	8.567906e-01 
3.102500e-02 	8.544313e-01 
3.129000e-02 	8.520559e-01 
3.155600e-02 	8.496665e-01 
3.182100e-02 	8.472626e-01 
3.208700e-02 	8.448437e-01 
3.235200e-02 	8.424118e-01 
3.261800e-02 	8.399655e-01 
3.288300e-02 	8.375069e-01 
3.314900e-02 	8.350346e-01 
3.341500e-02 	8.325507e-01 
3.368000e-02 	8.300538e-01 
3.394600e-02 	8.275460e-01 
3.421100e-02 	8.250257e-01 
3.447700e-02 	8.224953e-01 
3.474200e-02 	8.199531e-01 
3.500800e-02 	8.174013e-01 
3.527300e-02 	8.148394e-01 
3.553900e-02 	8.122667e-01 
3.580400e-02 	8.096855e-01 
3.607000e-02 	8.070942e-01 
3.633500e-02 	8.044949e-01 
3.660100e-02 	8.018861e-01 
3.686700e-02 	7.992701e-01 
3.713200e-02 	7.966452e-01 
3.739800e-02 	7.940137e-01 
3.766300e-02 	7.913739e-01 
3.792900e-02 	7.887280e-01 
3.819400e-02 	7.860755e-01 
3.846000e-02 	7.834155e-01 
3.872500e-02 	7.807505e-01 
3.899100e-02 	7.780786e-01 
3.925600e-02 	7.754021e-01 
3.952200e-02 	7.727194e-01 
3.978800e-02 	7.700326e-01 
4.005300e-02 	7.673402e-01 
4.031900e-02 	7.646442e-01 
4.058400e-02 	7.619430e-01 
4.085000e-02 	7.592388e-01 
4.111500e-02 	7.565309e-01 
4.138100e-02 	7.538185e-01 
4.164600e-02 	7.511039e-01 
4.191200e-02 	7.483854e-01 
4.217800e-02 	7.456650e-01 
4.244300e-02 	7.429411e-01 
4.270900e-02 	7.402158e-01 
4.297400e-02 	7.374874e-01 
4.324000e-02 	7.347582e-01 
4.350500e-02 	7.320261e-01 
4.377100e-02 	7.292937e-01 
4.403600e-02 	7.265599e-01 
4.430200e-02 	7.238241e-01 
4.456700e-02 	7.210884e-01 
4.483300e-02 	7.183509e-01 
4.509900e-02 	7.156139e-01 
4.536400e-02 	7.128754e-01 
4.563000e-02 	7.101378e-01 
4.589500e-02 	7.073991e-01 
4.616100e-02 	7.046616e-01 
4.642600e-02 	7.019233e-01 
4.669200e-02 	6.991866e-01 
4.695700e-02 	6.964504e-01 
4.722300e-02 	6.937141e-01 
4.748800e-02 	6.909797e-01 
4.775400e-02 	6.882454e-01 
4.801900e-02 	6.855133e-01 
4.828500e-02 	6.827815e-01 
4.855100e-02 	6.800523e-01 
4.881600e-02 	6.773236e-01 
4.908200e-02 	6.745977e-01 
4.934700e-02 	6.718727e-01 
4.961300e-02 	6.691507e-01 
4.987800e-02 	6.664310e-01 
5.014400e-02 	6.637125e-01 
5.040900e-02 	6.609974e-01 
5.067500e-02 	6.582839e-01 
5.094000e-02 	6.555741e-01 
5.120600e-02 	6.528661e-01 
5.147200e-02 	6.501620e-01 
5.173700e-02 	6.474599e-01 
5.200300e-02 	6.447619e-01 
5.226800e-02 	6.420663e-01 
5.253400e-02 	6.393750e-01 
5.279900e-02 	6.366862e-01 
5.306500e-02 	6.340020e-01 
5.333000e-02 	6.313215e-01 
5.359600e-02 	6.286439e-01 
5.386100e-02 	6.259711e-01 
5.412700e-02 	6.233015e-01 
5.439300e-02 	6.206369e-01 
5.465800e-02 	6.179756e-01 
5.492400e-02 	6.153197e-01 
5.518900e-02 	6.126673e-01 
5.545500e-02 	6.100204e-01 
5.572000e-02 	6.073771e-01 
5.598600e-02 	6.047397e-01 
5.625100e-02 	6.021071e-01 
5.651700e-02 	5.994784e-01 
5.678300e-02 	5.968558e-01 
5.704800e-02 	5.942373e-01 
5.731400e-02 	5.916250e-01 
5.757900e-02 	5.890171e-01 
5.784500e-02 	5.864156e-01 
5.811000e-02 	5.838186e-01 
5.837600e-02 	5.812281e-01 
5.864100e-02 	5.786424e-01 
5.890700e-02 	5.760635e-01 
5.917200e-02 	5.734904e-01 
5.943800e-02 	5.709222e-01 
5.970300e-02 	5.683611e-01 
5.996900e-02 	5.658051e-01 
6.023500e-02 	5.632562e-01 
6.050000e-02 	5.607126e-01 
6.076600e-02 	5.581763e-01 
6.103100e-02 	5.556455e-01 
6.129700e-02 	5.531221e-01 
6.156200e-02 	5.506043e-01 
6.182800e-02 	5.480941e-01 
6.209300e-02 	5.455907e-01 
6.235900e-02 	5.430931e-01 
6.262500e-02 	5.406033e-01 
6.289000e-02 	5.381195e-01 
6.315600e-02 	5.356436e-01 
6.342100e-02 	5.331739e-01 
6.368700e-02 	5.307123e-01 
6.395200e-02 	5.282569e-01 
6.421800e-02 	5.258097e-01 
6.448300e-02 	5.233689e-01 
6.474900e-02 	5.209364e-01 
6.501400e-02 	5.185114e-01 
6.528000e-02 	5.160929e-01 
6.554600e-02 	5.136830e-01 
6.581100e-02 	5.112797e-01 
6.607700e-02 	5.088851e-01 
6.634200e-02 	5.064973e-01 
6.660800e-02 	5.041182e-01 
6.687300e-02 	5.017461e-01 
6.713900e-02 	4.993828e-01 
6.740400e-02 	4.970266e-01 
6.767000e-02 	4.946793e-01 
6.793600e-02 	4.923393e-01 
6.820100e-02 	4.900082e-01 
6.846600e-02 	4.876853e-01 
6.873200e-02 	4.853697e-01 
6.899800e-02 	4.830632e-01 
6.926300e-02 	4.807642e-01 
6.952900e-02 	4.784744e-01 
6.979400e-02 	4.761921e-01 
7.006000e-02 	4.739192e-01 
7.032500e-02 	4.716538e-01 
7.059100e-02 	4.693979e-01 
7.085700e-02 	4.671496e-01 
7.112200e-02 	4.649109e-01 
7.138800e-02 	4.626808e-01 
7.165300e-02 	4.604585e-01 
7.191900e-02 	4.582458e-01 
7.218400e-02 	4.560411e-01 
7.245000e-02 	4.538459e-01 
7.271500e-02 	4.516588e-01 
7.298100e-02 	4.494813e-01 
7.324600e-02 	4.473119e-01 
7.351200e-02 	4.451522e-01 
