#q 	 Ifit_avg 
1.006700e-02 	1.000000e+00 
1.053900e-02 	9.927609e-01 
1.101100e-02 	9.855163e-01 
1.148300e-02 	9.782606e-01 
1.195500e-02 	9.709877e-01 
1.242700e-02 	9.636925e-01 
1.289900e-02 	9.563691e-01 
1.337100e-02 	9.490117e-01 
1.384200e-02 	9.416149e-01 
1.431400e-02 	9.341729e-01 
1.478600e-02 	9.266800e-01 
1.525800e-02 	9.191307e-01 
1.573000e-02 	9.115193e-01 
1.620200e-02 	9.038399e-01 
1.667400e-02 	8.960872e-01 
1.714600e-02 	8.882554e-01 
1.761800e-02 	8.803389e-01 
1.809000e-02 	8.723326e-01 
1.856100e-02 	8.642316e-01 
1.903300e-02 	8.560316e-01 
1.950500e-02 	8.477301e-01 
1.997700e-02 	8.393253e-01 
2.044900e-02 	8.308170e-01 
2.092100e-02 	8.222070e-01 
2.139300e-02 	8.134984e-01 
2.186500e-02 	8.046955e-01 
2.233700e-02 	7.958045e-01 
2.280900e-02 	7.868321e-01 
2.328100e-02 	7.777862e-01 
2.375200e-02 	7.686759e-01 
2.422400e-02 	7.595101e-01 
2.469600e-02 	7.502982e-01 
2.516800e-02 	7.410503e-01 
2.564000e-02 	7.317756e-01 
2.611200e-02 	7.224835e-01 
2.658400e-02 	7.131833e-01 
2.705600e-02 	7.038837e-01 
2.752800e-02 	6.945929e-01 
2.800000e-02 	6.853194e-01 
2.847100e-02 	6.760707e-01 
2.894300e-02 	6.668535e-01 
2.941500e-02 	6.576751e-01 
2.988700e-02 	6.485414e-01 
3.035900e-02 	6.394581e-01 
3.083100e-02 	6.304306e-01 
3.130300e-02 	6.214639e-01 
3.177500e-02 	6.125620e-01 
3.224700e-02 	6.037294e-01 
3.271900e-02 	5.949697e-01 
3.319000e-02 	5.862861e-01 
3.366200e-02 	5.776820e-01 
3.413400e-02 	5.691599e-01 
3.460600e-02 	5.607221e-01 
3.507800e-02 	5.523711e-01 
3.555000e-02 	5.441087e-01 
3.602200e-02 	5.359365e-01 
3.649400e-02 	5.278562e-01 
3.696600e-02 	5.198691e-01 
3.743800e-02 	5.119760e-01 
3.791000e-02 	5.041782e-01 
3.838100e-02 	4.964764e-01 
3.885300e-02 	4.888711e-01 
3.932500e-02 	4.813632e-01 
3.979700e-02 	4.739528e-01 
4.026900e-02 	4.666402e-01 
4.074100e-02 	4.594259e-01 
4.121300e-02 	4.523099e-01 
4.168500e-02 	4.452922e-01 
4.215700e-02 	4.383729e-01 
4.262900e-02 	4.315519e-01 
4.310000e-02 	4.248289e-01 
4.357200e-02 	4.182040e-01 
4.404400e-02 	4.116766e-01 
4.451600e-02 	4.052464e-01 
4.498800e-02 	3.989133e-01 
4.546000e-02 	3.926764e-01 
4.593200e-02 	3.865356e-01 
4.640400e-02 	3.804902e-01 
4.687600e-02 	3.745393e-01 
4.734800e-02 	3.686826e-01 
4.781900e-02 	3.629193e-01 
4.829100e-02 	3.572485e-01 
4.876300e-02 	3.516696e-01 
4.923500e-02 	3.461816e-01 
4.970700e-02 	3.407837e-01 
5.017900e-02 	3.354750e-01 
5.065100e-02 	3.302546e-01 
5.112300e-02 	3.251213e-01 
5.159500e-02 	3.200745e-01 
5.206700e-02 	3.151129e-01 
5.253900e-02 	3.102355e-01 
5.301000e-02 	3.054413e-01 
5.348200e-02 	3.007293e-01 
5.395400e-02 	2.960983e-01 
5.442600e-02 	2.915474e-01 
5.489800e-02 	2.870753e-01 
5.537000e-02 	2.826810e-01 
5.584200e-02 	2.783636e-01 
5.631400e-02 	2.741217e-01 
5.678600e-02 	2.699543e-01 
5.725800e-02 	2.658603e-01 
5.772900e-02 	2.618388e-01 
5.820100e-02 	2.578883e-01 
5.867300e-02 	2.540080e-01 
5.914500e-02 	2.501966e-01 
5.961700e-02 	2.464530e-01 
6.008900e-02 	2.427762e-01 
6.056100e-02 	2.391650e-01 
6.103300e-02 	2.356182e-01 
6.150500e-02 	2.321349e-01 
6.197700e-02 	2.287138e-01 
6.244800e-02 	2.253539e-01 
6.292000e-02 	2.220542e-01 
6.339200e-02 	2.188135e-01 
6.386400e-02 	2.156308e-01 
6.433600e-02 	2.125051e-01 
6.480800e-02 	2.094352e-01 
6.528000e-02 	2.064201e-01 
6.575200e-02 	2.034590e-01 
6.622400e-02 	2.005507e-01 
6.669600e-02 	1.976943e-01 
6.716800e-02 	1.948888e-01 
6.763900e-02 	1.921331e-01 
6.811100e-02 	1.894263e-01 
6.858300e-02 	1.867677e-01 
6.905500e-02 	1.841563e-01 
6.952700e-02 	1.815910e-01 
6.999900e-02 	1.790712e-01 
7.047100e-02 	1.765959e-01 
7.094300e-02 	1.741642e-01 
7.141500e-02 	1.717755e-01 
7.188700e-02 	1.694289e-01 
7.235800e-02 	1.671235e-01 
7.283000e-02 	1.648587e-01 
7.330200e-02 	1.626337e-01 
7.377400e-02 	1.604477e-01 
7.424600e-02 	1.583001e-01 
7.471800e-02 	1.561901e-01 
7.519000e-02 	1.541169e-01 
7.566200e-02 	1.520800e-01 
7.613400e-02 	1.500788e-01 
7.660600e-02 	1.481125e-01 
7.707700e-02 	1.461805e-01 
7.754900e-02 	1.442822e-01 
7.802100e-02 	1.424168e-01 
7.849300e-02 	1.405839e-01 
7.896500e-02 	1.387828e-01 
7.943700e-02 	1.370130e-01 
7.990900e-02 	1.352738e-01 
8.038100e-02 	1.335648e-01 
8.085300e-02 	1.318853e-01 
8.132500e-02 	1.302348e-01 
8.179700e-02 	1.286127e-01 
8.226800e-02 	1.270185e-01 
8.274000e-02 	1.254517e-01 
8.321200e-02 	1.239117e-01 
8.368400e-02 	1.223982e-01 
8.415600e-02 	1.209107e-01 
8.462800e-02 	1.194485e-01 
8.510000e-02 	1.180113e-01 
8.557200e-02 	1.165986e-01 
8.604400e-02 	1.152098e-01 
8.651600e-02 	1.138447e-01 
8.698700e-02 	1.125027e-01 
8.745900e-02 	1.111833e-01 
8.793100e-02 	1.098863e-01 
8.840300e-02 	1.086112e-01 
8.887500e-02 	1.073574e-01 
8.934700e-02 	1.061246e-01 
8.981900e-02 	1.049125e-01 
9.029100e-02 	1.037206e-01 
9.076300e-02 	1.025485e-01 
9.123500e-02 	1.013960e-01 
9.170700e-02 	1.002626e-01 
9.217800e-02 	9.914797e-02 
9.265000e-02 	9.805174e-02 
9.312200e-02 	9.697350e-02 
9.359400e-02 	9.591296e-02 
9.406600e-02 	9.486977e-02 
