#q 	 Ifit_avg 
3.198000e-03 	1.000000e+00 
3.574000e-03 	9.988078e-01 
3.950000e-03 	9.976145e-01 
4.326000e-03 	9.964188e-01 
4.702000e-03 	9.952197e-01 
5.079000e-03 	9.940126e-01 
5.455000e-03 	9.928027e-01 
5.831000e-03 	9.915858e-01 
6.207000e-03 	9.903607e-01 
6.583000e-03 	9.891260e-01 
6.959000e-03 	9.878807e-01 
7.336000e-03 	9.866201e-01 
7.712000e-03 	9.853499e-01 
8.088000e-03 	9.840654e-01 
8.464000e-03 	9.827654e-01 
8.840000e-03 	9.814489e-01 
9.217000e-03 	9.801110e-01 
9.593000e-03 	9.787575e-01 
9.969000e-03 	9.773839e-01 
1.034500e-02 	9.759889e-01 
1.072100e-02 	9.745714e-01 
1.109700e-02 	9.731301e-01 
1.147400e-02 	9.716598e-01 
1.185000e-02 	9.701673e-01 
1.222600e-02 	9.686475e-01 
1.260200e-02 	9.670991e-01 
1.297800e-02 	9.655210e-01 
1.335500e-02 	9.639077e-01 
1.373100e-02 	9.622665e-01 
1.410700e-02 	9.605921e-01 
1.448300e-02 	9.588831e-01 
1.485900e-02 	9.571385e-01 
1.523600e-02 	9.553522e-01 
1.561200e-02 	9.535325e-01 
1.598800e-02 	9.516737e-01 
1.636400e-02 	9.497745e-01 
1.674000e-02 	9.478339e-01 
1.711600e-02 	9.458507e-01 
1.749300e-02 	9.438184e-01 
1.786900e-02 	9.417469e-01 
1.824500e-02 	9.396298e-01 
1.862100e-02 	9.374664e-01 
1.899700e-02 	9.352559e-01 
1.937400e-02 	9.329915e-01 
1.975000e-02 	9.306847e-01 
2.012600e-02 	9.283292e-01 
2.050200e-02 	9.259247e-01 
2.087800e-02 	9.234710e-01 
2.125400e-02 	9.209681e-01 
2.163100e-02 	9.184093e-01 
2.200700e-02 	9.158084e-01 
2.238300e-02 	9.131591e-01 
2.275900e-02 	9.104620e-01 
2.313500e-02 	9.077175e-01 
2.351200e-02 	9.049190e-01 
2.388800e-02 	9.020821e-01 
2.426400e-02 	8.992004e-01 
2.464000e-02 	8.962748e-01 
2.501600e-02 	8.933062e-01 
2.539200e-02 	8.902955e-01 
2.576900e-02 	8.872357e-01 
2.614500e-02 	8.841439e-01 
2.652100e-02 	8.810131e-01 
2.689700e-02 	8.778444e-01 
2.727300e-02 	8.746386e-01 
2.764900e-02 	8.713969e-01 
2.802600e-02 	8.681114e-01 
2.840200e-02 	8.648007e-01 
2.877800e-02 	8.614570e-01 
2.915400e-02 	8.580813e-01 
2.953000e-02 	8.546747e-01 
2.990700e-02 	8.512289e-01 
3.028300e-02 	8.477632e-01 
3.065900e-02 	8.442695e-01 
3.103500e-02 	8.407488e-01 
3.141100e-02 	8.372019e-01 
3.178700e-02 	8.336299e-01 
3.216400e-02 	8.300241e-01 
3.254000e-02 	8.264046e-01 
3.291600e-02 	8.227627e-01 
3.329200e-02 	8.190994e-01 
3.366800e-02 	8.154155e-01 
3.404400e-02 	8.117119e-01 
3.442100e-02 	8.079797e-01 
3.479700e-02 	8.042393e-01 
3.517300e-02 	8.004819e-01 
3.554900e-02 	7.967082e-01 
3.592500e-02 	7.929189e-01 
3.630200e-02 	7.891048e-01 
3.667800e-02 	7.852869e-01 
3.705400e-02 	7.814558e-01 
3.743000e-02 	7.776123e-01 
3.780600e-02 	7.737570e-01 
3.818200e-02 	7.698906e-01 
3.855900e-02 	7.660035e-01 
3.893500e-02 	7.621170e-01 
3.931100e-02 	7.582214e-01 
3.968700e-02 	7.543175e-01 
4.006300e-02 	7.504057e-01 
4.043900e-02 	7.464866e-01 
4.081600e-02 	7.425504e-01 
4.119200e-02 	7.386184e-01 
4.156800e-02 	7.346808e-01 
4.194400e-02 	7.307381e-01 
4.232000e-02 	7.267908e-01 
4.269600e-02 	7.228395e-01 
4.307300e-02 	7.188742e-01 
4.344900e-02 	7.149162e-01 
4.382500e-02 	7.109556e-01 
4.420100e-02 	7.069928e-01 
4.457700e-02 	7.030282e-01 
4.495300e-02 	6.990622e-01 
4.533000e-02 	6.950847e-01 
4.570600e-02 	6.911173e-01 
4.608200e-02 	6.871498e-01 
4.645800e-02 	6.831827e-01 
4.683400e-02 	6.792162e-01 
4.721000e-02 	6.752510e-01 
4.758700e-02 	6.712767e-01 
4.796300e-02 	6.673148e-01 
4.833900e-02 	6.633552e-01 
4.871500e-02 	6.593983e-01 
4.909100e-02 	6.554444e-01 
4.946700e-02 	6.514939e-01 
4.984300e-02 	6.475472e-01 
5.022000e-02 	6.435942e-01 
5.059600e-02 	6.396562e-01 
5.097200e-02 	6.357230e-01 
5.134800e-02 	6.317949e-01 
5.172400e-02 	6.278725e-01 
5.210000e-02 	6.239558e-01 
5.247700e-02 	6.200350e-01 
5.285300e-02 	6.161312e-01 
5.322900e-02 	6.122342e-01 
5.360500e-02 	6.083445e-01 
5.398100e-02 	6.044623e-01 
5.435700e-02 	6.005880e-01 
5.473400e-02 	5.967115e-01 
5.511000e-02 	5.928538e-01 
5.548600e-02 	5.890048e-01 
5.586200e-02 	5.851648e-01 
5.623800e-02 	5.813342e-01 
5.661400e-02 	5.775132e-01 
5.699000e-02 	5.737021e-01 
5.736700e-02 	5.698911e-01 
5.774300e-02 	5.661007e-01 
5.811900e-02 	5.623211e-01 
5.849500e-02 	5.585526e-01 
5.887100e-02 	5.547953e-01 
5.924700e-02 	5.510495e-01 
5.962300e-02 	5.473155e-01 
6.000000e-02 	5.435836e-01 
6.037600e-02 	5.398739e-01 
6.075200e-02 	5.361768e-01 
6.112800e-02 	5.324924e-01 
6.150400e-02 	5.288210e-01 
6.188000e-02 	5.251628e-01 
6.225700e-02 	5.215085e-01 
6.263300e-02 	5.178775e-01 
6.300900e-02 	5.142605e-01 
6.338500e-02 	5.106576e-01 
6.376100e-02 	5.070690e-01 
6.413700e-02 	5.034949e-01 
6.451300e-02 	4.999356e-01 
6.488900e-02 	4.963913e-01 
6.526600e-02 	4.928527e-01 
6.564200e-02 	4.893390e-01 
6.601800e-02 	4.858408e-01 
6.639400e-02 	4.823583e-01 
6.677000e-02 	4.788917e-01 
6.714600e-02 	4.754412e-01 
6.752200e-02 	4.720069e-01 
6.789900e-02 	4.685800e-01 
6.827500e-02 	4.651787e-01 
6.865100e-02 	4.617941e-01 
6.902700e-02 	4.584264e-01 
6.940300e-02 	4.550757e-01 
6.977900e-02 	4.517423e-01 
7.015500e-02 	4.484262e-01 
7.053200e-02 	4.451189e-01 
7.090800e-02 	4.418380e-01 
7.128400e-02 	4.385748e-01 
7.166000e-02 	4.353295e-01 
7.203600e-02 	4.321020e-01 
7.241200e-02 	4.288926e-01 
7.278800e-02 	4.257013e-01 
7.316400e-02 	4.225282e-01 
7.354100e-02 	4.193650e-01 
7.391700e-02 	4.162287e-01 
7.429300e-02 	4.131108e-01 
7.466900e-02 	4.100116e-01 
7.504500e-02 	4.069310e-01 
7.542100e-02 	4.038693e-01 
7.579700e-02 	4.008264e-01 
7.617300e-02 	3.978024e-01 
7.655000e-02 	3.947894e-01 
7.692600e-02 	3.918034e-01 
7.730200e-02 	3.888364e-01 
7.767800e-02 	3.858883e-01 
7.805400e-02 	3.829593e-01 
7.843000e-02 	3.800492e-01 
7.880600e-02 	3.771583e-01 
7.918200e-02 	3.742863e-01 
7.955900e-02 	3.714260e-01 
7.993500e-02 	3.685923e-01 
8.031100e-02 	3.657777e-01 
8.068700e-02 	3.629823e-01 
8.106300e-02 	3.602060e-01 
8.143900e-02 	3.574489e-01 
8.181500e-02 	3.547110e-01 
8.219100e-02 	3.519923e-01 
8.256700e-02 	3.492927e-01 
8.294400e-02 	3.466052e-01 
8.332000e-02 	3.439438e-01 
8.369600e-02 	3.413014e-01 
8.407200e-02 	3.386781e-01 
8.444800e-02 	3.360736e-01 
8.482400e-02 	3.334880e-01 
8.520000e-02 	3.309212e-01 
8.557600e-02 	3.283733e-01 
8.595200e-02 	3.258440e-01 
8.632900e-02 	3.233268e-01 
8.670500e-02 	3.208350e-01 
8.708100e-02 	3.183618e-01 
8.745700e-02 	3.159072e-01 
8.783300e-02 	3.134710e-01 
8.820900e-02 	3.110534e-01 
8.858500e-02 	3.086541e-01 
8.896100e-02 	3.062731e-01 
8.933700e-02 	3.039105e-01 
8.971300e-02 	3.015660e-01 
9.009000e-02 	2.992335e-01 
9.046600e-02 	2.969253e-01 
9.084200e-02 	2.946351e-01 
9.121800e-02 	2.923628e-01 
9.159400e-02 	2.901083e-01 
9.197000e-02 	2.878717e-01 
9.234600e-02 	2.856527e-01 
9.272200e-02 	2.834515e-01 
9.309800e-02 	2.812678e-01 
9.347400e-02 	2.791017e-01 
9.385000e-02 	2.769530e-01 
9.422700e-02 	2.748161e-01 
9.460300e-02 	2.727022e-01 
9.497900e-02 	2.706054e-01 
9.535500e-02 	2.685258e-01 
9.573100e-02 	2.664631e-01 
9.610700e-02 	2.644173e-01 
9.648300e-02 	2.623883e-01 
9.685900e-02 	2.603760e-01 
9.723500e-02 	2.583804e-01 
9.761100e-02 	2.564012e-01 
9.798700e-02 	2.544385e-01 
9.836400e-02 	2.524869e-01 
9.874000e-02 	2.505568e-01 
9.911600e-02 	2.486429e-01 
9.949200e-02 	2.467451e-01 
9.986800e-02 	2.448633e-01 
1.002440e-01 	2.429975e-01 
1.006200e-01 	2.411474e-01 
1.009960e-01 	2.393132e-01 
1.013720e-01 	2.374946e-01 
1.017480e-01 	2.356917e-01 
1.021240e-01 	2.339042e-01 
1.025000e-01 	2.321322e-01 
1.028760e-01 	2.303753e-01 
1.032520e-01 	2.286336e-01 
1.036290e-01 	2.269024e-01 
1.040050e-01 	2.251907e-01 
1.043810e-01 	2.234938e-01 
1.047570e-01 	2.218115e-01 
1.051330e-01 	2.201439e-01 
1.055090e-01 	2.184907e-01 
1.058850e-01 	2.168520e-01 
1.062610e-01 	2.152275e-01 
1.066370e-01 	2.136171e-01 
1.070130e-01 	2.120209e-01 
1.073890e-01 	2.104387e-01 
1.077650e-01 	2.088703e-01 
1.081410e-01 	2.073158e-01 
1.085170e-01 	2.057749e-01 
1.088940e-01 	2.042436e-01 
1.092700e-01 	2.027298e-01 
1.096460e-01 	2.012295e-01 
1.100220e-01 	1.997425e-01 
1.103980e-01 	1.982686e-01 
1.107740e-01 	1.968079e-01 
1.111500e-01 	1.953602e-01 
1.115260e-01 	1.939253e-01 
1.119020e-01 	1.925033e-01 
1.122780e-01 	1.910939e-01 
1.126540e-01 	1.896971e-01 
1.130300e-01 	1.883128e-01 
1.134060e-01 	1.869408e-01 
1.137820e-01 	1.855811e-01 
1.141580e-01 	1.842336e-01 
1.145340e-01 	1.828982e-01 
1.149100e-01 	1.815748e-01 
1.152860e-01 	1.802633e-01 
1.156620e-01 	1.789636e-01 
1.160380e-01 	1.776756e-01 
1.164140e-01 	1.763992e-01 
1.167910e-01 	1.751310e-01 
1.171670e-01 	1.738776e-01 
1.175420e-01 	1.726387e-01 
1.179190e-01 	1.714046e-01 
1.182950e-01 	1.701848e-01 
1.186710e-01 	1.689761e-01 
1.190470e-01 	1.677784e-01 
1.194230e-01 	1.665914e-01 
1.197990e-01 	1.654153e-01 
1.201750e-01 	1.642497e-01 
1.205510e-01 	1.630948e-01 
1.209270e-01 	1.619503e-01 
1.213030e-01 	1.608162e-01 
1.216790e-01 	1.596924e-01 
1.220550e-01 	1.585789e-01 
1.224310e-01 	1.574755e-01 
1.228070e-01 	1.563821e-01 
1.231830e-01 	1.552987e-01 
1.235590e-01 	1.542252e-01 
1.239350e-01 	1.531615e-01 
1.243110e-01 	1.521075e-01 
1.246870e-01 	1.510631e-01 
1.250630e-01 	1.500282e-01 
1.254390e-01 	1.490028e-01 
1.258150e-01 	1.479867e-01 
1.261910e-01 	1.469798e-01 
1.265670e-01 	1.459822e-01 
1.269430e-01 	1.449936e-01 
1.273190e-01 	1.440140e-01 
1.276950e-01 	1.430433e-01 
1.280710e-01 	1.420815e-01 
1.284470e-01 	1.411284e-01 
1.288230e-01 	1.401839e-01 
1.291990e-01 	1.392479e-01 
1.295750e-01 	1.383205e-01 
1.299510e-01 	1.374014e-01 
1.303270e-01 	1.364907e-01 
1.307030e-01 	1.355882e-01 
1.310790e-01 	1.346939e-01 
1.314550e-01 	1.338078e-01 
1.318310e-01 	1.329296e-01 
1.322070e-01 	1.320595e-01 
1.325830e-01 	1.311973e-01 
1.329590e-01 	1.303430e-01 
1.333350e-01 	1.294964e-01 
1.337110e-01 	1.286576e-01 
1.340870e-01 	1.278264e-01 
1.344630e-01 	1.270028e-01 
1.348390e-01 	1.261866e-01 
1.352150e-01 	1.253779e-01 
1.355910e-01 	1.245766e-01 
1.359670e-01 	1.237825e-01 
1.363430e-01 	1.229956e-01 
1.367190e-01 	1.222158e-01 
1.370950e-01 	1.214430e-01 
1.374710e-01 	1.206773e-01 
1.378470e-01 	1.199184e-01 
1.382230e-01 	1.191664e-01 
1.385990e-01 	1.184212e-01 
1.389750e-01 	1.176827e-01 
1.393510e-01 	1.169508e-01 
1.397270e-01 	1.162256e-01 
1.401030e-01 	1.155069e-01 
1.404790e-01 	1.147946e-01 
1.408550e-01 	1.140887e-01 
1.412310e-01 	1.133892e-01 
1.416070e-01 	1.126960e-01 
1.419830e-01 	1.120090e-01 
1.423590e-01 	1.113281e-01 
1.427350e-01 	1.106534e-01 
1.431110e-01 	1.099847e-01 
1.434870e-01 	1.093220e-01 
1.438630e-01 	1.086653e-01 
1.442390e-01 	1.080145e-01 
1.446140e-01 	1.073711e-01 
1.449900e-01 	1.067319e-01 
1.453660e-01 	1.060983e-01 
1.457420e-01 	1.054703e-01 
1.461180e-01 	1.048480e-01 
1.464940e-01 	1.042312e-01 
1.468700e-01 	1.036198e-01 
1.472460e-01 	1.030138e-01 
1.476220e-01 	1.024132e-01 
1.479980e-01 	1.018179e-01 
1.483740e-01 	1.012278e-01 
1.487500e-01 	1.006429e-01 
1.491260e-01 	1.000632e-01 
1.495020e-01 	9.948858e-02 
1.498780e-01 	9.891903e-02 
1.502540e-01 	9.835450e-02 
1.506300e-01 	9.779495e-02 
1.510050e-01 	9.724180e-02 
1.513820e-01 	9.669060e-02 
1.517570e-01 	9.614717e-02 
1.521330e-01 	9.560708e-02 
1.525090e-01 	9.507175e-02 
1.528850e-01 	9.454114e-02 
1.532610e-01 	9.401519e-02 
1.536370e-01 	9.349388e-02 
1.540130e-01 	9.297715e-02 
1.543890e-01 	9.246495e-02 
1.547650e-01 	9.195725e-02 
1.551410e-01 	9.145400e-02 
1.555170e-01 	9.095516e-02 
1.558930e-01 	9.046068e-02 
1.562690e-01 	8.997051e-02 
1.566440e-01 	8.948591e-02 
1.570200e-01 	8.900424e-02 
1.573960e-01 	8.852675e-02 
1.577720e-01 	8.805341e-02 
1.581480e-01 	8.758416e-02 
1.585240e-01 	8.711896e-02 
1.589000e-01 	8.665777e-02 
