#q 	 Ifit_avg 
2.600000e-03 	1.000000e+00 
2.732000e-03 	9.997354e-01 
2.863000e-03 	9.994708e-01 
2.995000e-03 	9.992061e-01 
3.126000e-03 	9.989414e-01 
3.258000e-03 	9.986765e-01 
3.389000e-03 	9.984116e-01 
3.521000e-03 	9.981465e-01 
3.652000e-03 	9.978813e-01 
3.784000e-03 	9.976159e-01 
3.915000e-03 	9.973502e-01 
4.047000e-03 	9.970844e-01 
4.178000e-03 	9.968183e-01 
4.310000e-03 	9.965519e-01 
4.442000e-03 	9.962852e-01 
4.573000e-03 	9.960181e-01 
4.705000e-03 	9.957507e-01 
4.836000e-03 	9.954830e-01 
4.968000e-03 	9.952148e-01 
5.099000e-03 	9.949462e-01 
5.231000e-03 	9.946772e-01 
5.362000e-03 	9.944076e-01 
5.494000e-03 	9.941376e-01 
5.625000e-03 	9.938671e-01 
5.757000e-03 	9.935960e-01 
5.889000e-03 	9.933243e-01 
6.020000e-03 	9.930521e-01 
6.152000e-03 	9.927792e-01 
6.283000e-03 	9.925057e-01 
6.415000e-03 	9.922315e-01 
6.546000e-03 	9.919566e-01 
6.678000e-03 	9.916810e-01 
6.809000e-03 	9.914047e-01 
6.941000e-03 	9.911276e-01 
7.072000e-03 	9.908497e-01 
7.204000e-03 	9.905710e-01 
7.335000e-03 	9.902915e-01 
7.467000e-03 	9.900111e-01 
7.599000e-03 	9.897298e-01 
7.730000e-03 	9.894476e-01 
7.862000e-03 	9.891645e-01 
7.993000e-03 	9.888804e-01 
8.125000e-03 	9.885953e-01 
8.256000e-03 	9.883093e-01 
8.388000e-03 	9.880222e-01 
8.519000e-03 	9.877340e-01 
8.651000e-03 	9.874448e-01 
8.782000e-03 	9.871545e-01 
8.914000e-03 	9.868630e-01 
9.045000e-03 	9.865704e-01 
9.177000e-03 	9.862766e-01 
9.309000e-03 	9.859817e-01 
9.440000e-03 	9.856855e-01 
9.572000e-03 	9.853880e-01 
9.703000e-03 	9.850893e-01 
9.835000e-03 	9.847893e-01 
9.966000e-03 	9.844879e-01 
1.009800e-02 	9.841852e-01 
1.022900e-02 	9.838813e-01 
1.036100e-02 	9.835757e-01 
1.049200e-02 	9.832689e-01 
1.062400e-02 	9.829607e-01 
1.075600e-02 	9.826508e-01 
1.088700e-02 	9.823397e-01 
1.101900e-02 	9.820268e-01 
1.115000e-02 	9.817126e-01 
1.128200e-02 	9.813969e-01 
1.141300e-02 	9.810793e-01 
1.154500e-02 	9.807603e-01 
1.167600e-02 	9.804395e-01 
1.180800e-02 	9.801173e-01 
1.193900e-02 	9.797934e-01 
1.207100e-02 	9.794675e-01 
1.220200e-02 	9.791401e-01 
1.233400e-02 	9.788108e-01 
1.246600e-02 	9.784799e-01 
1.259700e-02 	9.781472e-01 
1.272900e-02 	9.778125e-01 
1.286000e-02 	9.774761e-01 
1.299200e-02 	9.771376e-01 
1.312300e-02 	9.767975e-01 
1.325500e-02 	9.764554e-01 
1.338600e-02 	9.761112e-01 
1.351800e-02 	9.757652e-01 
1.364900e-02 	9.754170e-01 
1.378100e-02 	9.750670e-01 
1.391200e-02 	9.747150e-01 
1.404400e-02 	9.743606e-01 
1.417600e-02 	9.740045e-01 
1.430700e-02 	9.736459e-01 
1.443900e-02 	9.732855e-01 
1.457000e-02 	9.729229e-01 
1.470200e-02 	9.725578e-01 
1.483300e-02 	9.721908e-01 
1.496500e-02 	9.718213e-01 
1.509600e-02 	9.714498e-01 
1.522800e-02 	9.710761e-01 
1.535900e-02 	9.706997e-01 
1.549100e-02 	9.703213e-01 
1.562300e-02 	9.699402e-01 
1.575400e-02 	9.695571e-01 
1.588600e-02 	9.691715e-01 
1.601700e-02 	9.687833e-01 
1.614900e-02 	9.683928e-01 
1.628000e-02 	9.679996e-01 
1.641200e-02 	9.676042e-01 
1.654300e-02 	9.672063e-01 
1.667500e-02 	9.668055e-01 
1.680600e-02 	9.664024e-01 
1.693800e-02 	9.659965e-01 
1.706900e-02 	9.655882e-01 
1.720100e-02 	9.651773e-01 
1.733300e-02 	9.647633e-01 
1.746400e-02 	9.643471e-01 
1.759600e-02 	9.639277e-01 
1.772700e-02 	9.635060e-01 
1.785900e-02 	9.630815e-01 
1.799000e-02 	9.626538e-01 
1.812200e-02 	9.622237e-01 
1.825300e-02 	9.617908e-01 
1.838500e-02 	9.613546e-01 
1.851600e-02 	9.609159e-01 
1.864800e-02 	9.604740e-01 
1.877900e-02 	9.600294e-01 
1.891100e-02 	9.595816e-01 
1.904300e-02 	9.591311e-01 
1.917400e-02 	9.586776e-01 
1.930600e-02 	9.582207e-01 
1.943700e-02 	9.577611e-01 
1.956900e-02 	9.572981e-01 
1.970000e-02 	9.568323e-01 
1.983200e-02 	9.563634e-01 
1.996300e-02 	9.558910e-01 
2.009500e-02 	9.554158e-01 
2.022600e-02 	9.549371e-01 
2.035800e-02 	9.544555e-01 
2.048900e-02 	9.539706e-01 
2.062100e-02 	9.534821e-01 
