#q 	 Ifit_avg 
6.026000e-03 	1.000000e+00 
6.257000e-03 	9.977691e-01 
6.488000e-03 	9.955373e-01 
6.720000e-03 	9.933039e-01 
6.951000e-03 	9.910678e-01 
7.183000e-03 	9.888280e-01 
7.414000e-03 	9.865839e-01 
7.646000e-03 	9.843345e-01 
7.877000e-03 	9.820787e-01 
8.109000e-03 	9.798159e-01 
8.340000e-03 	9.775452e-01 
8.572000e-03 	9.752654e-01 
8.803000e-03 	9.729760e-01 
9.034000e-03 	9.706759e-01 
9.266000e-03 	9.683642e-01 
9.497000e-03 	9.660399e-01 
9.729000e-03 	9.637024e-01 
9.960000e-03 	9.613507e-01 
1.019200e-02 	9.589834e-01 
1.042300e-02 	9.566010e-01 
1.065500e-02 	9.542006e-01 
1.088600e-02 	9.517835e-01 
1.111800e-02 	9.493467e-01 
1.134900e-02 	9.468912e-01 
1.158000e-02 	9.444143e-01 
1.181200e-02 	9.419170e-01 
1.204300e-02 	9.393964e-01 
1.227500e-02 	9.368537e-01 
1.250600e-02 	9.342859e-01 
1.273800e-02 	9.316942e-01 
1.296900e-02 	9.290755e-01 
1.320100e-02 	9.264302e-01 
1.343200e-02 	9.237583e-01 
1.366400e-02 	9.210569e-01 
1.389500e-02 	9.183272e-01 
1.412600e-02 	9.155662e-01 
1.435800e-02 	9.127753e-01 
1.458900e-02 	9.099514e-01 
1.482100e-02 	9.070962e-01 
1.505200e-02 	9.042066e-01 
1.528400e-02 	9.012843e-01 
1.551500e-02 	8.983264e-01 
1.574700e-02 	8.953350e-01 
1.597800e-02 	8.923070e-01 
1.620900e-02 	8.892448e-01 
1.644100e-02 	8.861454e-01 
1.667200e-02 	8.830113e-01 
1.690400e-02 	8.798399e-01 
1.713500e-02 	8.766325e-01 
1.736700e-02 	8.733906e-01 
1.759800e-02 	8.701115e-01 
1.783000e-02 	8.667985e-01 
1.806100e-02 	8.634490e-01 
1.829200e-02 	8.600663e-01 
1.852400e-02 	8.566481e-01 
1.875500e-02 	8.531977e-01 
1.898700e-02 	8.497129e-01 
1.921800e-02 	8.461974e-01 
1.945000e-02 	8.426489e-01 
1.968100e-02 	8.390713e-01 
1.991300e-02 	8.354623e-01 
2.014400e-02 	8.318260e-01 
2.037600e-02 	8.281601e-01 
2.060700e-02 	8.244671e-01 
2.083800e-02 	8.207497e-01 
2.107000e-02 	8.170057e-01 
2.130100e-02 	8.132392e-01 
2.153300e-02 	8.094481e-01 
2.176400e-02 	8.056367e-01 
2.199600e-02 	8.018027e-01 
