#q 	 Ifit_avg 
4.768000e-03 	1.000000e+00 
5.064000e-03 	9.948247e-01 
5.361000e-03 	9.896436e-01 
5.658000e-03 	9.844512e-01 
5.954000e-03 	9.792416e-01 
6.251000e-03 	9.740093e-01 
6.548000e-03 	9.687484e-01 
6.845000e-03 	9.634531e-01 
7.141000e-03 	9.581180e-01 
7.438000e-03 	9.527370e-01 
7.735000e-03 	9.473047e-01 
8.032000e-03 	9.418151e-01 
8.328000e-03 	9.362628e-01 
8.625000e-03 	9.306418e-01 
8.922000e-03 	9.249466e-01 
9.219000e-03 	9.191713e-01 
9.515000e-03 	9.133103e-01 
9.812000e-03 	9.073579e-01 
1.010900e-02 	9.013073e-01 
1.040500e-02 	8.951555e-01 
1.070200e-02 	8.888953e-01 
1.099900e-02 	8.825194e-01 
1.129600e-02 	8.760274e-01 
1.159200e-02 	8.694136e-01 
1.188900e-02 	8.626735e-01 
1.218600e-02 	8.558107e-01 
1.248300e-02 	8.488238e-01 
1.277900e-02 	8.417122e-01 
1.307600e-02 	8.344839e-01 
1.337300e-02 	8.271407e-01 
1.367000e-02 	8.196850e-01 
1.396600e-02 	8.121278e-01 
1.426300e-02 	8.044727e-01 
1.456000e-02 	7.967240e-01 
1.485700e-02 	7.888941e-01 
1.515300e-02 	7.809880e-01 
1.545000e-02 	7.730106e-01 
1.574700e-02 	7.649751e-01 
1.604300e-02 	7.568839e-01 
1.634000e-02 	7.487503e-01 
1.663700e-02 	7.405794e-01 
1.693400e-02 	7.323763e-01 
1.723000e-02 	7.241540e-01 
1.752700e-02 	7.159171e-01 
1.782400e-02 	7.076700e-01 
1.812100e-02 	6.994251e-01 
1.841700e-02 	6.911860e-01 
1.871400e-02 	6.829560e-01 
1.901100e-02 	6.747463e-01 
1.930800e-02 	6.665595e-01 
1.960400e-02 	6.583976e-01 
1.990100e-02 	6.502708e-01 
2.019800e-02 	6.421808e-01 
2.049400e-02 	6.341288e-01 
2.079100e-02 	6.261241e-01 
2.108800e-02 	6.181675e-01 
2.138500e-02 	6.102595e-01 
2.168100e-02 	6.024086e-01 
2.197800e-02 	5.946150e-01 
2.227500e-02 	5.868787e-01 
2.257200e-02 	5.792076e-01 
2.286800e-02 	5.716014e-01 
2.316500e-02 	5.640598e-01 
2.346200e-02 	5.565900e-01 
2.375900e-02 	5.491888e-01 
2.405500e-02 	5.418630e-01 
2.435200e-02 	5.346117e-01 
2.464900e-02 	5.274342e-01 
2.494600e-02 	5.203365e-01 
2.524200e-02 	5.133175e-01 
2.553900e-02 	5.063761e-01 
2.583600e-02 	4.995179e-01 
2.613200e-02 	4.927415e-01 
2.642900e-02 	4.860454e-01 
2.672600e-02 	4.794349e-01 
2.702300e-02 	4.729083e-01 
2.731900e-02 	4.664641e-01 
2.761600e-02 	4.601068e-01 
2.791300e-02 	4.538349e-01 
2.821000e-02 	4.476464e-01 
2.850600e-02 	4.415458e-01 
2.880300e-02 	4.355311e-01 
2.910000e-02 	4.296003e-01 
2.939600e-02 	4.237576e-01 
2.969300e-02 	4.180008e-01 
2.999000e-02 	4.123279e-01 
3.028700e-02 	4.067426e-01 
3.058300e-02 	4.012426e-01 
3.088000e-02 	3.958260e-01 
3.117700e-02 	3.904960e-01 
3.147400e-02 	3.852486e-01 
3.177000e-02 	3.800868e-01 
3.206700e-02 	3.750084e-01 
3.236400e-02 	3.700112e-01 
3.266100e-02 	3.650978e-01 
3.295700e-02 	3.602659e-01 
3.325400e-02 	3.555131e-01 
3.355100e-02 	3.508419e-01 
3.384800e-02 	3.462498e-01 
3.414400e-02 	3.417345e-01 
3.444100e-02 	3.372982e-01 
3.473800e-02 	3.329383e-01 
3.503500e-02 	3.286524e-01 
3.533100e-02 	3.244424e-01 
3.562800e-02 	3.203060e-01 
3.592500e-02 	3.162406e-01 
3.622100e-02 	3.122481e-01 
3.651800e-02 	3.083258e-01 
3.681500e-02 	3.044714e-01 
3.711200e-02 	3.006865e-01 
3.740800e-02 	2.969687e-01 
3.770500e-02 	2.933155e-01 
3.800200e-02 	2.897282e-01 
3.829900e-02 	2.862047e-01 
3.859500e-02 	2.827425e-01 
3.889200e-02 	2.793430e-01 
3.918900e-02 	2.760025e-01 
3.948600e-02 	2.727224e-01 
3.978200e-02 	2.695003e-01 
4.007900e-02 	2.663342e-01 
4.037600e-02 	2.632249e-01 
4.067200e-02 	2.601704e-01 
4.096900e-02 	2.571685e-01 
4.126600e-02 	2.542201e-01 
4.156300e-02 	2.513233e-01 
4.185900e-02 	2.484759e-01 
4.215600e-02 	2.456788e-01 
4.245300e-02 	2.429300e-01 
4.275000e-02 	2.402275e-01 
4.304600e-02 	2.375721e-01 
4.334300e-02 	2.349619e-01 
4.364000e-02 	2.323951e-01 
4.393700e-02 	2.298723e-01 
4.423300e-02 	2.273918e-01 
4.453000e-02 	2.249518e-01 
4.482700e-02 	2.225529e-01 
4.512300e-02 	2.201935e-01 
4.542000e-02 	2.178718e-01 
4.571700e-02 	2.155887e-01 
4.601400e-02 	2.133425e-01 
4.631000e-02 	2.111316e-01 
4.660700e-02 	2.089566e-01 
4.690400e-02 	2.068154e-01 
4.720100e-02 	2.047086e-01 
4.749700e-02 	2.026348e-01 
4.779400e-02 	2.005925e-01 
4.809100e-02 	1.985824e-01 
4.838700e-02 	1.966032e-01 
4.868400e-02 	1.946535e-01 
4.898100e-02 	1.927340e-01 
4.927800e-02 	1.908432e-01 
4.957500e-02 	1.889800e-01 
4.987100e-02 	1.871451e-01 
5.016800e-02 	1.853372e-01 
5.046500e-02 	1.835552e-01 
5.076100e-02 	1.817996e-01 
5.105800e-02 	1.800693e-01 
5.135500e-02 	1.783632e-01 
5.165200e-02 	1.766819e-01 
5.194800e-02 	1.750244e-01 
5.224500e-02 	1.733897e-01 
5.254200e-02 	1.717783e-01 
5.283900e-02 	1.701893e-01 
5.313500e-02 	1.686216e-01 
5.343200e-02 	1.670760e-01 
5.372900e-02 	1.655514e-01 
5.402600e-02 	1.640471e-01 
5.432200e-02 	1.625635e-01 
5.461900e-02 	1.610999e-01 
5.491600e-02 	1.596553e-01 
5.521200e-02 	1.582302e-01 
5.550900e-02 	1.568235e-01 
5.580600e-02 	1.554358e-01 
5.610300e-02 	1.540662e-01 
5.639900e-02 	1.527140e-01 
5.669600e-02 	1.513797e-01 
5.699300e-02 	1.500625e-01 
5.729000e-02 	1.487618e-01 
5.758600e-02 	1.474781e-01 
5.788300e-02 	1.462107e-01 
5.818000e-02 	1.449588e-01 
5.847700e-02 	1.437231e-01 
5.877300e-02 	1.425029e-01 
5.907000e-02 	1.412975e-01 
5.936700e-02 	1.401075e-01 
5.966300e-02 	1.389321e-01 
5.996000e-02 	1.377709e-01 
6.025700e-02 	1.366242e-01 
6.055400e-02 	1.354915e-01 
6.085000e-02 	1.343723e-01 
6.114700e-02 	1.332669e-01 
6.144400e-02 	1.321749e-01 
6.174100e-02 	1.310957e-01 
6.203700e-02 	1.300299e-01 
6.233400e-02 	1.289768e-01 
6.263100e-02 	1.279359e-01 
6.292800e-02 	1.269078e-01 
6.322400e-02 	1.258914e-01 
6.352100e-02 	1.248873e-01 
6.381800e-02 	1.238950e-01 
6.411500e-02 	1.229140e-01 
6.441100e-02 	1.219448e-01 
6.470800e-02 	1.209870e-01 
6.500500e-02 	1.200400e-01 
6.530100e-02 	1.191042e-01 
6.559800e-02 	1.181793e-01 
6.589500e-02 	1.172647e-01 
6.619200e-02 	1.163608e-01 
6.648800e-02 	1.154673e-01 
6.678500e-02 	1.145837e-01 
6.708200e-02 	1.137104e-01 
6.737800e-02 	1.128470e-01 
6.767500e-02 	1.119931e-01 
6.797200e-02 	1.111491e-01 
6.826900e-02 	1.103145e-01 
6.856600e-02 	1.094890e-01 
6.886200e-02 	1.086730e-01 
6.915900e-02 	1.078660e-01 
6.945600e-02 	1.070676e-01 
6.975200e-02 	1.062782e-01 
7.004900e-02 	1.054976e-01 
7.034600e-02 	1.047252e-01 
7.064300e-02 	1.039615e-01 
7.093900e-02 	1.032059e-01 
7.123600e-02 	1.024588e-01 
7.153300e-02 	1.017198e-01 
7.183000e-02 	1.009885e-01 
7.212600e-02 	1.002653e-01 
7.242300e-02 	9.954989e-02 
7.272000e-02 	9.884184e-02 
7.301600e-02 	9.814157e-02 
7.331300e-02 	9.744874e-02 
7.361000e-02 	9.676304e-02 
7.390700e-02 	9.608484e-02 
7.420300e-02 	9.541384e-02 
7.450000e-02 	9.474969e-02 
7.479700e-02 	9.409275e-02 
7.509400e-02 	9.344269e-02 
7.539000e-02 	9.279920e-02 
7.568700e-02 	9.216262e-02 
7.598400e-02 	9.153263e-02 
7.628100e-02 	9.090896e-02 
7.657700e-02 	9.029195e-02 
7.687400e-02 	8.968131e-02 
7.717100e-02 	8.907676e-02 
7.746800e-02 	8.847862e-02 
7.776400e-02 	8.788660e-02 
7.806100e-02 	8.730043e-02 
7.835800e-02 	8.672042e-02 
7.865500e-02 	8.614611e-02 
7.895100e-02 	8.557782e-02 
7.924800e-02 	8.501527e-02 
7.954500e-02 	8.445821e-02 
7.984100e-02 	8.390694e-02 
8.013800e-02 	8.336119e-02 
8.043500e-02 	8.282073e-02 
8.073200e-02 	8.228583e-02 
8.102800e-02 	8.175626e-02 
8.132500e-02 	8.123178e-02 
8.162200e-02 	8.071267e-02 
8.191900e-02 	8.019869e-02 
8.221500e-02 	7.968961e-02 
8.251200e-02 	7.918570e-02 
8.280900e-02 	7.868673e-02 
8.310500e-02 	7.819248e-02 
8.340200e-02 	7.770323e-02 
8.369900e-02 	7.721876e-02 
8.399600e-02 	7.673885e-02 
8.429200e-02 	7.626377e-02 
8.458900e-02 	7.579330e-02 
8.488600e-02 	7.532722e-02 
8.518300e-02 	7.486581e-02 
8.547900e-02 	7.440885e-02 
8.577600e-02 	7.395612e-02 
8.607300e-02 	7.350787e-02 
8.637000e-02 	7.306374e-02 
8.666600e-02 	7.262400e-02 
8.696300e-02 	7.218845e-02 
8.726000e-02 	7.175691e-02 
8.755700e-02 	7.132961e-02 
8.785300e-02 	7.090639e-02 
8.815000e-02 	7.048704e-02 
8.844700e-02 	7.007179e-02 
8.874300e-02 	6.966046e-02 
8.904000e-02 	6.925286e-02 
8.933700e-02 	6.884919e-02 
8.963400e-02 	6.844929e-02 
8.993000e-02 	6.805296e-02 
9.022700e-02 	6.766044e-02 
9.052400e-02 	6.727155e-02 
9.082100e-02 	6.688612e-02 
9.111700e-02 	6.650437e-02 
9.141400e-02 	6.612613e-02 
9.171100e-02 	6.575122e-02 
9.200800e-02 	6.537987e-02 
9.230400e-02 	6.501191e-02 
9.260100e-02 	6.464716e-02 
9.289800e-02 	6.428583e-02 
9.319400e-02 	6.392776e-02 
9.349100e-02 	6.357279e-02 
9.378800e-02 	6.322113e-02 
9.408500e-02 	6.287249e-02 
9.438100e-02 	6.252708e-02 
9.467800e-02 	6.218475e-02 
9.497500e-02 	6.184534e-02 
9.527200e-02 	6.150904e-02 
9.556800e-02 	6.117571e-02 
9.586500e-02 	6.084519e-02 
9.616200e-02 	6.051767e-02 
9.645900e-02 	6.019302e-02 
9.675500e-02 	5.987107e-02 
9.705200e-02 	5.955203e-02 
9.734900e-02 	5.923574e-02 
9.764500e-02 	5.892207e-02 
9.794200e-02 	5.861120e-02 
9.823900e-02 	5.830300e-02 
9.853600e-02 	5.799733e-02 
9.883200e-02 	5.769436e-02 
9.912900e-02 	5.739396e-02 
9.942600e-02 	5.709600e-02 
9.972300e-02 	5.680065e-02 
1.000190e-01 	5.650808e-02 
1.003160e-01 	5.621736e-02 
1.006130e-01 	5.592906e-02 
1.009100e-01 	5.564315e-02 
1.012060e-01 	5.536055e-02 
1.015030e-01 	5.507933e-02 
1.018000e-01 	5.480040e-02 
1.020960e-01 	5.452469e-02 
1.023930e-01 	5.425028e-02 
1.026900e-01 	5.397810e-02 
1.029870e-01 	5.370811e-02 
1.032830e-01 	5.344119e-02 
1.035800e-01 	5.317550e-02 
1.038770e-01 	5.291193e-02 
1.041740e-01 	5.265045e-02 
1.044700e-01 	5.239190e-02 
1.047670e-01 	5.213452e-02 
1.050640e-01 	5.187914e-02 
1.053610e-01 	5.162576e-02 
1.056570e-01 	5.137518e-02 
1.059540e-01 	5.112570e-02 
1.062510e-01 	5.087814e-02 
1.065480e-01 	5.063248e-02 
1.068440e-01 	5.038952e-02 
1.071410e-01 	5.014759e-02 
1.074380e-01 	4.990751e-02 
1.077340e-01 	4.967004e-02 
1.080310e-01 	4.943356e-02 
1.083280e-01 	4.919887e-02 
1.086250e-01 	4.896593e-02 
1.089210e-01 	4.873552e-02 
1.092180e-01 	4.850604e-02 
1.095150e-01 	4.827826e-02 
1.098120e-01 	4.805217e-02 
1.101080e-01 	4.782848e-02 
1.104050e-01 	4.760569e-02 
1.107020e-01 	4.738451e-02 
1.109990e-01 	4.716495e-02 
1.112950e-01 	4.694771e-02 
1.115920e-01 	4.673131e-02 
1.118890e-01 	4.651648e-02 
1.121850e-01 	4.630390e-02 
1.124820e-01 	4.609214e-02 
1.127790e-01 	4.588190e-02 
1.130760e-01 	4.567315e-02 
1.133720e-01 	4.546658e-02 
1.136690e-01 	4.526078e-02 
1.139660e-01 	4.505642e-02 
1.142630e-01 	4.485350e-02 
1.145590e-01 	4.465267e-02 
1.148560e-01 	4.445256e-02 
1.151530e-01 	4.425385e-02 
1.154500e-01 	4.405652e-02 
1.157460e-01 	4.386122e-02 
1.160430e-01 	4.366661e-02 
1.163400e-01 	4.347335e-02 
1.166360e-01 	4.328208e-02 
1.169330e-01 	4.309148e-02 
1.172300e-01 	4.290220e-02 
1.175270e-01 	4.271423e-02 
1.178230e-01 	4.252817e-02 
1.181200e-01 	4.234277e-02 
1.184170e-01 	4.215864e-02 
1.187140e-01 	4.197577e-02 
1.190100e-01 	4.179476e-02 
1.193070e-01 	4.161438e-02 
1.196040e-01 	4.143523e-02 
1.199010e-01 	4.125731e-02 
1.201970e-01 	4.108120e-02 
1.204940e-01 	4.090569e-02 
1.207910e-01 	4.073139e-02 
1.210880e-01 	4.055828e-02 
1.213840e-01 	4.038692e-02 
1.216810e-01 	4.021616e-02 
1.219780e-01 	4.004656e-02 
1.222740e-01 	3.987868e-02 
1.225710e-01 	3.971139e-02 
1.228680e-01 	3.954524e-02 
1.231650e-01 	3.938023e-02 
1.234610e-01 	3.921689e-02 
1.237580e-01 	3.905412e-02 
1.240550e-01 	3.889247e-02 
1.243520e-01 	3.873192e-02 
1.246480e-01 	3.857301e-02 
1.249450e-01 	3.841465e-02 
1.252420e-01 	3.825738e-02 
1.255390e-01 	3.810119e-02 
1.258350e-01 	3.794658e-02 
1.261320e-01 	3.779252e-02 
1.264290e-01 	3.763952e-02 
1.267250e-01 	3.748808e-02 
1.270220e-01 	3.733716e-02 
1.273190e-01 	3.718729e-02 
1.276160e-01 	3.703844e-02 
1.279120e-01 	3.689111e-02 
1.282090e-01 	3.674430e-02 
1.285060e-01 	3.659850e-02 
1.288030e-01 	3.645370e-02 
1.290990e-01 	3.631038e-02 
1.293960e-01 	3.616757e-02 
1.296930e-01 	3.602573e-02 
1.299900e-01 	3.588488e-02 
1.302860e-01 	3.574545e-02 
1.305830e-01 	3.560652e-02 
1.308800e-01 	3.546854e-02 
1.311760e-01 	3.533197e-02 
1.314730e-01 	3.519588e-02 
1.317700e-01 	3.506073e-02 
1.320670e-01 	3.492650e-02 
1.323630e-01 	3.479364e-02 
1.326600e-01 	3.466125e-02 
1.329570e-01 	3.452976e-02 
1.332540e-01 	3.439918e-02 
1.335500e-01 	3.426992e-02 
1.338470e-01 	3.414111e-02 
1.341440e-01 	3.401318e-02 
1.344410e-01 	3.388612e-02 
1.347370e-01 	3.376035e-02 
1.350340e-01 	3.363501e-02 
1.353310e-01 	3.351052e-02 
1.356270e-01 	3.338728e-02 
1.359240e-01 	3.326445e-02 
1.362210e-01 	3.314245e-02 
1.365180e-01 	3.302126e-02 
1.368140e-01 	3.290129e-02 
1.371110e-01 	3.278172e-02 
1.374080e-01 	3.266293e-02 
1.377050e-01 	3.254494e-02 
1.380010e-01 	3.242811e-02 
1.382980e-01 	3.231166e-02 
1.385950e-01 	3.219598e-02 
1.388920e-01 	3.208105e-02 
1.391880e-01 	3.196725e-02 
1.394850e-01 	3.185381e-02 
1.397820e-01 	3.174110e-02 
1.400790e-01 	3.162911e-02 
1.403750e-01 	3.151821e-02 
1.406720e-01 	3.140765e-02 
1.409690e-01 	3.129779e-02 
1.412650e-01 	3.118898e-02 
1.415620e-01 	3.108050e-02 
1.418590e-01 	3.097269e-02 
1.421560e-01 	3.086555e-02 
1.424520e-01 	3.075944e-02 
1.427490e-01 	3.065362e-02 
1.430460e-01 	3.054846e-02 
1.433430e-01 	3.044393e-02 
1.436390e-01 	3.034039e-02 
1.439360e-01 	3.023713e-02 
1.442330e-01 	3.013450e-02 
1.445300e-01 	3.003248e-02 
1.448260e-01 	2.993141e-02 
1.451230e-01 	2.983060e-02 
1.454200e-01 	2.973038e-02 
1.457160e-01 	2.963110e-02 
1.460130e-01 	2.953206e-02 
1.463100e-01 	2.943361e-02 
1.466070e-01 	2.933572e-02 
1.469030e-01 	2.923874e-02 
1.472000e-01 	2.914199e-02 
1.474970e-01 	2.904579e-02 
1.477940e-01 	2.895015e-02 
1.480900e-01 	2.885538e-02 
1.483870e-01 	2.876083e-02 
1.486840e-01 	2.866682e-02 
1.489810e-01 	2.857334e-02 
1.492770e-01 	2.848070e-02 
1.495740e-01 	2.838827e-02 
1.498710e-01 	2.829637e-02 
1.501670e-01 	2.820528e-02 
1.504640e-01 	2.811440e-02 
1.507610e-01 	2.802402e-02 
1.510580e-01 	2.793415e-02 
1.513540e-01 	2.784507e-02 
1.516510e-01 	2.775619e-02 
1.519480e-01 	2.766780e-02 
1.522450e-01 	2.757990e-02 
1.525410e-01 	2.749277e-02 
1.528380e-01 	2.740583e-02 
1.531350e-01 	2.731937e-02 
1.534320e-01 	2.723338e-02 
1.537280e-01 	2.714815e-02 
1.540250e-01 	2.706310e-02 
1.543220e-01 	2.697852e-02 
1.546190e-01 	2.689440e-02 
1.549150e-01 	2.681103e-02 
1.552120e-01 	2.672784e-02 
1.555090e-01 	2.664510e-02 
1.558050e-01 	2.656310e-02 
1.561020e-01 	2.648127e-02 
1.563990e-01 	2.639990e-02 
1.566960e-01 	2.631897e-02 
1.569920e-01 	2.623877e-02 
1.572890e-01 	2.615873e-02 
1.575860e-01 	2.607914e-02 
1.578830e-01 	2.599999e-02 
1.581790e-01 	2.592155e-02 
1.584760e-01 	2.584327e-02 
1.587730e-01 	2.576542e-02 
1.590700e-01 	2.568801e-02 
1.593660e-01 	2.561129e-02 
1.596630e-01 	2.553473e-02 
1.599600e-01 	2.545860e-02 
1.602560e-01 	2.538315e-02 
1.605530e-01 	2.530786e-02 
1.608500e-01 	2.523299e-02 
1.611470e-01 	2.515854e-02 
1.614430e-01 	2.508475e-02 
1.617400e-01 	2.501113e-02 
1.620370e-01 	2.493792e-02 
1.623340e-01 	2.486513e-02 
1.626300e-01 	2.479298e-02 
1.629270e-01 	2.472100e-02 
1.632240e-01 	2.464942e-02 
1.635210e-01 	2.457825e-02 
1.638170e-01 	2.450771e-02 
1.641140e-01 	2.443734e-02 
1.644110e-01 	2.436736e-02 
1.647070e-01 	2.429800e-02 
1.650040e-01 	2.422881e-02 
1.653010e-01 	2.416000e-02 
1.655980e-01 	2.409158e-02 
1.658940e-01 	2.402376e-02 
1.661910e-01 	2.395610e-02 
1.664880e-01 	2.388882e-02 
1.667850e-01 	2.382190e-02 
1.670810e-01 	2.375559e-02 
1.673780e-01 	2.368941e-02 
1.676750e-01 	2.362361e-02 
1.679720e-01 	2.355816e-02 
1.682680e-01 	2.349330e-02 
1.685650e-01 	2.342857e-02 
1.688620e-01 	2.336420e-02 
1.691590e-01 	2.330018e-02 
1.694550e-01 	2.323672e-02 
1.697520e-01 	2.317339e-02 
1.700490e-01 	2.311041e-02 
1.703450e-01 	2.304799e-02 
1.706420e-01 	2.298569e-02 
1.709390e-01 	2.292372e-02 
1.712360e-01 	2.286209e-02 
1.715320e-01 	2.280099e-02 
1.718290e-01 	2.274001e-02 
1.721260e-01 	2.267936e-02 
1.724230e-01 	2.261902e-02 
1.727190e-01 	2.255920e-02 
