#q 	 Ifit_avg 
2.000000e-02 	1.000000e+00 
2.100000e-02 	9.935062e-01 
2.200000e-02 	9.870037e-01 
2.300000e-02 	9.804835e-01 
2.400000e-02 	9.739366e-01 
2.500000e-02 	9.673538e-01 
2.600000e-02 	9.607262e-01 
2.700000e-02 	9.540446e-01 
2.800000e-02 	9.473000e-01 
2.900000e-02 	9.404834e-01 
3.000000e-02 	9.335856e-01 
3.100000e-02 	9.265977e-01 
3.200000e-02 	9.195106e-01 
3.300000e-02 	9.123151e-01 
3.400000e-02 	9.050023e-01 
3.500000e-02 	8.975635e-01 
3.600000e-02 	8.899901e-01 
3.700000e-02 	8.822751e-01 
3.800000e-02 	8.744129e-01 
3.900000e-02 	8.664006e-01 
4.000000e-02 	8.582380e-01 
4.100000e-02 	8.499287e-01 
4.200000e-02 	8.414786e-01 
4.300000e-02 	8.328963e-01 
4.400000e-02 	8.241918e-01 
4.500000e-02 	8.153758e-01 
4.600000e-02 	8.064595e-01 
4.700000e-02 	7.974536e-01 
4.800000e-02 	7.883692e-01 
4.900000e-02 	7.792170e-01 
5.000000e-02 	7.700075e-01 
5.100000e-02 	7.607512e-01 
5.200000e-02 	7.514580e-01 
5.300000e-02 	7.421375e-01 
5.400000e-02 	7.327990e-01 
5.500000e-02 	7.234510e-01 
5.600000e-02 	7.141017e-01 
5.700000e-02 	7.047585e-01 
5.800000e-02 	6.954283e-01 
5.900000e-02 	6.861174e-01 
6.000000e-02 	6.768315e-01 
6.100000e-02 	6.675756e-01 
6.200000e-02 	6.583547e-01 
6.300000e-02 	6.491731e-01 
6.400000e-02 	6.400344e-01 
6.500000e-02 	6.309422e-01 
6.600000e-02 	6.218998e-01 
6.700000e-02 	6.129104e-01 
6.800000e-02 	6.039770e-01 
6.900000e-02 	5.951021e-01 
7.000000e-02 	5.862884e-01 
7.100000e-02 	5.775386e-01 
7.200000e-02 	5.688549e-01 
7.300000e-02 	5.602397e-01 
7.400000e-02 	5.516953e-01 
7.500000e-02 	5.432237e-01 
7.600000e-02 	5.348268e-01 
7.700000e-02 	5.265065e-01 
7.800000e-02 	5.182646e-01 
7.900000e-02 	5.101028e-01 
8.000000e-02 	5.020226e-01 
8.100000e-02 	4.940255e-01 
8.200000e-02 	4.861129e-01 
8.300000e-02 	4.782862e-01 
8.400000e-02 	4.705466e-01 
8.500000e-02 	4.628954e-01 
8.600000e-02 	4.553337e-01 
8.700000e-02 	4.478625e-01 
8.800000e-02 	4.404829e-01 
8.900000e-02 	4.331956e-01 
9.000000e-02 	4.260015e-01 
9.100000e-02 	4.189015e-01 
9.200000e-02 	4.118963e-01 
9.300000e-02 	4.049863e-01 
9.400000e-02 	3.981718e-01 
9.500000e-02 	3.914533e-01 
9.600000e-02 	3.848310e-01 
9.700000e-02 	3.783053e-01 
9.800000e-02 	3.718763e-01 
9.900000e-02 	3.655439e-01 
1.000000e-01 	3.593076e-01 
1.010000e-01 	3.531675e-01 
1.020000e-01 	3.471231e-01 
1.030000e-01 	3.411743e-01 
1.040000e-01 	3.353208e-01 
1.050000e-01 	3.295622e-01 
1.060000e-01 	3.238976e-01 
1.070000e-01 	3.183264e-01 
1.080000e-01 	3.128477e-01 
1.090000e-01 	3.074609e-01 
1.100000e-01 	3.021652e-01 
1.110000e-01 	2.969600e-01 
1.120000e-01 	2.918444e-01 
1.130000e-01 	2.868175e-01 
1.140000e-01 	2.818784e-01 
1.150000e-01 	2.770262e-01 
1.160000e-01 	2.722601e-01 
1.170000e-01 	2.675793e-01 
1.180000e-01 	2.629825e-01 
1.190000e-01 	2.584688e-01 
1.200000e-01 	2.540370e-01 
1.210000e-01 	2.496862e-01 
1.220000e-01 	2.454155e-01 
1.230000e-01 	2.412239e-01 
1.240000e-01 	2.371106e-01 
1.250000e-01 	2.330746e-01 
1.260000e-01 	2.291149e-01 
1.270000e-01 	2.252300e-01 
1.280000e-01 	2.214190e-01 
1.290000e-01 	2.176807e-01 
1.300000e-01 	2.140140e-01 
1.310000e-01 	2.104181e-01 
1.320000e-01 	2.068917e-01 
1.330000e-01 	2.034341e-01 
1.340000e-01 	2.000440e-01 
1.350000e-01 	1.967205e-01 
1.360000e-01 	1.934625e-01 
1.370000e-01 	1.902688e-01 
1.380000e-01 	1.871384e-01 
1.390000e-01 	1.840704e-01 
1.400000e-01 	1.810636e-01 
1.410000e-01 	1.781171e-01 
1.420000e-01 	1.752299e-01 
1.430000e-01 	1.724009e-01 
1.440000e-01 	1.696291e-01 
1.450000e-01 	1.669135e-01 
1.460000e-01 	1.642532e-01 
1.470000e-01 	1.616472e-01 
1.480000e-01 	1.590947e-01 
1.490000e-01 	1.565945e-01 
1.500000e-01 	1.541459e-01 
1.510000e-01 	1.517477e-01 
1.520000e-01 	1.493991e-01 
1.530000e-01 	1.470991e-01 
1.540000e-01 	1.448466e-01 
1.550000e-01 	1.426408e-01 
1.560000e-01 	1.404809e-01 
1.570000e-01 	1.383661e-01 
1.580000e-01 	1.362956e-01 
1.590000e-01 	1.342685e-01 
1.600000e-01 	1.322841e-01 
1.610000e-01 	1.303414e-01 
1.620000e-01 	1.284395e-01 
1.630000e-01 	1.265776e-01 
1.640000e-01 	1.247548e-01 
1.650000e-01 	1.229705e-01 
1.660000e-01 	1.212237e-01 
1.670000e-01 	1.195138e-01 
1.680000e-01 	1.178401e-01 
1.690000e-01 	1.162017e-01 
1.700000e-01 	1.145981e-01 
1.710000e-01 	1.130283e-01 
1.720000e-01 	1.114917e-01 
1.730000e-01 	1.099875e-01 
1.740000e-01 	1.085149e-01 
1.750000e-01 	1.070734e-01 
1.760000e-01 	1.056623e-01 
1.770000e-01 	1.042810e-01 
1.780000e-01 	1.029289e-01 
1.790000e-01 	1.016055e-01 
1.800000e-01 	1.003100e-01 
1.810000e-01 	9.904203e-02 
1.820000e-01 	9.780084e-02 
1.830000e-01 	9.658588e-02 
1.840000e-01 	9.539654e-02 
1.850000e-01 	9.423222e-02 
1.860000e-01 	9.309233e-02 
1.870000e-01 	9.197623e-02 
1.880000e-01 	9.088335e-02 
1.890000e-01 	8.981319e-02 
1.900000e-01 	8.876523e-02 
1.910000e-01 	8.773899e-02 
1.920000e-01 	8.673397e-02 
1.930000e-01 	8.574967e-02 
1.940000e-01 	8.478564e-02 
1.950000e-01 	8.384149e-02 
1.960000e-01 	8.291681e-02 
1.970000e-01 	8.201121e-02 
1.980000e-01 	8.112428e-02 
1.990000e-01 	8.025561e-02 
2.000000e-01 	7.940476e-02 
2.010000e-01 	7.857129e-02 
2.020000e-01 	7.775476e-02 
2.030000e-01 	7.695473e-02 
2.040000e-01 	7.617078e-02 
2.050000e-01 	7.540248e-02 
2.060000e-01 	7.464942e-02 
