#q 	 Ifit_avg 
7.391000e-03 	1.000000e+00 
7.657000e-03 	9.989431e-01 
7.922000e-03 	9.978859e-01 
8.188000e-03 	9.968282e-01 
8.453000e-03 	9.957696e-01 
8.719000e-03 	9.947099e-01 
8.984000e-03 	9.936488e-01 
9.250000e-03 	9.925859e-01 
9.515000e-03 	9.915210e-01 
9.781000e-03 	9.904538e-01 
1.004600e-02 	9.893840e-01 
1.031200e-02 	9.883111e-01 
1.057800e-02 	9.872353e-01 
1.084300e-02 	9.861561e-01 
1.110900e-02 	9.850727e-01 
1.137400e-02 	9.839856e-01 
1.164000e-02 	9.828938e-01 
1.190500e-02 	9.817977e-01 
1.217100e-02 	9.806962e-01 
1.243600e-02 	9.795899e-01 
1.270200e-02 	9.784776e-01 
1.296800e-02 	9.773599e-01 
1.323300e-02 	9.762356e-01 
1.349900e-02 	9.751054e-01 
1.376400e-02 	9.739684e-01 
1.403000e-02 	9.728240e-01 
1.429500e-02 	9.716727e-01 
1.456100e-02 	9.705134e-01 
1.482600e-02 	9.693467e-01 
1.509200e-02 	9.681713e-01 
1.535700e-02 	9.669879e-01 
1.562300e-02 	9.657952e-01 
1.588800e-02 	9.645939e-01 
1.615400e-02 	9.633829e-01 
1.642000e-02 	9.621626e-01 
1.668500e-02 	9.609319e-01 
1.695100e-02 	9.596914e-01 
1.721600e-02 	9.584405e-01 
1.748200e-02 	9.571782e-01 
1.774700e-02 	9.559052e-01 
1.801300e-02 	9.546204e-01 
1.827800e-02 	9.533243e-01 
1.854400e-02 	9.520158e-01 
1.881000e-02 	9.506955e-01 
1.907500e-02 	9.493620e-01 
1.934100e-02 	9.480162e-01 
1.960600e-02 	9.466567e-01 
1.987200e-02 	9.452842e-01 
2.013700e-02 	9.438980e-01 
2.040300e-02 	9.424972e-01 
2.066800e-02 	9.410826e-01 
2.093400e-02 	9.396528e-01 
2.119900e-02 	9.382087e-01 
2.146500e-02 	9.367487e-01 
2.173000e-02 	9.352739e-01 
2.199600e-02 	9.337827e-01 
2.226200e-02 	9.322761e-01 
2.252700e-02 	9.307526e-01 
2.279300e-02 	9.292132e-01 
2.305800e-02 	9.276570e-01 
2.332400e-02 	9.260832e-01 
2.358900e-02 	9.244929e-01 
2.385500e-02 	9.228845e-01 
2.412000e-02 	9.212592e-01 
2.438600e-02 	9.196156e-01 
2.465200e-02 	9.179547e-01 
2.491700e-02 	9.162753e-01 
2.518300e-02 	9.145784e-01 
2.544800e-02 	9.128628e-01 
2.571400e-02 	9.111296e-01 
2.597900e-02 	9.093782e-01 
2.624500e-02 	9.076080e-01 
2.651000e-02 	9.058203e-01 
2.677600e-02 	9.040138e-01 
2.704100e-02 	9.021899e-01 
2.730700e-02 	9.003472e-01 
2.757200e-02 	8.984875e-01 
2.783800e-02 	8.966092e-01 
2.810400e-02 	8.947142e-01 
2.836900e-02 	8.928010e-01 
2.863500e-02 	8.908712e-01 
2.890000e-02 	8.889245e-01 
2.916600e-02 	8.869601e-01 
2.943100e-02 	8.849798e-01 
2.969700e-02 	8.829823e-01 
2.996200e-02 	8.809694e-01 
3.022800e-02 	8.789398e-01 
3.049400e-02 	8.768953e-01 
3.075900e-02 	8.748346e-01 
3.102500e-02 	8.727594e-01 
3.129000e-02 	8.706685e-01 
3.155600e-02 	8.685637e-01 
3.182100e-02 	8.664445e-01 
3.208700e-02 	8.643104e-01 
3.235200e-02 	8.621632e-01 
3.261800e-02 	8.600016e-01 
3.288300e-02 	8.578275e-01 
3.314900e-02 	8.556396e-01 
3.341500e-02 	8.534397e-01 
3.368000e-02 	8.512264e-01 
3.394600e-02 	8.490017e-01 
3.421100e-02 	8.467643e-01 
3.447700e-02 	8.445160e-01 
3.474200e-02 	8.422554e-01 
3.500800e-02 	8.399845e-01 
3.527300e-02 	8.377028e-01 
3.553900e-02 	8.354096e-01 
3.580400e-02 	8.331069e-01 
3.607000e-02 	8.307932e-01 
3.633500e-02 	8.284706e-01 
3.660100e-02 	8.261376e-01 
3.686700e-02 	8.237962e-01 
3.713200e-02 	8.214448e-01 
3.739800e-02 	8.190856e-01 
3.766300e-02 	8.167169e-01 
3.792900e-02 	8.143409e-01 
3.819400e-02 	8.119569e-01 
3.846000e-02 	8.095642e-01 
3.872500e-02 	8.071649e-01 
3.899100e-02 	8.047574e-01 
3.925600e-02 	8.023438e-01 
3.952200e-02 	7.999225e-01 
3.978800e-02 	7.974956e-01 
4.005300e-02 	7.950614e-01 
4.031900e-02 	7.926221e-01 
4.058400e-02 	7.901760e-01 
4.085000e-02 	7.877251e-01 
4.111500e-02 	7.852688e-01 
4.138100e-02 	7.828065e-01 
4.164600e-02 	7.803401e-01 
4.191200e-02 	7.778680e-01 
4.217800e-02 	7.753923e-01 
4.244300e-02 	7.729112e-01 
4.270900e-02 	7.704270e-01 
4.297400e-02 	7.679378e-01 
4.324000e-02 	7.654458e-01 
4.350500e-02 	7.629493e-01 
4.377100e-02 	7.604503e-01 
