#q 	 Ifit_avg 
1.006700e-02 	1.000000e+00 
1.053900e-02 	9.924438e-01 
1.101100e-02 	9.848819e-01 
1.148300e-02 	9.773082e-01 
1.195500e-02 	9.697167e-01 
1.242700e-02 	9.621018e-01 
1.289900e-02 	9.544573e-01 
1.337100e-02 	9.467773e-01 
1.384200e-02 	9.390560e-01 
1.431400e-02 	9.312875e-01 
1.478600e-02 	9.234656e-01 
1.525800e-02 	9.155848e-01 
1.573000e-02 	9.076390e-01 
1.620200e-02 	8.996220e-01 
1.667400e-02 	8.915283e-01 
1.714600e-02 	8.833519e-01 
1.761800e-02 	8.750867e-01 
1.809000e-02 	8.667276e-01 
1.856100e-02 	8.582696e-01 
1.903300e-02 	8.497089e-01 
1.950500e-02 	8.410432e-01 
1.997700e-02 	8.322712e-01 
2.044900e-02 	8.233931e-01 
2.092100e-02 	8.144115e-01 
2.139300e-02 	8.053301e-01 
2.186500e-02 	7.961540e-01 
2.233700e-02 	7.868905e-01 
2.280900e-02 	7.775477e-01 
2.328100e-02 	7.681343e-01 
2.375200e-02 	7.586606e-01 
2.422400e-02 	7.491365e-01 
2.469600e-02 	7.395725e-01 
2.516800e-02 	7.299792e-01 
2.564000e-02 	7.203668e-01 
2.611200e-02 	7.107450e-01 
2.658400e-02 	7.011236e-01 
2.705600e-02 	6.915117e-01 
2.752800e-02 	6.819176e-01 
2.800000e-02 	6.723500e-01 
2.847100e-02 	6.628165e-01 
2.894300e-02 	6.533242e-01 
2.941500e-02 	6.438804e-01 
2.988700e-02 	6.344912e-01 
3.035900e-02 	6.251625e-01 
3.083100e-02 	6.159000e-01 
3.130300e-02 	6.067085e-01 
3.177500e-02 	5.975924e-01 
3.224700e-02 	5.885561e-01 
3.271900e-02 	5.796032e-01 
3.319000e-02 	5.707368e-01 
3.366200e-02 	5.619601e-01 
3.413400e-02 	5.532756e-01 
3.460600e-02 	5.446853e-01 
3.507800e-02 	5.361916e-01 
3.555000e-02 	5.277961e-01 
3.602200e-02 	5.195001e-01 
3.649400e-02 	5.113051e-01 
3.696600e-02 	5.032121e-01 
3.743800e-02 	4.952218e-01 
3.791000e-02 	4.873354e-01 
3.838100e-02 	4.795532e-01 
3.885300e-02 	4.718756e-01 
3.932500e-02 	4.643032e-01 
3.979700e-02 	4.568363e-01 
4.026900e-02 	4.494748e-01 
4.074100e-02 	4.422192e-01 
4.121300e-02 	4.350692e-01 
4.168500e-02 	4.280248e-01 
4.215700e-02 	4.210859e-01 
4.262900e-02 	4.142523e-01 
4.310000e-02 	4.075235e-01 
