#q 	 Ifit_avg 
3.198000e-03 	1.000000e+00 
3.574000e-03 	9.988969e-01 
3.950000e-03 	9.977928e-01 
4.326000e-03 	9.966866e-01 
4.702000e-03 	9.955773e-01 
5.079000e-03 	9.944609e-01 
5.455000e-03 	9.933422e-01 
5.831000e-03 	9.922171e-01 
6.207000e-03 	9.910847e-01 
6.583000e-03 	9.899439e-01 
6.959000e-03 	9.887936e-01 
7.336000e-03 	9.876296e-01 
7.712000e-03 	9.864571e-01 
8.088000e-03 	9.852720e-01 
8.464000e-03 	9.840731e-01 
8.840000e-03 	9.828595e-01 
9.217000e-03 	9.816267e-01 
9.593000e-03 	9.803802e-01 
9.969000e-03 	9.791159e-01 
1.034500e-02 	9.778325e-01 
1.072100e-02 	9.765290e-01 
1.109700e-02 	9.752043e-01 
1.147400e-02 	9.738539e-01 
1.185000e-02 	9.724838e-01 
1.222600e-02 	9.710893e-01 
1.260200e-02 	9.696695e-01 
1.297800e-02 	9.682233e-01 
1.335500e-02 	9.667455e-01 
1.373100e-02 	9.652432e-01 
1.410700e-02 	9.637112e-01 
1.448300e-02 	9.621485e-01 
1.485900e-02 	9.605541e-01 
1.523600e-02 	9.589225e-01 
1.561200e-02 	9.572614e-01 
1.598800e-02 	9.555654e-01 
1.636400e-02 	9.538334e-01 
1.674000e-02 	9.520645e-01 
1.711600e-02 	9.502576e-01 
1.749300e-02 	9.484068e-01 
1.786900e-02 	9.465209e-01 
1.824500e-02 	9.445941e-01 
1.862100e-02 	9.426257e-01 
1.899700e-02 	9.406149e-01 
1.937400e-02 	9.385553e-01 
1.975000e-02 	9.364573e-01 
2.012600e-02 	9.343150e-01 
2.050200e-02 	9.321280e-01 
2.087800e-02 	9.298959e-01 
2.125400e-02 	9.276185e-01 
2.163100e-02 	9.252895e-01 
2.200700e-02 	9.229213e-01 
2.238300e-02 	9.205080e-01 
2.275900e-02 	9.180498e-01 
2.313500e-02 	9.155471e-01 
2.351200e-02 	9.129935e-01 
2.388800e-02 	9.104032e-01 
2.426400e-02 	9.077703e-01 
2.464000e-02 	9.050953e-01 
2.501600e-02 	9.023789e-01 
2.539200e-02 	8.996221e-01 
2.576900e-02 	8.968181e-01 
2.614500e-02 	8.939826e-01 
2.652100e-02 	8.911093e-01 
2.689700e-02 	8.881989e-01 
2.727300e-02 	8.852523e-01 
2.764900e-02 	8.822703e-01 
2.802600e-02 	8.792459e-01 
2.840200e-02 	8.761958e-01 
2.877800e-02 	8.731130e-01 
2.915400e-02 	8.699984e-01 
2.953000e-02 	8.668528e-01 
2.990700e-02 	8.636686e-01 
3.028300e-02 	8.604635e-01 
3.065900e-02 	8.572301e-01 
3.103500e-02 	8.539691e-01 
3.141100e-02 	8.506815e-01 
3.178700e-02 	8.473680e-01 
3.216400e-02 	8.440205e-01 
3.254000e-02 	8.406578e-01 
3.291600e-02 	8.372717e-01 
3.329200e-02 	8.338630e-01 
3.366800e-02 	8.304326e-01 
3.404400e-02 	8.269813e-01 
3.442100e-02 	8.235006e-01 
3.479700e-02 	8.200097e-01 
3.517300e-02 	8.165001e-01 
3.554900e-02 	8.129727e-01 
3.592500e-02 	8.094281e-01 
3.630200e-02 	8.058576e-01 
3.667800e-02 	8.022808e-01 
3.705400e-02 	7.986891e-01 
3.743000e-02 	7.950830e-01 
3.780600e-02 	7.914632e-01 
3.818200e-02 	7.878304e-01 
3.855900e-02 	7.841754e-01 
3.893500e-02 	7.805183e-01 
3.931100e-02 	7.768500e-01 
3.968700e-02 	7.731712e-01 
4.006300e-02 	7.694824e-01 
4.043900e-02 	7.657842e-01 
4.081600e-02 	7.620671e-01 
4.119200e-02 	7.583514e-01 
4.156800e-02 	7.546278e-01 
4.194400e-02 	7.508968e-01 
4.232000e-02 	7.471589e-01 
4.269600e-02 	7.434147e-01 
4.307300e-02 	7.396545e-01 
4.344900e-02 	7.358988e-01 
4.382500e-02 	7.321380e-01 
4.420100e-02 	7.283725e-01 
4.457700e-02 	7.246028e-01 
4.495300e-02 	7.208291e-01 
4.533000e-02 	7.170420e-01 
4.570600e-02 	7.132619e-01 
4.608200e-02 	7.094791e-01 
4.645800e-02 	7.056940e-01 
4.683400e-02 	7.019071e-01 
4.721000e-02 	6.981186e-01 
4.758700e-02 	6.943189e-01 
4.796300e-02 	6.905285e-01 
4.833900e-02 	6.867375e-01 
4.871500e-02 	6.829465e-01 
4.909100e-02 	6.791557e-01 
4.946700e-02 	6.753654e-01 
4.984300e-02 	6.715761e-01 
5.022000e-02 	6.677780e-01 
5.059600e-02 	6.639915e-01 
5.097200e-02 	6.602069e-01 
5.134800e-02 	6.564246e-01 
5.172400e-02 	6.526447e-01 
5.210000e-02 	6.488678e-01 
5.247700e-02 	6.450840e-01 
5.285300e-02 	6.413138e-01 
5.322900e-02 	6.375473e-01 
5.360500e-02 	6.337850e-01 
5.398100e-02 	6.300271e-01 
5.435700e-02 	6.262740e-01 
5.473400e-02 	6.225159e-01 
5.511000e-02 	6.187730e-01 
5.548600e-02 	6.150357e-01 
5.586200e-02 	6.113043e-01 
5.623800e-02 	6.075791e-01 
5.661400e-02 	6.038602e-01 
5.699000e-02 	6.001481e-01 
5.736700e-02 	5.964331e-01 
5.774300e-02 	5.927352e-01 
5.811900e-02 	5.890449e-01 
5.849500e-02 	5.853624e-01 
5.887100e-02 	5.816878e-01 
5.924700e-02 	5.780216e-01 
5.962300e-02 	5.743639e-01 
6.000000e-02 	5.707052e-01 
6.037600e-02 	5.670653e-01 
6.075200e-02 	5.634347e-01 
6.112800e-02 	5.598136e-01 
6.150400e-02 	5.562022e-01 
6.188000e-02 	5.526008e-01 
6.225700e-02 	5.490001e-01 
6.263300e-02 	5.454195e-01 
6.300900e-02 	5.418495e-01 
6.338500e-02 	5.382904e-01 
6.376100e-02 	5.347424e-01 
6.413700e-02 	5.312057e-01 
6.451300e-02 	5.276806e-01 
6.488900e-02 	5.241672e-01 
6.526600e-02 	5.206565e-01 
6.564200e-02 	5.171673e-01 
6.601800e-02 	5.136905e-01 
6.639400e-02 	5.102262e-01 
6.677000e-02 	5.067747e-01 
6.714600e-02 	5.033362e-01 
6.752200e-02 	4.999107e-01 
6.789900e-02 	4.964895e-01 
6.827500e-02 	4.930908e-01 
6.865100e-02 	4.897058e-01 
6.902700e-02 	4.863346e-01 
6.940300e-02 	4.829775e-01 
6.977900e-02 	4.796345e-01 
7.015500e-02 	4.763059e-01 
7.053200e-02 	4.729831e-01 
7.090800e-02 	4.696838e-01 
7.128400e-02 	4.663992e-01 
7.166000e-02 	4.631297e-01 
7.203600e-02 	4.598751e-01 
7.241200e-02 	4.566358e-01 
7.278800e-02 	4.534118e-01 
7.316400e-02 	4.502032e-01 
7.354100e-02 	4.470017e-01 
7.391700e-02 	4.438244e-01 
7.429300e-02 	4.406629e-01 
7.466900e-02 	4.375174e-01 
7.504500e-02 	4.343880e-01 
7.542100e-02 	4.312748e-01 
7.579700e-02 	4.281779e-01 
7.617300e-02 	4.250974e-01 
7.655000e-02 	4.220253e-01 
7.692600e-02 	4.189778e-01 
7.730200e-02 	4.159469e-01 
7.767800e-02 	4.129326e-01 
7.805400e-02 	4.099350e-01 
7.843000e-02 	4.069542e-01 
7.880600e-02 	4.039901e-01 
7.918200e-02 	4.010430e-01 
7.955900e-02 	3.981049e-01 
7.993500e-02 	3.951917e-01 
8.031100e-02 	3.922954e-01 
8.068700e-02 	3.894163e-01 
8.106300e-02 	3.865543e-01 
8.143900e-02 	3.837095e-01 
8.181500e-02 	3.808820e-01 
8.219100e-02 	3.780718e-01 
8.256700e-02 	3.752788e-01 
8.294400e-02 	3.724958e-01 
8.332000e-02 	3.697375e-01 
8.369600e-02 	3.669964e-01 
8.407200e-02 	3.642726e-01 
8.444800e-02 	3.615660e-01 
8.482400e-02 	3.588767e-01 
8.520000e-02 	3.562046e-01 
8.557600e-02 	3.535497e-01 
8.595200e-02 	3.509120e-01 
8.632900e-02 	3.482846e-01 
8.670500e-02 	3.456814e-01 
8.708100e-02 	3.430953e-01 
8.745700e-02 	3.405265e-01 
8.783300e-02 	3.379748e-01 
8.820900e-02 	3.354403e-01 
8.858500e-02 	3.329229e-01 
8.896100e-02 	3.304226e-01 
8.933700e-02 	3.279393e-01 
8.971300e-02 	3.254731e-01 
9.009000e-02 	3.230174e-01 
9.046600e-02 	3.205852e-01 
9.084200e-02 	3.181700e-01 
9.121800e-02 	3.157716e-01 
9.159400e-02 	3.133900e-01 
9.197000e-02 	3.110252e-01 
9.234600e-02 	3.086773e-01 
9.272200e-02 	3.063460e-01 
9.309800e-02 	3.040314e-01 
9.347400e-02 	3.017335e-01 
9.385000e-02 	2.994522e-01 
9.422700e-02 	2.971814e-01 
9.460300e-02 	2.949332e-01 
9.497900e-02 	2.927014e-01 
9.535500e-02 	2.904859e-01 
9.573100e-02 	2.882868e-01 
9.610700e-02 	2.861038e-01 
9.648300e-02 	2.839370e-01 
9.685900e-02 	2.817863e-01 
9.723500e-02 	2.796516e-01 
9.761100e-02 	2.775329e-01 
9.798700e-02 	2.754301e-01 
9.836400e-02 	2.733376e-01 
9.874000e-02 	2.712665e-01 
9.911600e-02 	2.692111e-01 
9.949200e-02 	2.671714e-01 
9.986800e-02 	2.651473e-01 
1.002440e-01 	2.631388e-01 
1.006200e-01 	2.611459e-01 
1.009960e-01 	2.591683e-01 
1.013720e-01 	2.572062e-01 
1.017480e-01 	2.552595e-01 
1.021240e-01 	2.533280e-01 
1.025000e-01 	2.514116e-01 
1.028760e-01 	2.495103e-01 
1.032520e-01 	2.476240e-01 
1.036290e-01 	2.457477e-01 
1.040050e-01 	2.438911e-01 
1.043810e-01 	2.420492e-01 
1.047570e-01 	2.402220e-01 
1.051330e-01 	2.384093e-01 
1.055090e-01 	2.366111e-01 
1.058850e-01 	2.348272e-01 
1.062610e-01 	2.330576e-01 
1.066370e-01 	2.313023e-01 
1.070130e-01 	2.295611e-01 
1.073890e-01 	2.278340e-01 
1.077650e-01 	2.261208e-01 
1.081410e-01 	2.244216e-01 
1.085170e-01 	2.227362e-01 
1.088940e-01 	2.210601e-01 
1.092700e-01 	2.194021e-01 
1.096460e-01 	2.177578e-01 
1.100220e-01 	2.161270e-01 
1.103980e-01 	2.145096e-01 
1.107740e-01 	2.129056e-01 
1.111500e-01 	2.113148e-01 
1.115260e-01 	2.097373e-01 
