#q 	 Ifit_avg 
3.653000e-03 	1.000000e+00 
3.952000e-03 	9.982464e-01 
4.250000e-03 	9.964914e-01 
4.549000e-03 	9.947333e-01 
4.848000e-03 	9.929708e-01 
5.146000e-03 	9.912021e-01 
5.445000e-03 	9.894258e-01 
5.744000e-03 	9.876403e-01 
6.042000e-03 	9.858442e-01 
6.341000e-03 	9.840358e-01 
6.639000e-03 	9.822138e-01 
6.938000e-03 	9.803764e-01 
7.237000e-03 	9.785222e-01 
7.535000e-03 	9.766497e-01 
7.834000e-03 	9.747573e-01 
8.133000e-03 	9.728435e-01 
8.431000e-03 	9.709068e-01 
8.730000e-03 	9.689456e-01 
9.029000e-03 	9.669583e-01 
9.327000e-03 	9.649435e-01 
9.626000e-03 	9.628997e-01 
9.924000e-03 	9.608253e-01 
1.022300e-02 	9.587190e-01 
1.052200e-02 	9.565782e-01 
1.082000e-02 	9.544030e-01 
1.111900e-02 	9.521910e-01 
1.141800e-02 	9.499400e-01 
1.171600e-02 	9.476500e-01 
1.201500e-02 	9.453186e-01 
1.231300e-02 	9.429444e-01 
1.261200e-02 	9.405250e-01 
1.291100e-02 	9.380605e-01 
1.320900e-02 	9.355487e-01 
1.350800e-02 	9.329873e-01 
1.380700e-02 	9.303767e-01 
1.410500e-02 	9.277149e-01 
1.440400e-02 	9.250006e-01 
1.470300e-02 	9.222320e-01 
1.500100e-02 	9.194100e-01 
1.530000e-02 	9.165332e-01 
1.559800e-02 	9.135998e-01 
1.589700e-02 	9.106115e-01 
1.619600e-02 	9.075672e-01 
1.649400e-02 	9.044666e-01 
1.679300e-02 	9.013090e-01 
1.709200e-02 	8.980965e-01 
1.739000e-02 	8.948286e-01 
1.768900e-02 	8.915047e-01 
1.798700e-02 	8.881277e-01 
1.828600e-02 	8.846974e-01 
1.858500e-02 	8.812146e-01 
1.888300e-02 	8.776793e-01 
1.918200e-02 	8.740948e-01 
1.948100e-02 	8.704613e-01 
1.977900e-02 	8.667801e-01 
2.007800e-02 	8.630512e-01 
2.037600e-02 	8.592785e-01 
2.067500e-02 	8.554622e-01 
2.097400e-02 	8.516025e-01 
