#q 	 Ifit_avg 
6.026000e-03 	1.000000e+00 
6.257000e-03 	9.979343e-01 
6.488000e-03 	9.958679e-01 
6.720000e-03 	9.937998e-01 
6.951000e-03 	9.917294e-01 
7.183000e-03 	9.896557e-01 
7.414000e-03 	9.875780e-01 
7.646000e-03 	9.854955e-01 
7.877000e-03 	9.834072e-01 
8.109000e-03 	9.813126e-01 
8.340000e-03 	9.792107e-01 
8.572000e-03 	9.771007e-01 
8.803000e-03 	9.749818e-01 
9.034000e-03 	9.728532e-01 
9.266000e-03 	9.707142e-01 
9.497000e-03 	9.685637e-01 
9.729000e-03 	9.664012e-01 
9.960000e-03 	9.642257e-01 
1.019200e-02 	9.620361e-01 
1.042300e-02 	9.598328e-01 
1.065500e-02 	9.576132e-01 
1.088600e-02 	9.553783e-01 
1.111800e-02 	9.531255e-01 
1.134900e-02 	9.508559e-01 
1.158000e-02 	9.485667e-01 
1.181200e-02 	9.462590e-01 
1.204300e-02 	9.439301e-01 
1.227500e-02 	9.415812e-01 
1.250600e-02 	9.392094e-01 
1.273800e-02 	9.368159e-01 
1.296900e-02 	9.343980e-01 
1.320100e-02 	9.319558e-01 
1.343200e-02 	9.294895e-01 
1.366400e-02 	9.269964e-01 
1.389500e-02 	9.244778e-01 
1.412600e-02 	9.219307e-01 
1.435800e-02 	9.193566e-01 
1.458900e-02 	9.167527e-01 
1.482100e-02 	9.141205e-01 
1.505200e-02 	9.114572e-01 
1.528400e-02 	9.087644e-01 
1.551500e-02 	9.060395e-01 
1.574700e-02 	9.032841e-01 
1.597800e-02 	9.004955e-01 
1.620900e-02 	8.976759e-01 
1.644100e-02 	8.948223e-01 
1.667200e-02 	8.919371e-01 
1.690400e-02 	8.890177e-01 
1.713500e-02 	8.860651e-01 
1.736700e-02 	8.830806e-01 
1.759800e-02 	8.800618e-01 
1.783000e-02 	8.770113e-01 
1.806100e-02 	8.739267e-01 
1.829200e-02 	8.708109e-01 
1.852400e-02 	8.676615e-01 
1.875500e-02 	8.644817e-01 
1.898700e-02 	8.612691e-01 
1.921800e-02 	8.580271e-01 
1.945000e-02 	8.547534e-01 
1.968100e-02 	8.514514e-01 
1.991300e-02 	8.481190e-01 
2.014400e-02 	8.447597e-01 
2.037600e-02 	8.413713e-01 
2.060700e-02 	8.379562e-01 
2.083800e-02 	8.345166e-01 
2.107000e-02 	8.310503e-01 
2.130100e-02 	8.275613e-01 
2.153300e-02 	8.240473e-01 
2.176400e-02 	8.205123e-01 
2.199600e-02 	8.169541e-01 
2.222700e-02 	8.133767e-01 
2.245900e-02 	8.097778e-01 
2.269000e-02 	8.061616e-01 
2.292200e-02 	8.025256e-01 
2.315300e-02 	7.988740e-01 
2.338500e-02 	7.952045e-01 
2.361600e-02 	7.915210e-01 
2.384700e-02 	7.878213e-01 
2.407900e-02 	7.841093e-01 
2.431000e-02 	7.803828e-01 
2.454200e-02 	7.766440e-01 
2.477300e-02 	7.728955e-01 
2.500500e-02 	7.691348e-01 
2.523600e-02 	7.653660e-01 
2.546800e-02 	7.615865e-01 
2.569900e-02 	7.578004e-01 
2.593100e-02 	7.540051e-01 
2.616200e-02 	7.502047e-01 
2.639300e-02 	7.463966e-01 
2.662500e-02 	7.425848e-01 
2.685600e-02 	7.387666e-01 
2.708800e-02 	7.349461e-01 
2.731900e-02 	7.311206e-01 
2.755100e-02 	7.272941e-01 
2.778200e-02 	7.234638e-01 
2.801400e-02 	7.196338e-01 
2.824500e-02 	7.158012e-01 
2.847700e-02 	7.119684e-01 
2.870800e-02 	7.081375e-01 
2.893900e-02 	7.043058e-01 
2.917100e-02 	7.004772e-01 
2.940200e-02 	6.966489e-01 
2.963400e-02 	6.928247e-01 
2.986500e-02 	6.890018e-01 
3.009700e-02 	6.851840e-01 
3.032800e-02 	6.813684e-01 
3.056000e-02 	6.775589e-01 
3.079100e-02 	6.737525e-01 
3.102200e-02 	6.699530e-01 
3.125400e-02 	6.661575e-01 
3.148500e-02 	6.623698e-01 
3.171700e-02 	6.585869e-01 
3.194800e-02 	6.548124e-01 
3.218000e-02 	6.510435e-01 
3.241100e-02 	6.472821e-01 
3.264300e-02 	6.435302e-01 
3.287400e-02 	6.397850e-01 
3.310600e-02 	6.360500e-01 
3.333700e-02 	6.323222e-01 
3.356800e-02 	6.286052e-01 
3.380000e-02 	6.248960e-01 
3.403100e-02 	6.211982e-01 
3.426300e-02 	6.175088e-01 
3.449400e-02 	6.138313e-01 
3.472600e-02 	6.101628e-01 
3.495700e-02 	6.065067e-01 
3.518900e-02 	6.028600e-01 
3.542000e-02 	5.992262e-01 
3.565200e-02 	5.956023e-01 
3.588300e-02 	5.919917e-01 
3.611400e-02 	5.883915e-01 
3.634600e-02 	5.848035e-01 
3.657700e-02 	5.812293e-01 
3.680900e-02 	5.776662e-01 
3.704000e-02 	5.741173e-01 
3.727200e-02 	5.705797e-01 
3.750300e-02 	5.670568e-01 
3.773500e-02 	5.635456e-01 
3.796600e-02 	5.600493e-01 
3.819800e-02 	5.565651e-01 
3.842900e-02 	5.530962e-01 
3.866000e-02 	5.496396e-01 
3.889200e-02 	5.461985e-01 
3.912300e-02 	5.427701e-01 
3.935500e-02 	5.393575e-01 
3.958600e-02 	5.359579e-01 
3.981800e-02 	5.325743e-01 
4.004900e-02 	5.292039e-01 
4.028100e-02 	5.258483e-01 
4.051200e-02 	5.225091e-01 
4.074400e-02 	5.191835e-01 
4.097500e-02 	5.158745e-01 
4.120600e-02 	5.125793e-01 
4.143800e-02 	5.093009e-01 
4.166900e-02 	5.060365e-01 
4.190100e-02 	5.027890e-01 
4.213200e-02 	4.995558e-01 
4.236400e-02 	4.963398e-01 
4.259500e-02 	4.931381e-01 
4.282700e-02 	4.899537e-01 
4.305800e-02 	4.867839e-01 
4.328900e-02 	4.836315e-01 
4.352100e-02 	4.804939e-01 
4.375200e-02 	4.773738e-01 
4.398400e-02 	4.742685e-01 
4.421500e-02 	4.711796e-01 
4.444700e-02 	4.681083e-01 
4.467800e-02 	4.650522e-01 
4.491000e-02 	4.620138e-01 
4.514100e-02 	4.589905e-01 
4.537300e-02 	4.559852e-01 
4.560400e-02 	4.529951e-01 
4.583500e-02 	4.500229e-01 
4.606700e-02 	4.470660e-01 
4.629800e-02 	4.441272e-01 
4.653000e-02 	4.412038e-01 
4.676100e-02 	4.382984e-01 
4.699300e-02 	4.354085e-01 
4.722400e-02 	4.325366e-01 
4.745600e-02 	4.296803e-01 
4.768700e-02 	4.268420e-01 
4.791900e-02 	4.240193e-01 
4.815000e-02 	4.212134e-01 
4.838100e-02 	4.184256e-01 
4.861300e-02 	4.156535e-01 
4.884400e-02 	4.128994e-01 
4.907600e-02 	4.101610e-01 
4.930700e-02 	4.074406e-01 
4.953900e-02 	4.047358e-01 
4.977000e-02 	4.020491e-01 
5.000200e-02 	3.993779e-01 
5.023300e-02 	3.967248e-01 
5.046500e-02 	3.940873e-01 
5.069600e-02 	3.914677e-01 
5.092700e-02 	3.888637e-01 
5.115900e-02 	3.862776e-01 
5.139000e-02 	3.837071e-01 
5.162200e-02 	3.811533e-01 
5.185300e-02 	3.786172e-01 
5.208500e-02 	3.760967e-01 
5.231600e-02 	3.735938e-01 
