#q 	 Ifit_avg 
9.738000e-03 	1.000000e+00 
1.001400e-02 	9.974090e-01 
1.029100e-02 	9.948180e-01 
1.056800e-02 	9.922255e-01 
1.084400e-02 	9.896299e-01 
1.112100e-02 	9.870323e-01 
1.139800e-02 	9.844301e-01 
1.167400e-02 	9.818243e-01 
1.195100e-02 	9.792134e-01 
1.222700e-02 	9.765957e-01 
1.250400e-02 	9.739722e-01 
1.278100e-02 	9.713414e-01 
1.305700e-02 	9.687014e-01 
1.333400e-02 	9.660536e-01 
1.361100e-02 	9.633951e-01 
1.388700e-02 	9.607272e-01 
1.416400e-02 	9.580483e-01 
1.444100e-02 	9.553565e-01 
1.471700e-02 	9.526530e-01 
1.499400e-02 	9.499363e-01 
1.527000e-02 	9.472044e-01 
1.554700e-02 	9.444587e-01 
1.582400e-02 	9.416975e-01 
1.610000e-02 	9.389189e-01 
1.637700e-02 	9.361243e-01 
1.665400e-02 	9.333109e-01 
1.693000e-02 	9.304799e-01 
1.720700e-02 	9.276297e-01 
1.748300e-02 	9.247584e-01 
1.776000e-02 	9.218673e-01 
1.803700e-02 	9.189548e-01 
1.831300e-02 	9.160189e-01 
1.859000e-02 	9.130611e-01 
1.886700e-02 	9.100785e-01 
1.914300e-02 	9.070725e-01 
1.942000e-02 	9.040414e-01 
1.969700e-02 	9.009834e-01 
1.997300e-02 	8.979000e-01 
2.025000e-02 	8.947895e-01 
2.052700e-02 	8.916501e-01 
2.080300e-02 	8.884837e-01 
2.108000e-02 	8.852875e-01 
2.135600e-02 	8.820634e-01 
2.163300e-02 	8.788099e-01 
2.191000e-02 	8.755256e-01 
2.218600e-02 	8.722127e-01 
2.246300e-02 	8.688700e-01 
2.274000e-02 	8.654961e-01 
2.301600e-02 	8.620936e-01 
2.329300e-02 	8.586614e-01 
2.357000e-02 	8.551986e-01 
2.384600e-02 	8.517078e-01 
2.412300e-02 	8.481869e-01 
2.439900e-02 	8.446390e-01 
2.467600e-02 	8.410633e-01 
2.495300e-02 	8.374589e-01 
2.522900e-02 	8.338293e-01 
2.550600e-02 	8.301737e-01 
2.578300e-02 	8.264915e-01 
2.605900e-02 	8.227861e-01 
2.633600e-02 	8.190558e-01 
2.661300e-02 	8.153042e-01 
2.688900e-02 	8.115306e-01 
2.716600e-02 	8.077346e-01 
2.744200e-02 	8.039201e-01 
2.771900e-02 	8.000865e-01 
2.799600e-02 	7.962334e-01 
2.827200e-02 	7.923645e-01 
2.854900e-02 	7.884781e-01 
2.882600e-02 	7.845780e-01 
2.910200e-02 	7.806636e-01 
2.937900e-02 	7.767345e-01 
2.965600e-02 	7.727946e-01 
2.993200e-02 	7.688433e-01 
3.020900e-02 	7.648801e-01 
3.048500e-02 	7.609088e-01 
3.076200e-02 	7.569274e-01 
3.103900e-02 	7.529397e-01 
3.131500e-02 	7.489452e-01 
3.159200e-02 	7.449432e-01 
3.186900e-02 	7.409374e-01 
3.214500e-02 	7.369273e-01 
3.242200e-02 	7.329121e-01 
3.269900e-02 	7.288957e-01 
3.297500e-02 	7.248772e-01 
3.325200e-02 	7.208560e-01 
3.352800e-02 	7.168357e-01 
3.380500e-02 	7.128141e-01 
3.408200e-02 	7.087948e-01 
3.435800e-02 	7.047771e-01 
3.463500e-02 	7.007600e-01 
3.491200e-02 	6.967472e-01 
3.518800e-02 	6.927379e-01 
3.546500e-02 	6.887311e-01 
3.574200e-02 	6.847303e-01 
3.601800e-02 	6.807332e-01 
3.629500e-02 	6.767433e-01 
3.657100e-02 	6.727596e-01 
3.684800e-02 	6.687813e-01 
3.712500e-02 	6.648116e-01 
3.740100e-02 	6.608495e-01 
3.767800e-02 	6.568942e-01 
3.795500e-02 	6.529490e-01 
3.823100e-02 	6.490114e-01 
3.850800e-02 	6.450847e-01 
3.878400e-02 	6.411679e-01 
3.906100e-02 	6.372598e-01 
3.933800e-02 	6.333639e-01 
3.961400e-02 	6.294789e-01 
3.989100e-02 	6.256039e-01 
4.016800e-02 	6.217419e-01 
4.044400e-02 	6.178920e-01 
4.072100e-02 	6.140529e-01 
4.099800e-02 	6.102279e-01 
4.127400e-02 	6.064144e-01 
4.155100e-02 	6.026155e-01 
4.182800e-02 	5.988300e-01 
4.210400e-02 	5.950569e-01 
4.238100e-02 	5.912991e-01 
4.265700e-02 	5.875554e-01 
4.293400e-02 	5.838249e-01 
4.321100e-02 	5.801103e-01 
4.348700e-02 	5.764092e-01 
4.376400e-02 	5.727245e-01 
4.404100e-02 	5.690550e-01 
4.431700e-02 	5.653997e-01 
4.459400e-02 	5.617613e-01 
4.487100e-02 	5.581386e-01 
4.514700e-02 	5.545305e-01 
4.542400e-02 	5.509397e-01 
4.570100e-02 	5.473639e-01 
4.597700e-02 	5.438057e-01 
4.625400e-02 	5.402641e-01 
4.653000e-02 	5.367378e-01 
4.680700e-02 	5.332295e-01 
4.708400e-02 	5.297381e-01 
4.736000e-02 	5.262624e-01 
4.763700e-02 	5.228051e-01 
4.791300e-02 	5.193650e-01 
4.819000e-02 	5.159410e-01 
4.846700e-02 	5.125357e-01 
4.874400e-02 	5.091466e-01 
4.902000e-02 	5.057763e-01 
4.929700e-02 	5.024238e-01 
4.957300e-02 	4.990878e-01 
4.985000e-02 	4.957709e-01 
5.012700e-02 	4.924719e-01 
5.040300e-02 	4.891897e-01 
5.068000e-02 	4.859267e-01 
5.095700e-02 	4.826807e-01 
5.123300e-02 	4.794540e-01 
5.151000e-02 	4.762456e-01 
5.178700e-02 	4.730543e-01 
5.206300e-02 	4.698825e-01 
5.234000e-02 	4.667291e-01 
5.261600e-02 	4.635929e-01 
5.289300e-02 	4.604764e-01 
5.317000e-02 	4.573771e-01 
5.344600e-02 	4.542975e-01 
5.372300e-02 	4.512364e-01 
5.400000e-02 	4.481928e-01 
5.427600e-02 	4.451689e-01 
5.455300e-02 	4.421635e-01 
5.483000e-02 	4.391757e-01 
5.510600e-02 	4.362075e-01 
5.538300e-02 	4.332579e-01 
5.565900e-02 	4.303259e-01 
5.593600e-02 	4.274135e-01 
5.621300e-02 	4.245187e-01 
5.648900e-02 	4.216435e-01 
5.676600e-02 	4.187869e-01 
5.704300e-02 	4.159478e-01 
5.731900e-02 	4.131282e-01 
5.759600e-02 	4.103272e-01 
5.787300e-02 	4.075437e-01 
5.814900e-02 	4.047797e-01 
5.842600e-02 	4.020331e-01 
5.870200e-02 	3.993060e-01 
5.897900e-02 	3.965971e-01 
5.925600e-02 	3.939056e-01 
5.953200e-02 	3.912334e-01 
5.980900e-02 	3.885794e-01 
6.008600e-02 	3.859427e-01 
6.036200e-02 	3.833252e-01 
6.063900e-02 	3.807248e-01 
6.091600e-02 	3.781434e-01 
6.119200e-02 	3.755801e-01 
6.146900e-02 	3.730338e-01 
6.174500e-02 	3.705063e-01 
6.202200e-02 	3.679966e-01 
6.229900e-02 	3.655038e-01 
6.257500e-02 	3.630297e-01 
6.285200e-02 	3.605733e-01 
6.312900e-02 	3.581336e-01 
6.340500e-02 	3.557123e-01 
6.368200e-02 	3.533077e-01 
6.395900e-02 	3.509213e-01 
6.423500e-02 	3.485522e-01 
6.451200e-02 	3.461996e-01 
6.478800e-02 	3.438649e-01 
6.506500e-02 	3.415474e-01 
6.534200e-02 	3.392461e-01 
6.561800e-02 	3.369626e-01 
6.589500e-02 	3.346952e-01 
6.617200e-02 	3.324455e-01 
6.644800e-02 	3.302125e-01 
6.672500e-02 	3.279954e-01 
6.700200e-02 	3.257957e-01 
6.727800e-02 	3.236124e-01 
6.755500e-02 	3.214447e-01 
6.783100e-02 	3.192941e-01 
6.810800e-02 	3.171590e-01 
6.838500e-02 	3.150408e-01 
6.866100e-02 	3.129386e-01 
6.893800e-02 	3.108517e-01 
6.921500e-02 	3.087815e-01 
6.949100e-02 	3.067271e-01 
6.976800e-02 	3.046876e-01 
7.004400e-02 	3.026646e-01 
7.032100e-02 	3.006570e-01 
7.059800e-02 	2.986641e-01 
7.087400e-02 	2.966873e-01 
7.115100e-02 	2.947251e-01 
7.142800e-02 	2.927787e-01 
7.170400e-02 	2.908473e-01 
7.198100e-02 	2.889303e-01 
7.225800e-02 	2.870287e-01 
7.253400e-02 	2.851420e-01 
7.281100e-02 	2.832692e-01 
7.308800e-02 	2.814118e-01 
7.336400e-02 	2.795682e-01 
7.364100e-02 	2.777397e-01 
7.391700e-02 	2.759254e-01 
7.419400e-02 	2.741248e-01 
7.447100e-02 	2.723388e-01 
7.474700e-02 	2.705669e-01 
7.502400e-02 	2.688082e-01 
7.530100e-02 	2.670639e-01 
7.557700e-02 	2.653327e-01 
7.585400e-02 	2.636157e-01 
7.613100e-02 	2.619121e-01 
7.640700e-02 	2.602214e-01 
7.668400e-02 	2.585446e-01 
7.696000e-02 	2.568810e-01 
7.723700e-02 	2.552299e-01 
7.751400e-02 	2.535925e-01 
7.779000e-02 	2.519679e-01 
7.806700e-02 	2.503557e-01 
7.834400e-02 	2.487567e-01 
7.862000e-02 	2.471697e-01 
7.889700e-02 	2.455958e-01 
7.917400e-02 	2.440344e-01 
7.945000e-02 	2.424847e-01 
7.972700e-02 	2.409478e-01 
8.000300e-02 	2.394230e-01 
8.028000e-02 	2.379098e-01 
8.055700e-02 	2.364090e-01 
8.083300e-02 	2.349195e-01 
8.111000e-02 	2.334422e-01 
8.138700e-02 	2.319766e-01 
8.166300e-02 	2.305221e-01 
8.194000e-02 	2.290795e-01 
8.221700e-02 	2.276483e-01 
8.249300e-02 	2.262278e-01 
8.277000e-02 	2.248191e-01 
8.304700e-02 	2.234210e-01 
8.332300e-02 	2.220344e-01 
8.360000e-02 	2.206588e-01 
8.387600e-02 	2.192935e-01 
8.415300e-02 	2.179395e-01 
8.443000e-02 	2.165961e-01 
8.470600e-02 	2.152628e-01 
8.498300e-02 	2.139405e-01 
8.526000e-02 	2.126286e-01 
8.553600e-02 	2.113266e-01 
8.581300e-02 	2.100352e-01 
8.608900e-02 	2.087535e-01 
8.636600e-02 	2.074823e-01 
8.664300e-02 	2.062212e-01 
8.691900e-02 	2.049695e-01 
8.719600e-02 	2.037281e-01 
8.747300e-02 	2.024964e-01 
8.774900e-02 	2.012740e-01 
8.802600e-02 	2.000616e-01 
8.830300e-02 	1.988584e-01 
8.857900e-02 	1.976650e-01 
8.885600e-02 	1.964810e-01 
8.913300e-02 	1.953058e-01 
8.940900e-02 	1.941403e-01 
8.968600e-02 	1.929839e-01 
8.996200e-02 	1.918362e-01 
9.023900e-02 	1.906979e-01 
9.051600e-02 	1.895681e-01 
9.079200e-02 	1.884475e-01 
9.106900e-02 	1.873357e-01 
9.134600e-02 	1.862323e-01 
9.162200e-02 	1.851379e-01 
9.189900e-02 	1.840520e-01 
9.217600e-02 	1.829743e-01 
9.245200e-02 	1.819054e-01 
9.272900e-02 	1.808449e-01 
9.300500e-02 	1.797922e-01 
9.328200e-02 	1.787482e-01 
9.355900e-02 	1.777120e-01 
9.383500e-02 	1.766842e-01 
9.411200e-02 	1.756644e-01 
9.438900e-02 	1.746523e-01 
9.466500e-02 	1.736484e-01 
9.494200e-02 	1.726523e-01 
9.521800e-02 	1.716637e-01 
9.549500e-02 	1.706831e-01 
9.577200e-02 	1.697099e-01 
9.604800e-02 	1.687446e-01 
9.632500e-02 	1.677868e-01 
9.660200e-02 	1.668361e-01 
9.687800e-02 	1.658931e-01 
9.715500e-02 	1.649575e-01 
9.743200e-02 	1.640289e-01 
9.770800e-02 	1.631077e-01 
9.798500e-02 	1.621934e-01 
9.826200e-02 	1.612864e-01 
9.853800e-02 	1.603865e-01 
9.881500e-02 	1.594932e-01 
9.909100e-02 	1.586071e-01 
9.936800e-02 	1.577279e-01 
9.964500e-02 	1.568551e-01 
9.992100e-02 	1.559894e-01 
1.001980e-01 	1.551301e-01 
1.004750e-01 	1.542765e-01 
1.007510e-01 	1.534325e-01 
1.010280e-01 	1.525920e-01 
1.013040e-01 	1.517610e-01 
1.015810e-01 	1.509335e-01 
1.018580e-01 	1.501122e-01 
1.021340e-01 	1.493003e-01 
1.024110e-01 	1.484916e-01 
1.026880e-01 	1.476891e-01 
1.029640e-01 	1.468957e-01 
1.032410e-01 	1.461054e-01 
1.035180e-01 	1.453212e-01 
1.037940e-01 	1.445458e-01 
1.040710e-01 	1.437736e-01 
1.043480e-01 	1.430072e-01 
1.046240e-01 	1.422494e-01 
1.049010e-01 	1.414947e-01 
1.051770e-01 	1.407485e-01 
1.054540e-01 	1.400052e-01 
1.057310e-01 	1.392676e-01 
1.060070e-01 	1.385383e-01 
1.062840e-01 	1.378119e-01 
1.065610e-01 	1.370910e-01 
1.068370e-01 	1.363781e-01 
1.071140e-01 	1.356681e-01 
1.073910e-01 	1.349634e-01 
1.076670e-01 	1.342667e-01 
1.079440e-01 	1.335726e-01 
1.082200e-01 	1.328863e-01 
1.084970e-01 	1.322026e-01 
1.087740e-01 	1.315242e-01 
1.090500e-01 	1.308532e-01 
1.093270e-01 	1.301849e-01 
1.096040e-01 	1.295217e-01 
1.098800e-01 	1.288658e-01 
1.101570e-01 	1.282125e-01 
1.104340e-01 	1.275641e-01 
1.107100e-01 	1.269229e-01 
1.109870e-01 	1.262842e-01 
1.112630e-01 	1.256526e-01 
1.115400e-01 	1.250234e-01 
1.118170e-01 	1.243990e-01 
1.120930e-01 	1.237815e-01 
1.123700e-01 	1.231663e-01 
1.126470e-01 	1.225558e-01 
1.129230e-01 	1.219520e-01 
1.132000e-01 	1.213505e-01 
1.134770e-01 	1.207535e-01 
1.137530e-01 	1.201630e-01 
1.140300e-01 	1.195748e-01 
1.143060e-01 	1.189930e-01 
1.145830e-01 	1.184135e-01 
1.148600e-01 	1.178381e-01 
1.151360e-01 	1.172691e-01 
1.154130e-01 	1.167023e-01 
1.156900e-01 	1.161396e-01 
1.159660e-01 	1.155830e-01 
1.162430e-01 	1.150286e-01 
1.165200e-01 	1.144782e-01 
1.167960e-01 	1.139339e-01 
1.170730e-01 	1.133916e-01 
1.173490e-01 	1.128552e-01 
1.176260e-01 	1.123208e-01 
1.179030e-01 	1.117903e-01 
1.181790e-01 	1.112656e-01 
1.184560e-01 	1.107428e-01 
1.187330e-01 	1.102239e-01 
1.190090e-01 	1.097105e-01 
1.192860e-01 	1.091991e-01 
1.195630e-01 	1.086913e-01 
1.198390e-01 	1.081891e-01 
1.201160e-01 	1.076886e-01 
