#q 	 Ifit_avg 
5.659000e-03 	1.000000e+00 
6.049000e-03 	9.978024e-01 
6.439000e-03 	9.956026e-01 
6.829000e-03 	9.933982e-01 
7.220000e-03 	9.911869e-01 
7.610000e-03 	9.889664e-01 
8.000000e-03 	9.867344e-01 
8.390000e-03 	9.844885e-01 
8.781000e-03 	9.822265e-01 
9.171000e-03 	9.799460e-01 
9.561000e-03 	9.776446e-01 
9.952000e-03 	9.753202e-01 
1.034200e-02 	9.729700e-01 
1.073200e-02 	9.705926e-01 
1.112200e-02 	9.681845e-01 
1.151300e-02 	9.657446e-01 
1.190300e-02 	9.632694e-01 
1.229300e-02 	9.607576e-01 
1.268300e-02 	9.582059e-01 
1.307400e-02 	9.556131e-01 
1.346400e-02 	9.529756e-01 
1.385400e-02 	9.502917e-01 
1.424400e-02 	9.475599e-01 
1.463500e-02 	9.447763e-01 
1.502500e-02 	9.419401e-01 
1.541500e-02 	9.390476e-01 
1.580500e-02 	9.360978e-01 
1.619600e-02 	9.330870e-01 
1.658600e-02 	9.300143e-01 
1.697600e-02 	9.268759e-01 
1.736600e-02 	9.236712e-01 
1.775700e-02 	9.203961e-01 
1.814700e-02 	9.170505e-01 
1.853700e-02 	9.136306e-01 
1.892700e-02 	9.101367e-01 
1.931800e-02 	9.065658e-01 
1.970800e-02 	9.029187e-01 
2.009800e-02 	8.991937e-01 
2.048800e-02 	8.953927e-01 
2.087900e-02 	8.915142e-01 
2.126900e-02 	8.875618e-01 
2.165900e-02 	8.835351e-01 
2.204900e-02 	8.794378e-01 
2.244000e-02 	8.752698e-01 
2.283000e-02 	8.710352e-01 
2.322000e-02 	8.667341e-01 
2.361000e-02 	8.623708e-01 
2.400100e-02 	8.579452e-01 
2.439100e-02 	8.534616e-01 
2.478100e-02 	8.489198e-01 
2.517100e-02 	8.443243e-01 
2.556200e-02 	8.396749e-01 
2.595200e-02 	8.349761e-01 
2.634200e-02 	8.302275e-01 
2.673200e-02 	8.254337e-01 
2.712300e-02 	8.205944e-01 
2.751300e-02 	8.157142e-01 
2.790300e-02 	8.107927e-01 
2.829300e-02 	8.058344e-01 
2.868400e-02 	8.008390e-01 
2.907400e-02 	7.958111e-01 
2.946400e-02 	7.907515e-01 
2.985400e-02 	7.856608e-01 
3.024500e-02 	7.805438e-01 
3.063500e-02 	7.753998e-01 
3.102500e-02 	7.702334e-01 
3.141500e-02 	7.650437e-01 
3.180600e-02 	7.598353e-01 
3.219600e-02 	7.546072e-01 
3.258600e-02 	7.493638e-01 
3.297600e-02 	7.441056e-01 
3.336700e-02 	7.388327e-01 
3.375700e-02 	7.335492e-01 
3.414700e-02 	7.282537e-01 
3.453700e-02 	7.229503e-01 
3.492800e-02 	7.176378e-01 
3.531800e-02 	7.123201e-01 
3.570800e-02 	7.069970e-01 
3.609800e-02 	7.016680e-01 
3.648800e-02 	6.963370e-01 
3.687900e-02 	6.910020e-01 
3.726900e-02 	6.856668e-01 
3.765900e-02 	6.803310e-01 
3.804900e-02 	6.749941e-01 
3.844000e-02 	6.696598e-01 
3.883000e-02 	6.643275e-01 
3.922000e-02 	6.589966e-01 
3.961000e-02 	6.536709e-01 
4.000100e-02 	6.483482e-01 
4.039100e-02 	6.430323e-01 
4.078100e-02 	6.377225e-01 
4.117100e-02 	6.324182e-01 
4.156200e-02 	6.271231e-01 
4.195200e-02 	6.218365e-01 
4.234200e-02 	6.165579e-01 
4.273200e-02 	6.112908e-01 
4.312200e-02 	6.060345e-01 
4.351300e-02 	6.007886e-01 
4.390300e-02 	5.955564e-01 
4.429300e-02 	5.903373e-01 
4.468300e-02 	5.851308e-01 
4.507400e-02 	5.799401e-01 
4.546400e-02 	5.747646e-01 
4.585400e-02 	5.696037e-01 
4.624400e-02 	5.644608e-01 
4.663500e-02 	5.593352e-01 
4.702500e-02 	5.542262e-01 
4.741500e-02 	5.491371e-01 
4.780500e-02 	5.440670e-01 
4.819500e-02 	5.390167e-01 
4.858600e-02 	5.339853e-01 
4.897600e-02 	5.289761e-01 
4.936600e-02 	5.239883e-01 
4.975600e-02 	5.190213e-01 
5.014700e-02 	5.140782e-01 
5.053700e-02 	5.091583e-01 
5.092700e-02 	5.042619e-01 
5.131700e-02 	4.993885e-01 
5.170700e-02 	4.945410e-01 
5.209800e-02 	4.897187e-01 
5.248800e-02 	4.849221e-01 
5.287800e-02 	4.801516e-01 
5.326800e-02 	4.754066e-01 
5.365900e-02 	4.706899e-01 
5.404900e-02 	4.660008e-01 
5.443900e-02 	4.613398e-01 
5.482900e-02 	4.567062e-01 
5.522000e-02 	4.521027e-01 
5.561000e-02 	4.475288e-01 
5.600000e-02 	4.429848e-01 
5.639000e-02 	4.384711e-01 
5.678000e-02 	4.339881e-01 
5.717100e-02 	4.295350e-01 
5.756100e-02 	4.251144e-01 
5.795100e-02 	4.207256e-01 
5.834100e-02 	4.163690e-01 
5.873100e-02 	4.120448e-01 
5.912200e-02 	4.077535e-01 
5.951200e-02 	4.034942e-01 
5.990200e-02 	3.992696e-01 
6.029200e-02 	3.950789e-01 
6.068300e-02 	3.909221e-01 
6.107300e-02 	3.867995e-01 
6.146300e-02 	3.827111e-01 
6.185300e-02 	3.786573e-01 
6.224300e-02 	3.746380e-01 
6.263300e-02 	3.706535e-01 
6.302400e-02 	3.667030e-01 
6.341400e-02 	3.627886e-01 
6.380400e-02 	3.589095e-01 
6.419400e-02 	3.550658e-01 
6.458500e-02 	3.512577e-01 
6.497500e-02 	3.474852e-01 
6.536500e-02 	3.437483e-01 
6.575500e-02 	3.400470e-01 
6.614500e-02 	3.363811e-01 
6.653600e-02 	3.327506e-01 
6.692600e-02 	3.291554e-01 
6.731600e-02 	3.255955e-01 
6.770600e-02 	3.220708e-01 
6.809600e-02 	3.185812e-01 
6.848700e-02 	3.151267e-01 
6.887700e-02 	3.117071e-01 
6.926700e-02 	3.083225e-01 
6.965700e-02 	3.049727e-01 
7.004700e-02 	3.016576e-01 
7.043800e-02 	2.983772e-01 
7.082800e-02 	2.951313e-01 
7.121800e-02 	2.919197e-01 
7.160800e-02 	2.887424e-01 
7.199800e-02 	2.855992e-01 
7.238900e-02 	2.824899e-01 
7.277900e-02 	2.794144e-01 
7.316900e-02 	2.763726e-01 
7.355900e-02 	2.733643e-01 
7.394900e-02 	2.703893e-01 
7.434000e-02 	2.674482e-01 
7.473000e-02 	2.645393e-01 
7.512000e-02 	2.616631e-01 
7.551000e-02 	2.588194e-01 
7.590000e-02 	2.560080e-01 
7.629100e-02 	2.532287e-01 
7.668100e-02 	2.504814e-01 
7.707100e-02 	2.477659e-01 
7.746100e-02 	2.450826e-01 
7.785100e-02 	2.424301e-01 
7.824100e-02 	2.398088e-01 
7.863200e-02 	2.372185e-01 
7.902200e-02 	2.346591e-01 
7.941200e-02 	2.321303e-01 
7.980200e-02 	2.296326e-01 
8.019200e-02 	2.271643e-01 
8.058300e-02 	2.247258e-01 
8.097300e-02 	2.223168e-01 
8.136300e-02 	2.199371e-01 
8.175300e-02 	2.175868e-01 
8.214300e-02 	2.152647e-01 
8.253300e-02 	2.129709e-01 
8.292400e-02 	2.107053e-01 
8.331400e-02 	2.084682e-01 
8.370400e-02 	2.062581e-01 
8.409400e-02 	2.040754e-01 
8.448400e-02 	2.019203e-01 
8.487400e-02 	1.997915e-01 
8.526500e-02 	1.976893e-01 
8.565500e-02 	1.956134e-01 
8.604500e-02 	1.935640e-01 
8.643500e-02 	1.915399e-01 
8.682500e-02 	1.895414e-01 
8.721500e-02 	1.875685e-01 
8.760600e-02 	1.856200e-01 
8.799600e-02 	1.836961e-01 
8.838600e-02 	1.817972e-01 
8.877600e-02 	1.799219e-01 
8.916600e-02 	1.780709e-01 
8.955600e-02 	1.762430e-01 
8.994700e-02 	1.744385e-01 
9.033700e-02 	1.726576e-01 
9.072700e-02 	1.708990e-01 
9.111700e-02 	1.691634e-01 
9.150700e-02 	1.674496e-01 
9.189700e-02 	1.657584e-01 
9.228800e-02 	1.640885e-01 
9.267800e-02 	1.624401e-01 
9.306800e-02 	1.608133e-01 
9.345800e-02 	1.592072e-01 
9.384800e-02 	1.576222e-01 
9.423800e-02 	1.560573e-01 
9.462800e-02 	1.545132e-01 
9.501900e-02 	1.529886e-01 
9.540900e-02 	1.514842e-01 
9.579900e-02 	1.499990e-01 
9.618900e-02 	1.485334e-01 
9.657900e-02 	1.470865e-01 
9.696900e-02 	1.456587e-01 
9.735900e-02 	1.442495e-01 
9.775000e-02 	1.428581e-01 
9.814000e-02 	1.414852e-01 
9.853000e-02 	1.401297e-01 
9.892000e-02 	1.387920e-01 
9.931000e-02 	1.374717e-01 
9.970000e-02 	1.361680e-01 
1.000900e-01 	1.348828e-01 
1.004810e-01 	1.336098e-01 
