#q 	 Ifit_avg 
4.430000e-03 	1.000000e+00 
4.716000e-03 	9.976322e-01 
5.002000e-03 	9.952633e-01 
5.288000e-03 	9.928905e-01 
5.573000e-03 	9.905116e-01 
5.859000e-03 	9.881248e-01 
6.145000e-03 	9.857281e-01 
6.431000e-03 	9.833186e-01 
6.717000e-03 	9.808959e-01 
7.003000e-03 	9.784573e-01 
7.288000e-03 	9.760008e-01 
7.574000e-03 	9.735243e-01 
7.860000e-03 	9.710258e-01 
8.146000e-03 	9.685034e-01 
8.432000e-03 	9.659542e-01 
8.717000e-03 	9.633779e-01 
9.003000e-03 	9.607717e-01 
9.289000e-03 	9.581335e-01 
9.575000e-03 	9.554614e-01 
9.861000e-03 	9.527534e-01 
1.014600e-02 	9.500113e-01 
1.043200e-02 	9.472235e-01 
1.071800e-02 	9.443937e-01 
1.100400e-02 	9.415199e-01 
1.129000e-02 	9.386001e-01 
1.157600e-02 	9.356323e-01 
1.186100e-02 	9.326251e-01 
1.214700e-02 	9.295556e-01 
1.243300e-02 	9.264322e-01 
1.271900e-02 	9.232530e-01 
1.300500e-02 	9.200162e-01 
1.329000e-02 	9.167317e-01 
1.357600e-02 	9.133750e-01 
1.386200e-02 	9.099559e-01 
1.414800e-02 	9.064735e-01 
1.443400e-02 	9.029265e-01 
1.472000e-02 	8.993144e-01 
1.500500e-02 	8.956496e-01 
1.529100e-02 	8.919061e-01 
1.557700e-02 	8.880969e-01 
1.586300e-02 	8.842220e-01 
1.614900e-02 	8.802822e-01 
1.643400e-02 	8.762924e-01 
1.672000e-02 	8.722254e-01 
1.700600e-02 	8.680966e-01 
1.729200e-02 	8.639073e-01 
1.757800e-02 	8.596590e-01 
1.786300e-02 	8.553686e-01 
1.814900e-02 	8.510079e-01 
1.843500e-02 	8.465937e-01 
1.872100e-02 	8.421279e-01 
1.900700e-02 	8.376128e-01 
1.929300e-02 	8.330503e-01 
1.957800e-02 	8.284588e-01 
1.986400e-02 	8.238082e-01 
2.015000e-02 	8.191166e-01 
2.043600e-02 	8.143862e-01 
2.072200e-02 	8.096190e-01 
2.100700e-02 	8.048341e-01 
2.129300e-02 	7.999999e-01 
2.157900e-02 	7.951352e-01 
2.186500e-02 	7.902421e-01 
2.215100e-02 	7.853225e-01 
2.243700e-02 	7.803785e-01 
2.272200e-02 	7.754293e-01 
2.300800e-02 	7.704421e-01 
2.329400e-02 	7.654361e-01 
2.358000e-02 	7.604131e-01 
2.386600e-02 	7.553749e-01 
2.415100e-02 	7.503408e-01 
2.443700e-02 	7.452773e-01 
2.472300e-02 	7.402035e-01 
2.500900e-02 	7.351210e-01 
2.529500e-02 	7.300314e-01 
2.558100e-02 	7.249362e-01 
2.586600e-02 	7.198547e-01 
2.615200e-02 	7.147524e-01 
2.643800e-02 	7.096486e-01 
2.672400e-02 	7.045445e-01 
2.701000e-02 	6.994416e-01 
2.729500e-02 	6.943587e-01 
2.758100e-02 	6.892612e-01 
2.786700e-02 	6.841682e-01 
2.815300e-02 	6.790808e-01 
2.843900e-02 	6.739999e-01 
2.872400e-02 	6.689444e-01 
2.901000e-02 	6.638796e-01 
2.929600e-02 	6.588242e-01 
2.958200e-02 	6.537790e-01 
2.986800e-02 	6.487451e-01 
3.015400e-02 	6.437232e-01 
3.043900e-02 	6.387316e-01 
3.072500e-02 	6.337360e-01 
3.101100e-02 	6.287547e-01 
3.129700e-02 	6.237884e-01 
3.158300e-02 	6.188378e-01 
3.186800e-02 	6.139208e-01 
3.215400e-02 	6.090035e-01 
3.244000e-02 	6.041038e-01 
3.272600e-02 	5.992225e-01 
3.301200e-02 	5.943600e-01 
3.329800e-02 	5.895168e-01 
3.358300e-02 	5.847104e-01 
3.386900e-02 	5.799075e-01 
3.415500e-02 	5.751257e-01 
3.444100e-02 	5.703654e-01 
3.472700e-02 	5.656270e-01 
3.501200e-02 	5.609276e-01 
3.529800e-02 	5.562345e-01 
3.558400e-02 	5.515648e-01 
3.587000e-02 	5.469188e-01 
3.615600e-02 	5.422971e-01 
3.644200e-02 	5.377000e-01 
3.672700e-02 	5.331438e-01 
3.701300e-02 	5.285969e-01 
3.729900e-02 	5.240757e-01 
3.758500e-02 	5.195806e-01 
3.787100e-02 	5.151119e-01 
3.815600e-02 	5.106854e-01 
3.844200e-02 	5.062704e-01 
3.872800e-02 	5.018828e-01 
3.901400e-02 	4.975228e-01 
3.930000e-02 	4.931906e-01 
3.958500e-02 	4.889015e-01 
3.987100e-02 	4.846257e-01 
4.015700e-02 	4.803786e-01 
4.044300e-02 	4.761604e-01 
4.072900e-02 	4.719712e-01 
4.101500e-02 	4.678113e-01 
4.130000e-02 	4.636952e-01 
4.158600e-02 	4.595941e-01 
4.187200e-02 	4.555229e-01 
4.215800e-02 	4.514816e-01 
4.244400e-02 	4.474703e-01 
4.272900e-02 	4.435031e-01 
4.301500e-02 	4.395522e-01 
4.330100e-02 	4.356318e-01 
4.358700e-02 	4.317419e-01 
4.387300e-02 	4.278825e-01 
4.415900e-02 	4.240539e-01 
4.444400e-02 	4.202692e-01 
4.473000e-02 	4.165019e-01 
4.501600e-02 	4.127655e-01 
4.530200e-02 	4.090598e-01 
4.558800e-02 	4.053850e-01 
4.587300e-02 	4.017538e-01 
4.615900e-02 	3.981408e-01 
4.644500e-02 	3.945586e-01 
4.673100e-02 	3.910074e-01 
4.701700e-02 	3.874871e-01 
4.730200e-02 	3.840097e-01 
4.758800e-02 	3.805508e-01 
4.787400e-02 	3.771227e-01 
4.816000e-02 	3.737252e-01 
4.844600e-02 	3.703583e-01 
4.873200e-02 	3.670220e-01 
4.901700e-02 	3.637277e-01 
4.930300e-02 	3.604523e-01 
4.958900e-02 	3.572072e-01 
4.987500e-02 	3.539923e-01 
5.016100e-02 	3.508076e-01 
5.044600e-02 	3.476638e-01 
5.073200e-02 	3.445387e-01 
5.101800e-02 	3.414433e-01 
5.130400e-02 	3.383776e-01 
5.159000e-02 	3.353413e-01 
5.187600e-02 	3.323344e-01 
5.216100e-02 	3.293671e-01 
5.244700e-02 	3.264184e-01 
5.273300e-02 	3.234987e-01 
5.301900e-02 	3.206077e-01 
5.330500e-02 	3.177453e-01 
5.359000e-02 	3.149211e-01 
5.387600e-02 	3.121150e-01 
5.416200e-02 	3.093370e-01 
5.444800e-02 	3.065867e-01 
5.473400e-02 	3.038641e-01 
5.502000e-02 	3.011689e-01 
5.530500e-02 	2.985103e-01 
5.559100e-02 	2.958694e-01 
5.587700e-02 	2.932554e-01 
5.616300e-02 	2.906682e-01 
5.644900e-02 	2.881074e-01 
