#q 	 Ifit_avg 
2.999000e-03 	1.000000e+00 
3.284000e-03 	9.985495e-01 
3.570000e-03 	9.970976e-01 
3.856000e-03 	9.956430e-01 
4.141000e-03 	9.941842e-01 
4.427000e-03 	9.927199e-01 
4.712000e-03 	9.912486e-01 
4.998000e-03 	9.897690e-01 
5.284000e-03 	9.882796e-01 
5.569000e-03 	9.867790e-01 
5.855000e-03 	9.852659e-01 
6.140000e-03 	9.837388e-01 
6.426000e-03 	9.821964e-01 
6.712000e-03 	9.806372e-01 
6.997000e-03 	9.790599e-01 
7.283000e-03 	9.774630e-01 
7.568000e-03 	9.758452e-01 
7.854000e-03 	9.742050e-01 
8.140000e-03 	9.725411e-01 
8.425000e-03 	9.708520e-01 
8.711000e-03 	9.691363e-01 
8.996000e-03 	9.673927e-01 
9.282000e-03 	9.656198e-01 
9.568000e-03 	9.638161e-01 
9.853000e-03 	9.619802e-01 
1.013900e-02 	9.601108e-01 
1.042400e-02 	9.582065e-01 
1.071000e-02 	9.562658e-01 
1.099600e-02 	9.542873e-01 
1.128100e-02 	9.522697e-01 
1.156700e-02 	9.502115e-01 
1.185300e-02 	9.481114e-01 
1.213800e-02 	9.459679e-01 
1.242400e-02 	9.437797e-01 
1.270900e-02 	9.415454e-01 
1.299500e-02 	9.392636e-01 
1.328100e-02 	9.369330e-01 
1.356600e-02 	9.345524e-01 
1.385200e-02 	9.321205e-01 
1.413700e-02 	9.296362e-01 
1.442300e-02 	9.270984e-01 
1.470900e-02 	9.245061e-01 
1.499400e-02 	9.218586e-01 
1.528000e-02 	9.191550e-01 
1.556500e-02 	9.163951e-01 
1.585100e-02 	9.135783e-01 
1.613700e-02 	9.107046e-01 
1.642200e-02 	9.077742e-01 
1.670800e-02 	9.047877e-01 
1.699300e-02 	9.017455e-01 
1.727900e-02 	8.986483e-01 
1.756500e-02 	8.954975e-01 
1.785000e-02 	8.922942e-01 
1.813600e-02 	8.890397e-01 
1.842100e-02 	8.857351e-01 
1.870700e-02 	8.823816e-01 
1.899300e-02 	8.789806e-01 
1.927800e-02 	8.755333e-01 
1.956400e-02 	8.720408e-01 
1.984900e-02 	8.685045e-01 
2.013500e-02 	8.649255e-01 
2.042100e-02 	8.613051e-01 
2.070600e-02 	8.576446e-01 
2.099200e-02 	8.539450e-01 
2.127700e-02 	8.502078e-01 
2.156300e-02 	8.464341e-01 
2.184900e-02 	8.426252e-01 
2.213400e-02 	8.387822e-01 
2.242000e-02 	8.349064e-01 
2.270500e-02 	8.309989e-01 
2.299100e-02 	8.270611e-01 
2.327700e-02 	8.230942e-01 
2.356200e-02 	8.190992e-01 
2.384800e-02 	8.150774e-01 
2.413300e-02 	8.110299e-01 
2.441900e-02 	8.069580e-01 
2.470500e-02 	8.028628e-01 
2.499000e-02 	7.987454e-01 
2.527600e-02 	7.946069e-01 
2.556100e-02 	7.904485e-01 
2.584700e-02 	7.862713e-01 
2.613300e-02 	7.820764e-01 
2.641800e-02 	7.778647e-01 
2.670400e-02 	7.736374e-01 
2.698900e-02 	7.693956e-01 
2.727500e-02 	7.651402e-01 
2.756100e-02 	7.608721e-01 
2.784600e-02 	7.565923e-01 
2.813200e-02 	7.523016e-01 
2.841700e-02 	7.480011e-01 
2.870300e-02 	7.436916e-01 
2.898900e-02 	7.393739e-01 
2.927400e-02 	7.350489e-01 
2.956000e-02 	7.307171e-01 
2.984500e-02 	7.263794e-01 
3.013100e-02 	7.220364e-01 
3.041700e-02 	7.176889e-01 
3.070200e-02 	7.133375e-01 
3.098800e-02 	7.089829e-01 
3.127300e-02 	7.046256e-01 
3.155900e-02 	7.002663e-01 
