#q 	 Ifit_avg 
9.561000e-03 	1.000000e+00 
9.952000e-03 	9.982952e-01 
1.034200e-02 	9.965894e-01 
1.073200e-02 	9.948824e-01 
1.112200e-02 	9.931723e-01 
1.151300e-02 	9.914593e-01 
1.190300e-02 	9.897416e-01 
1.229300e-02 	9.880192e-01 
1.268300e-02 	9.862903e-01 
1.307400e-02 	9.845549e-01 
1.346400e-02 	9.828113e-01 
1.385400e-02 	9.810590e-01 
1.424400e-02 	9.792977e-01 
1.463500e-02 	9.775256e-01 
1.502500e-02 	9.757426e-01 
1.541500e-02 	9.739470e-01 
1.580500e-02 	9.721388e-01 
1.619600e-02 	9.703163e-01 
1.658600e-02 	9.684795e-01 
1.697600e-02 	9.666266e-01 
1.736600e-02 	9.647577e-01 
1.775700e-02 	9.628709e-01 
1.814700e-02 	9.609663e-01 
1.853700e-02 	9.590422e-01 
1.892700e-02 	9.570985e-01 
1.931800e-02 	9.551334e-01 
1.970800e-02 	9.531471e-01 
2.009800e-02 	9.511376e-01 
2.048800e-02 	9.491052e-01 
2.087900e-02 	9.470478e-01 
2.126900e-02 	9.449658e-01 
2.165900e-02 	9.428571e-01 
2.204900e-02 	9.407219e-01 
2.244000e-02 	9.385584e-01 
2.283000e-02 	9.363666e-01 
2.322000e-02 	9.341447e-01 
2.361000e-02 	9.318928e-01 
2.400100e-02 	9.296090e-01 
2.439100e-02 	9.272936e-01 
2.478100e-02 	9.249445e-01 
2.517100e-02 	9.225620e-01 
2.556200e-02 	9.201440e-01 
2.595200e-02 	9.176910e-01 
2.634200e-02 	9.152009e-01 
2.673200e-02 	9.126746e-01 
2.712300e-02 	9.101098e-01 
2.751300e-02 	9.075075e-01 
2.790300e-02 	9.048662e-01 
2.829300e-02 	9.021875e-01 
2.868400e-02 	8.994701e-01 
2.907400e-02 	8.967156e-01 
2.946400e-02 	8.939234e-01 
2.985400e-02 	8.910934e-01 
3.024500e-02 	8.882276e-01 
3.063500e-02 	8.853254e-01 
3.102500e-02 	8.823889e-01 
3.141500e-02 	8.794175e-01 
3.180600e-02 	8.764134e-01 
3.219600e-02 	8.733758e-01 
3.258600e-02 	8.703071e-01 
3.297600e-02 	8.672072e-01 
3.336700e-02 	8.640761e-01 
3.375700e-02 	8.609164e-01 
3.414700e-02 	8.577271e-01 
3.453700e-02 	8.545107e-01 
3.492800e-02 	8.512664e-01 
3.531800e-02 	8.479966e-01 
3.570800e-02 	8.447013e-01 
3.609800e-02 	8.413804e-01 
3.648800e-02 	8.380366e-01 
3.687900e-02 	8.346687e-01 
3.726900e-02 	8.312795e-01 
3.765900e-02 	8.278687e-01 
3.804900e-02 	8.244364e-01 
3.844000e-02 	8.209852e-01 
3.883000e-02 	8.175148e-01 
3.922000e-02 	8.140253e-01 
3.961000e-02 	8.105192e-01 
4.000100e-02 	8.069956e-01 
4.039100e-02 	8.034571e-01 
4.078100e-02 	7.999034e-01 
4.117100e-02 	7.963347e-01 
4.156200e-02 	7.927534e-01 
4.195200e-02 	7.891594e-01 
4.234200e-02 	7.855526e-01 
4.273200e-02 	7.819355e-01 
4.312200e-02 	7.783080e-01 
4.351300e-02 	7.746698e-01 
4.390300e-02 	7.710236e-01 
4.429300e-02 	7.673691e-01 
4.468300e-02 	7.637061e-01 
4.507400e-02 	7.600373e-01 
4.546400e-02 	7.563622e-01 
4.585400e-02 	7.526804e-01 
4.624400e-02 	7.489943e-01 
4.663500e-02 	7.453033e-01 
4.702500e-02 	7.416070e-01 
4.741500e-02 	7.379079e-01 
4.780500e-02 	7.342053e-01 
4.819500e-02 	7.304999e-01 
4.858600e-02 	7.267912e-01 
4.897600e-02 	7.230815e-01 
4.936600e-02 	7.193703e-01 
4.975600e-02 	7.156570e-01 
5.014700e-02 	7.119439e-01 
5.053700e-02 	7.082302e-01 
5.092700e-02 	7.045164e-01 
5.131700e-02 	7.008018e-01 
5.170800e-02 	6.970886e-01 
5.209800e-02 	6.933762e-01 
5.248800e-02 	6.896650e-01 
5.287800e-02 	6.859551e-01 
5.326800e-02 	6.822462e-01 
5.365900e-02 	6.785402e-01 
5.404900e-02 	6.748367e-01 
5.443900e-02 	6.711360e-01 
5.482900e-02 	6.674373e-01 
5.521900e-02 	6.637430e-01 
5.561000e-02 	6.600524e-01 
5.600000e-02 	6.563657e-01 
5.639000e-02 	6.526833e-01 
5.678000e-02 	6.490056e-01 
5.717100e-02 	6.453318e-01 
5.756100e-02 	6.416642e-01 
5.795100e-02 	6.380021e-01 
5.834100e-02 	6.343458e-01 
5.873100e-02 	6.306957e-01 
5.912200e-02 	6.270518e-01 
5.951200e-02 	6.234138e-01 
5.990200e-02 	6.197836e-01 
6.029200e-02 	6.161606e-01 
6.068300e-02 	6.125452e-01 
6.107300e-02 	6.089376e-01 
6.146300e-02 	6.053380e-01 
6.185300e-02 	6.017469e-01 
6.224300e-02 	5.981644e-01 
6.263300e-02 	5.945909e-01 
6.302400e-02 	5.910257e-01 
6.341400e-02 	5.874707e-01 
6.380400e-02 	5.839254e-01 
6.419400e-02 	5.803899e-01 
6.458500e-02 	5.768645e-01 
6.497500e-02 	5.733493e-01 
6.536500e-02 	5.698447e-01 
6.575500e-02 	5.663507e-01 
6.614500e-02 	5.628676e-01 
6.653600e-02 	5.593957e-01 
6.692600e-02 	5.559352e-01 
6.731600e-02 	5.524862e-01 
6.770600e-02 	5.490490e-01 
6.809600e-02 	5.456238e-01 
6.848700e-02 	5.422108e-01 
6.887700e-02 	5.388103e-01 
6.926700e-02 	5.354224e-01 
6.965700e-02 	5.320473e-01 
7.004700e-02 	5.286852e-01 
7.043800e-02 	5.253364e-01 
7.082800e-02 	5.220009e-01 
