#q 	 Ifit_avg 
6.577000e-03 	1.000000e+00 
8.007000e-03 	9.952277e-01 
9.438000e-03 	9.904106e-01 
1.086800e-02 	9.855027e-01 
1.229900e-02 	9.804582e-01 
1.373000e-02 	9.752311e-01 
1.516000e-02 	9.697753e-01 
1.659100e-02 	9.640449e-01 
1.802100e-02 	9.579935e-01 
1.945200e-02 	9.515761e-01 
2.088300e-02 	9.447461e-01 
2.231300e-02 	9.374576e-01 
2.374400e-02 	9.296647e-01 
2.517400e-02 	9.213262e-01 
2.660500e-02 	9.124282e-01 
2.803600e-02 	9.029921e-01 
2.946600e-02 	8.930536e-01 
3.089700e-02 	8.826476e-01 
3.232800e-02 	8.718094e-01 
3.375800e-02 	8.605745e-01 
3.518900e-02 	8.489786e-01 
3.661900e-02 	8.370563e-01 
3.805000e-02 	8.248446e-01 
3.948100e-02 	8.123784e-01 
4.091100e-02 	7.996930e-01 
4.234200e-02 	7.868221e-01 
4.377200e-02 	7.737966e-01 
4.520300e-02 	7.606410e-01 
4.663400e-02 	7.473731e-01 
4.806400e-02 	7.340115e-01 
4.949500e-02 	7.205706e-01 
5.092600e-02 	7.070655e-01 
5.235600e-02 	6.935115e-01 
5.378700e-02 	6.799235e-01 
5.521700e-02 	6.663168e-01 
5.664800e-02 	6.527055e-01 
5.807900e-02 	6.391066e-01 
5.950900e-02 	6.255338e-01 
6.094000e-02 	6.120016e-01 
6.237100e-02 	5.985243e-01 
6.380100e-02 	5.851150e-01 
6.523200e-02 	5.717870e-01 
6.666200e-02 	5.585521e-01 
6.809300e-02 	5.454250e-01 
6.952400e-02 	5.324177e-01 
7.095400e-02 	5.195428e-01 
7.238500e-02 	5.068131e-01 
7.381500e-02 	4.942412e-01 
7.524600e-02 	4.818389e-01 
7.667700e-02 	4.696194e-01 
7.810700e-02 	4.575921e-01 
7.953800e-02 	4.457673e-01 
8.096800e-02 	4.341543e-01 
8.239900e-02 	4.227577e-01 
8.383000e-02 	4.115813e-01 
8.526000e-02 	4.006282e-01 
8.669100e-02 	3.899035e-01 
8.812200e-02 	3.794087e-01 
8.955200e-02 	3.691457e-01 
9.098300e-02 	3.591165e-01 
9.241300e-02 	3.493231e-01 
9.384400e-02 	3.397666e-01 
9.527500e-02 	3.304471e-01 
9.670500e-02 	3.213668e-01 
9.813600e-02 	3.125257e-01 
9.956700e-02 	3.039233e-01 
1.009970e-01 	2.955574e-01 
1.024280e-01 	2.874218e-01 
1.038580e-01 	2.795218e-01 
1.052890e-01 	2.718435e-01 
1.067200e-01 	2.643891e-01 
1.081500e-01 	2.571597e-01 
1.095810e-01 	2.501409e-01 
1.110110e-01 	2.433384e-01 
1.124420e-01 	2.367383e-01 
1.138730e-01 	2.303411e-01 
1.153030e-01 	2.241468e-01 
1.167340e-01 	2.181422e-01 
1.181640e-01 	2.123308e-01 
1.195950e-01 	2.066989e-01 
1.210260e-01 	2.012451e-01 
1.224560e-01 	1.959675e-01 
1.238870e-01 	1.908531e-01 
1.253180e-01 	1.859002e-01 
1.267480e-01 	1.811062e-01 
1.281790e-01 	1.764588e-01 
1.296090e-01 	1.719589e-01 
1.310400e-01 	1.675946e-01 
1.324710e-01 	1.633635e-01 
1.339010e-01 	1.592627e-01 
1.353320e-01 	1.552810e-01 
1.367620e-01 	1.514190e-01 
1.381930e-01 	1.476666e-01 
1.396240e-01 	1.440220e-01 
1.410540e-01 	1.404828e-01 
1.424850e-01 	1.370394e-01 
1.439160e-01 	1.336897e-01 
1.453460e-01 	1.304318e-01 
1.467770e-01 	1.272569e-01 
1.482070e-01 	1.241657e-01 
1.496380e-01 	1.211496e-01 
1.510690e-01 	1.182069e-01 
1.524990e-01 	1.153356e-01 
1.539300e-01 	1.125279e-01 
1.553600e-01 	1.097850e-01 
1.567910e-01 	1.071007e-01 
1.582220e-01 	1.044745e-01 
1.596520e-01 	1.019055e-01 
1.610830e-01 	9.938788e-02 
1.625140e-01 	9.692114e-02 
1.639440e-01 	9.450479e-02 
1.653750e-01 	9.213330e-02 
1.668050e-01 	8.980814e-02 
1.682360e-01 	8.752429e-02 
1.696670e-01 	8.528164e-02 
1.710970e-01 	8.307995e-02 
1.725280e-01 	8.091479e-02 
1.739580e-01 	7.878843e-02 
1.753890e-01 	7.669720e-02 
1.768200e-01 	7.464190e-02 
1.782500e-01 	7.262327e-02 
1.796810e-01 	7.063783e-02 
1.811120e-01 	6.868638e-02 
1.825420e-01 	6.676962e-02 
1.839730e-01 	6.488424e-02 
1.854030e-01 	6.303234e-02 
1.868340e-01 	6.121102e-02 
1.882650e-01 	5.942134e-02 
1.896950e-01 	5.766425e-02 
1.911260e-01 	5.593722e-02 
1.925560e-01 	5.424270e-02 
1.939870e-01 	5.257837e-02 
1.954180e-01 	5.094545e-02 
1.968480e-01 	4.934508e-02 
1.982790e-01 	4.777501e-02 
1.997100e-01 	4.623639e-02 
2.011400e-01 	4.473028e-02 
2.025710e-01 	4.325459e-02 
2.040010e-01 	4.181139e-02 
2.054320e-01 	4.039877e-02 
