#q 	 Ifit_avg 
5.698000e-03 	1.000000e+00 
5.998000e-03 	9.966414e-01 
6.298000e-03 	9.932799e-01 
6.598000e-03 	9.899127e-01 
6.897000e-03 	9.865368e-01 
7.197000e-03 	9.831494e-01 
7.497000e-03 	9.797474e-01 
7.797000e-03 	9.763292e-01 
8.097000e-03 	9.728896e-01 
8.397000e-03 	9.694269e-01 
8.697000e-03 	9.659380e-01 
8.997000e-03 	9.624201e-01 
9.297000e-03 	9.588704e-01 
9.597000e-03 	9.552858e-01 
9.896000e-03 	9.516636e-01 
1.019600e-02 	9.480044e-01 
1.049600e-02 	9.442968e-01 
1.079600e-02 	9.405428e-01 
1.109600e-02 	9.367395e-01 
1.139600e-02 	9.328839e-01 
1.169600e-02 	9.289732e-01 
1.199600e-02 	9.250044e-01 
1.229500e-02 	9.209881e-01 
1.259500e-02 	9.168947e-01 
1.289500e-02 	9.127345e-01 
1.319500e-02 	9.085048e-01 
1.349500e-02 	9.042028e-01 
1.379500e-02 	8.998261e-01 
1.409500e-02 	8.953726e-01 
1.439500e-02 	8.908404e-01 
1.469500e-02 	8.862281e-01 
1.499400e-02 	8.815504e-01 
1.529400e-02 	8.767755e-01 
1.559400e-02 	8.719189e-01 
1.589400e-02 	8.669812e-01 
1.619400e-02 	8.619634e-01 
1.649400e-02 	8.568669e-01 
1.679400e-02 	8.516937e-01 
1.709400e-02 	8.464458e-01 
1.739400e-02 	8.411260e-01 
1.769300e-02 	8.357549e-01 
1.799300e-02 	8.302997e-01 
1.829300e-02 	8.247813e-01 
1.859300e-02 	8.192028e-01 
1.889300e-02 	8.135676e-01 
1.919300e-02 	8.078789e-01 
1.949300e-02 	8.021400e-01 
1.979300e-02 	7.963542e-01 
2.009300e-02 	7.905248e-01 
2.039200e-02 	7.846747e-01 
2.069200e-02 	7.787679e-01 
2.099200e-02 	7.728273e-01 
2.129200e-02 	7.668557e-01 
2.159200e-02 	7.608565e-01 
2.189200e-02 	7.548324e-01 
2.219200e-02 	7.487866e-01 
2.249200e-02 	7.427218e-01 
2.279200e-02 	7.366408e-01 
2.309100e-02 	7.305666e-01 
2.339100e-02 	7.244613e-01 
2.369100e-02 	7.183476e-01 
2.399100e-02 	7.122280e-01 
2.429100e-02 	7.061047e-01 
2.459100e-02 	6.999800e-01 
2.489100e-02 	6.938561e-01 
2.519100e-02 	6.877349e-01 
2.549100e-02 	6.816183e-01 
2.579000e-02 	6.755286e-01 
2.609000e-02 	6.694268e-01 
2.639000e-02 	6.633347e-01 
2.669000e-02 	6.572542e-01 
2.699000e-02 	6.511865e-01 
2.729000e-02 	6.451333e-01 
2.759000e-02 	6.390957e-01 
2.789000e-02 	6.330751e-01 
2.818900e-02 	6.270927e-01 
2.848900e-02 	6.211096e-01 
2.878900e-02 	6.151470e-01 
2.908900e-02 	6.092060e-01 
2.938900e-02 	6.032874e-01 
2.968900e-02 	5.973924e-01 
2.998900e-02 	5.915219e-01 
3.028900e-02 	5.856767e-01 
3.058900e-02 	5.798577e-01 
3.088800e-02 	5.740850e-01 
3.118800e-02 	5.683208e-01 
3.148800e-02 	5.625852e-01 
3.178800e-02 	5.568792e-01 
3.208800e-02 	5.512033e-01 
3.238800e-02 	5.455582e-01 
3.268800e-02 	5.399447e-01 
3.298800e-02 	5.343635e-01 
3.328700e-02 	5.288337e-01 
3.358700e-02 	5.233189e-01 
3.388700e-02 	5.178382e-01 
3.418700e-02 	5.123922e-01 
3.448700e-02 	5.069816e-01 
3.478700e-02 	5.016069e-01 
3.508700e-02 	4.962685e-01 
3.538700e-02 	4.909670e-01 
3.568600e-02 	4.857204e-01 
3.598600e-02 	4.804940e-01 
3.628600e-02 	4.753059e-01 
3.658600e-02 	4.701564e-01 
3.688600e-02 	4.650461e-01 
3.718600e-02 	4.599751e-01 
3.748600e-02 	4.549440e-01 
3.778600e-02 	4.499531e-01 
3.808500e-02 	4.450190e-01 
3.838500e-02 	4.401091e-01 
3.868500e-02 	4.352402e-01 
3.898500e-02 	4.304126e-01 
3.928500e-02 	4.256265e-01 
3.958500e-02 	4.208821e-01 
3.988500e-02 	4.161796e-01 
4.018500e-02 	4.115193e-01 
4.048500e-02 	4.069013e-01 
4.078400e-02 	4.023409e-01 
4.108400e-02 	3.978076e-01 
4.138400e-02 	3.933170e-01 
4.168400e-02 	3.888692e-01 
4.198400e-02 	3.844643e-01 
4.228400e-02 	3.801023e-01 
4.258400e-02 	3.757832e-01 
4.288400e-02 	3.715071e-01 
4.318300e-02 	3.672880e-01 
4.348300e-02 	3.630978e-01 
4.378300e-02 	3.589505e-01 
4.408300e-02 	3.548462e-01 
4.438300e-02 	3.507849e-01 
4.468300e-02 	3.467664e-01 
4.498300e-02 	3.427906e-01 
4.528200e-02 	3.388706e-01 
4.558200e-02 	3.349800e-01 
4.588200e-02 	3.311319e-01 
4.618200e-02 	3.273262e-01 
4.648200e-02 	3.235627e-01 
4.678200e-02 	3.198413e-01 
4.708200e-02 	3.161617e-01 
4.738200e-02 	3.125238e-01 
4.768100e-02 	3.089394e-01 
4.798100e-02 	3.053843e-01 
4.828100e-02 	3.018703e-01 
4.858100e-02 	2.983973e-01 
4.888100e-02 	2.949649e-01 
4.918100e-02 	2.915729e-01 
4.948100e-02 	2.882211e-01 
4.978100e-02 	2.849091e-01 
5.008000e-02 	2.816477e-01 
5.038000e-02 	2.784146e-01 
5.068000e-02 	2.752207e-01 
5.098000e-02 	2.720657e-01 
5.128000e-02 	2.689491e-01 
5.158000e-02 	2.658708e-01 
5.188000e-02 	2.628303e-01 
5.217900e-02 	2.598373e-01 
5.247900e-02 	2.568715e-01 
5.277900e-02 	2.539426e-01 
5.307900e-02 	2.510503e-01 
5.337900e-02 	2.481943e-01 
5.367900e-02 	2.453742e-01 
5.397900e-02 	2.425898e-01 
5.427900e-02 	2.398407e-01 
5.457800e-02 	2.371356e-01 
5.487800e-02 	2.344558e-01 
5.517800e-02 	2.318103e-01 
5.547800e-02 	2.291987e-01 
5.577800e-02 	2.266207e-01 
5.607800e-02 	2.240758e-01 
5.637800e-02 	2.215638e-01 
5.667700e-02 	2.190925e-01 
5.697700e-02 	2.166451e-01 
5.727700e-02 	2.142296e-01 
5.757700e-02 	2.118455e-01 
5.787700e-02 	2.094925e-01 
5.817700e-02 	2.071703e-01 
5.847700e-02 	2.048786e-01 
5.877600e-02 	2.026244e-01 
5.907600e-02 	2.003925e-01 
5.937600e-02 	1.981900e-01 
5.967600e-02 	1.960165e-01 
5.997600e-02 	1.938718e-01 
6.027600e-02 	1.917555e-01 
6.057600e-02 	1.896673e-01 
6.087500e-02 	1.876136e-01 
6.117500e-02 	1.855804e-01 
