#q 	 Ifit_avg 
2.999000e-03 	1.000000e+00 
3.284000e-03 	9.982839e-01 
3.570000e-03 	9.965660e-01 
3.856000e-03 	9.948446e-01 
4.141000e-03 	9.931180e-01 
4.427000e-03 	9.913844e-01 
4.712000e-03 	9.896420e-01 
4.998000e-03 	9.878890e-01 
5.284000e-03 	9.861237e-01 
5.569000e-03 	9.843444e-01 
5.855000e-03 	9.825492e-01 
6.140000e-03 	9.807364e-01 
6.426000e-03 	9.789042e-01 
6.712000e-03 	9.770508e-01 
6.997000e-03 	9.751746e-01 
7.283000e-03 	9.732737e-01 
7.568000e-03 	9.713464e-01 
7.854000e-03 	9.693908e-01 
8.140000e-03 	9.674053e-01 
8.425000e-03 	9.653881e-01 
8.711000e-03 	9.633374e-01 
8.996000e-03 	9.612514e-01 
9.282000e-03 	9.591283e-01 
9.568000e-03 	9.569665e-01 
9.853000e-03 	9.547641e-01 
1.013900e-02 	9.525194e-01 
1.042400e-02 	9.502306e-01 
1.071000e-02 	9.478960e-01 
1.099600e-02 	9.455138e-01 
1.128100e-02 	9.430822e-01 
1.156700e-02 	9.405996e-01 
1.185300e-02 	9.380643e-01 
1.213800e-02 	9.354746e-01 
1.242400e-02 	9.328290e-01 
1.270900e-02 	9.301261e-01 
1.299500e-02 	9.273644e-01 
1.328100e-02 	9.245428e-01 
1.356600e-02 	9.216602e-01 
1.385200e-02 	9.187156e-01 
1.413700e-02 	9.157083e-01 
1.442300e-02 	9.126377e-01 
1.470900e-02 	9.095034e-01 
1.499400e-02 	9.063052e-01 
1.528000e-02 	9.030432e-01 
1.556500e-02 	8.997177e-01 
1.585100e-02 	8.963291e-01 
1.613700e-02 	8.928780e-01 
1.642200e-02 	8.893655e-01 
1.670800e-02 	8.857927e-01 
1.699300e-02 	8.821608e-01 
1.727900e-02 	8.784713e-01 
1.756500e-02 	8.747259e-01 
1.785000e-02 	8.709263e-01 
1.813600e-02 	8.670742e-01 
1.842100e-02 	8.631712e-01 
1.870700e-02 	8.592192e-01 
1.899300e-02 	8.552199e-01 
1.927800e-02 	8.511748e-01 
1.956400e-02 	8.470858e-01 
1.984900e-02 	8.429545e-01 
2.013500e-02 	8.387826e-01 
2.042100e-02 	8.345718e-01 
2.070600e-02 	8.303237e-01 
2.099200e-02 	8.260400e-01 
2.127700e-02 	8.217224e-01 
2.156300e-02 	8.173725e-01 
2.184900e-02 	8.129918e-01 
2.213400e-02 	8.085820e-01 
2.242000e-02 	8.041447e-01 
2.270500e-02 	7.996813e-01 
2.299100e-02 	7.951936e-01 
2.327700e-02 	7.906828e-01 
2.356200e-02 	7.861506e-01 
2.384800e-02 	7.815983e-01 
2.413300e-02 	7.770275e-01 
2.441900e-02 	7.724395e-01 
2.470500e-02 	7.678356e-01 
2.499000e-02 	7.632172e-01 
2.527600e-02 	7.585857e-01 
2.556100e-02 	7.539423e-01 
2.584700e-02 	7.492883e-01 
2.613300e-02 	7.446249e-01 
2.641800e-02 	7.399533e-01 
2.670400e-02 	7.352745e-01 
2.698900e-02 	7.305899e-01 
2.727500e-02 	7.259005e-01 
2.756100e-02 	7.212073e-01 
2.784600e-02 	7.165113e-01 
2.813200e-02 	7.118136e-01 
2.841700e-02 	7.071150e-01 
2.870300e-02 	7.024166e-01 
2.898900e-02 	6.977193e-01 
2.927400e-02 	6.930239e-01 
