#q 	 Ifit_avg 
7.110000e-03 	1.000000e+00 
7.880000e-03 	9.919301e-01 
8.650000e-03 	9.838331e-01 
9.420000e-03 	9.756813e-01 
1.019000e-02 	9.674474e-01 
1.095000e-02 	9.592130e-01 
1.172000e-02 	9.507342e-01 
1.249000e-02 	9.420911e-01 
1.326000e-02 	9.332563e-01 
1.403000e-02 	9.242022e-01 
1.480000e-02 	9.149013e-01 
1.557000e-02 	9.053265e-01 
1.634000e-02 	8.954520e-01 
1.710000e-02 	8.853909e-01 
1.787000e-02 	8.748648e-01 
1.864000e-02 	8.640002e-01 
1.941000e-02 	8.528042e-01 
2.018000e-02 	8.412939e-01 
2.095000e-02 	8.294940e-01 
2.172000e-02 	8.174362e-01 
2.249000e-02 	8.051550e-01 
2.325000e-02 	7.928511e-01 
2.402000e-02 	7.802378e-01 
2.479000e-02 	7.675137e-01 
2.556000e-02 	7.547154e-01 
2.633000e-02 	7.418775e-01 
2.710000e-02 	7.290323e-01 
2.787000e-02 	7.162101e-01 
2.864000e-02 	7.034377e-01 
2.940000e-02 	6.909044e-01 
3.017000e-02 	6.783018e-01 
3.094000e-02 	6.658148e-01 
3.171000e-02 	6.534611e-01 
3.248000e-02 	6.412553e-01 
3.325000e-02 	6.292112e-01 
3.402000e-02 	6.173410e-01 
3.479000e-02 	6.056541e-01 
3.555000e-02 	5.943075e-01 
3.632000e-02 	5.830110e-01 
3.709000e-02 	5.719212e-01 
3.786000e-02 	5.610438e-01 
3.863000e-02 	5.503832e-01 
3.940000e-02 	5.399431e-01 
4.017000e-02 	5.297269e-01 
4.094000e-02 	5.197367e-01 
4.170000e-02 	5.100988e-01 
4.247000e-02 	5.005606e-01 
4.324000e-02 	4.912510e-01 
4.401000e-02 	4.821692e-01 
4.478000e-02 	4.733140e-01 
4.555000e-02 	4.646839e-01 
4.632000e-02 	4.562773e-01 
4.709000e-02 	4.480917e-01 
4.785000e-02 	4.402263e-01 
4.862000e-02 	4.324703e-01 
4.939000e-02 	4.249249e-01 
5.016000e-02 	4.175863e-01 
5.093000e-02 	4.104507e-01 
5.170000e-02 	4.035132e-01 
5.247000e-02 	3.967686e-01 
5.324000e-02 	3.902118e-01 
5.400000e-02 	3.839193e-01 
5.477000e-02 	3.777206e-01 
5.554000e-02 	3.716944e-01 
5.631000e-02 	3.658349e-01 
5.708000e-02 	3.601359e-01 
5.785000e-02 	3.545918e-01 
5.862000e-02 	3.491972e-01 
5.938000e-02 	3.440146e-01 
6.015000e-02 	3.389019e-01 
6.092000e-02 	3.339223e-01 
6.169000e-02 	3.290700e-01 
6.246000e-02 	3.243396e-01 
6.323000e-02 	3.197261e-01 
6.400000e-02 	3.152244e-01 
6.477000e-02 	3.108304e-01 
