#q 	 Ifit_avg 
6.577000e-03 	1.000000e+00 
8.007000e-03 	9.942682e-01 
9.438000e-03 	9.884788e-01 
1.086800e-02 	9.825734e-01 
1.229900e-02 	9.764936e-01 
1.373000e-02 	9.701805e-01 
1.516000e-02 	9.635757e-01 
1.659100e-02 	9.566204e-01 
1.802100e-02 	9.492557e-01 
1.945200e-02 	9.414239e-01 
2.088300e-02 	9.330659e-01 
2.231300e-02 	9.241231e-01 
2.374400e-02 	9.145389e-01 
2.517400e-02 	9.042847e-01 
2.660500e-02 	8.933878e-01 
2.803600e-02 	8.818949e-01 
2.946600e-02 	8.698566e-01 
3.089700e-02 	8.573210e-01 
3.232800e-02 	8.443371e-01 
3.375800e-02 	8.309538e-01 
3.518900e-02 	8.172203e-01 
3.661900e-02 	8.031843e-01 
3.805000e-02 	7.888970e-01 
3.948100e-02 	7.744059e-01 
4.091100e-02 	7.597566e-01 
4.234200e-02 	7.449872e-01 
4.377200e-02 	7.301243e-01 
4.520300e-02 	7.151904e-01 
4.663400e-02 	7.002050e-01 
4.806400e-02 	6.851903e-01 
4.949500e-02 	6.701654e-01 
5.092600e-02 	6.551506e-01 
5.235600e-02 	6.401661e-01 
5.378700e-02 	6.252321e-01 
5.521700e-02 	6.103686e-01 
5.664800e-02 	5.955943e-01 
5.807900e-02 	5.809304e-01 
5.950900e-02 	5.663934e-01 
6.094000e-02 	5.519992e-01 
6.237100e-02 	5.377631e-01 
6.380100e-02 	5.237001e-01 
6.523200e-02 	5.098251e-01 
6.666200e-02 	4.961518e-01 
6.809300e-02 	4.826970e-01 
6.952400e-02 	4.694744e-01 
7.095400e-02 	4.564988e-01 
7.238500e-02 	4.437836e-01 
7.381500e-02 	4.313414e-01 
7.524600e-02 	4.191835e-01 
7.667700e-02 	4.073188e-01 
7.810700e-02 	3.957491e-01 
7.953800e-02 	3.844768e-01 
8.096800e-02 	3.735040e-01 
8.239900e-02 	3.628305e-01 
8.383000e-02 	3.524562e-01 
8.526000e-02 	3.423798e-01 
8.669100e-02 	3.326024e-01 
8.812200e-02 	3.231224e-01 
8.955200e-02 	3.139385e-01 
9.098300e-02 	3.050494e-01 
9.241300e-02 	2.964535e-01 
9.384400e-02 	2.881464e-01 
9.527500e-02 	2.801217e-01 
9.670500e-02 	2.723745e-01 
9.813600e-02 	2.648983e-01 
9.956700e-02 	2.576866e-01 
1.009970e-01 	2.507322e-01 
1.024280e-01 	2.440250e-01 
1.038580e-01 	2.375642e-01 
1.052890e-01 	2.313333e-01 
