#q 	 Ifit_avg 
5.659000e-03 	1.000000e+00 
6.049000e-03 	9.973343e-01 
6.439000e-03 	9.946657e-01 
6.829000e-03 	9.919913e-01 
7.220000e-03 	9.893081e-01 
7.610000e-03 	9.866133e-01 
8.000000e-03 	9.839038e-01 
8.390000e-03 	9.811768e-01 
8.781000e-03 	9.784293e-01 
9.171000e-03 	9.756583e-01 
9.561000e-03 	9.728609e-01 
9.952000e-03 	9.700342e-01 
1.034200e-02 	9.671750e-01 
1.073200e-02 	9.642812e-01 
1.112200e-02 	9.613485e-01 
1.151300e-02 	9.583754e-01 
1.190300e-02 	9.553575e-01 
1.229300e-02 	9.522935e-01 
1.268300e-02 	9.491787e-01 
1.307400e-02 	9.460118e-01 
1.346400e-02 	9.427884e-01 
1.385400e-02 	9.395061e-01 
1.424400e-02 	9.361630e-01 
1.463500e-02 	9.327544e-01 
1.502500e-02 	9.292791e-01 
1.541500e-02 	9.257324e-01 
1.580500e-02 	9.221131e-01 
1.619600e-02 	9.184166e-01 
1.658600e-02 	9.146417e-01 
1.697600e-02 	9.107840e-01 
1.736600e-02 	9.068430e-01 
1.775700e-02 	9.028145e-01 
1.814700e-02 	8.986991e-01 
1.853700e-02 	8.944935e-01 
1.892700e-02 	8.901995e-01 
1.931800e-02 	8.858150e-01 
1.970800e-02 	8.813429e-01 
2.009800e-02 	8.767824e-01 
2.048800e-02 	8.721372e-01 
2.087900e-02 	8.674069e-01 
2.126900e-02 	8.625969e-01 
2.165900e-02 	8.577074e-01 
2.204900e-02 	8.527438e-01 
2.244000e-02 	8.477065e-01 
2.283000e-02 	8.426011e-01 
2.322000e-02 	8.374278e-01 
2.361000e-02 	8.321923e-01 
2.400100e-02 	8.268948e-01 
2.439100e-02 	8.215410e-01 
2.478100e-02 	8.161311e-01 
2.517100e-02 	8.106709e-01 
2.556200e-02 	8.051604e-01 
2.595200e-02 	7.996055e-01 
2.634200e-02 	7.940063e-01 
2.673200e-02 	7.883685e-01 
2.712300e-02 	7.826922e-01 
2.751300e-02 	7.769831e-01 
2.790300e-02 	7.712411e-01 
2.829300e-02 	7.654720e-01 
2.868400e-02 	7.596755e-01 
2.907400e-02 	7.538573e-01 
2.946400e-02 	7.480184e-01 
2.985400e-02 	7.421598e-01 
3.024500e-02 	7.362867e-01 
3.063500e-02 	7.303987e-01 
3.102500e-02 	7.245009e-01 
3.141500e-02 	7.185925e-01 
3.180600e-02 	7.126782e-01 
