#q 	 Ifit_avg 
4.430000e-03 	1.000000e+00 
4.716000e-03 	9.984320e-01 
5.002000e-03 	9.968635e-01 
5.288000e-03 	9.952928e-01 
5.573000e-03 	9.937187e-01 
5.859000e-03 	9.921401e-01 
6.145000e-03 	9.905559e-01 
6.431000e-03 	9.889643e-01 
6.717000e-03 	9.873654e-01 
7.003000e-03 	9.857574e-01 
7.288000e-03 	9.841393e-01 
7.574000e-03 	9.825099e-01 
7.860000e-03 	9.808681e-01 
8.146000e-03 	9.792126e-01 
8.432000e-03 	9.775419e-01 
8.717000e-03 	9.758560e-01 
9.003000e-03 	9.741530e-01 
9.289000e-03 	9.724319e-01 
9.575000e-03 	9.706916e-01 
9.861000e-03 	9.689310e-01 
1.014600e-02 	9.671513e-01 
1.043200e-02 	9.653452e-01 
1.071800e-02 	9.635153e-01 
1.100400e-02 	9.616605e-01 
1.129000e-02 	9.597796e-01 
1.157600e-02 	9.578714e-01 
1.186100e-02 	9.559417e-01 
1.214700e-02 	9.539758e-01 
1.243300e-02 	9.519793e-01 
1.271900e-02 	9.499510e-01 
1.300500e-02 	9.478898e-01 
1.329000e-02 	9.458020e-01 
1.357600e-02 	9.436718e-01 
1.386200e-02 	9.415053e-01 
1.414800e-02 	9.393015e-01 
1.443400e-02 	9.370593e-01 
1.472000e-02 	9.347777e-01 
1.500500e-02 	9.324638e-01 
1.529100e-02 	9.301007e-01 
1.557700e-02 	9.276953e-01 
1.586300e-02 	9.252470e-01 
1.614900e-02 	9.227550e-01 
1.643400e-02 	9.202276e-01 
1.672000e-02 	9.176464e-01 
1.700600e-02 	9.150199e-01 
1.729200e-02 	9.123476e-01 
1.757800e-02 	9.096292e-01 
1.786300e-02 	9.068743e-01 
1.814900e-02 	9.040635e-01 
1.843500e-02 	9.012064e-01 
1.872100e-02 	8.983033e-01 
1.900700e-02 	8.953546e-01 
1.929300e-02 	8.923607e-01 
1.957800e-02 	8.893329e-01 
1.986400e-02 	8.862507e-01 
2.015000e-02 	8.831256e-01 
2.043600e-02 	8.799585e-01 
2.072200e-02 	8.767504e-01 
2.100700e-02 	8.735139e-01 
2.129300e-02 	8.702271e-01 
2.157900e-02 	8.669024e-01 
2.186500e-02 	8.635408e-01 
2.215100e-02 	8.601434e-01 
2.243700e-02 	8.567111e-01 
2.272200e-02 	8.532572e-01 
2.300800e-02 	8.497584e-01 
2.329400e-02 	8.462278e-01 
2.358000e-02 	8.426664e-01 
2.386600e-02 	8.390752e-01 
2.415100e-02 	8.354679e-01 
2.443700e-02 	8.318202e-01 
2.472300e-02 	8.281457e-01 
2.500900e-02 	8.244453e-01 
2.529500e-02 	8.207199e-01 
2.558100e-02 	8.169706e-01 
