#q 	 Ifit_avg 
2.999000e-03 	1.000000e+00 
3.284000e-03 	9.988646e-01 
3.570000e-03 	9.977283e-01 
3.856000e-03 	9.965900e-01 
4.141000e-03 	9.954488e-01 
4.427000e-03 	9.943038e-01 
4.712000e-03 	9.931538e-01 
4.998000e-03 	9.919979e-01 
5.284000e-03 	9.908352e-01 
5.569000e-03 	9.896647e-01 
5.855000e-03 	9.884852e-01 
6.140000e-03 	9.872960e-01 
6.426000e-03 	9.860959e-01 
6.712000e-03 	9.848841e-01 
6.997000e-03 	9.836594e-01 
7.283000e-03 	9.824210e-01 
7.568000e-03 	9.811678e-01 
7.854000e-03 	9.798989e-01 
8.140000e-03 	9.786132e-01 
8.425000e-03 	9.773098e-01 
8.711000e-03 	9.759876e-01 
8.996000e-03 	9.746458e-01 
9.282000e-03 	9.732833e-01 
9.568000e-03 	9.718991e-01 
9.853000e-03 	9.704922e-01 
1.013900e-02 	9.690617e-01 
1.042400e-02 	9.676065e-01 
1.071000e-02 	9.661257e-01 
1.099600e-02 	9.646183e-01 
1.128100e-02 	9.630833e-01 
1.156700e-02 	9.615197e-01 
1.185300e-02 	9.599266e-01 
1.213800e-02 	9.583028e-01 
1.242400e-02 	9.566475e-01 
1.270900e-02 	9.549597e-01 
1.299500e-02 	9.532383e-01 
1.328100e-02 	9.514824e-01 
1.356600e-02 	9.496911e-01 
1.385200e-02 	9.478633e-01 
1.413700e-02 	9.459981e-01 
1.442300e-02 	9.440946e-01 
1.470900e-02 	9.421518e-01 
1.499400e-02 	9.401689e-01 
1.528000e-02 	9.381450e-01 
1.556500e-02 	9.360793e-01 
1.585100e-02 	9.339710e-01 
1.613700e-02 	9.318193e-01 
1.642200e-02 	9.296238e-01 
1.670800e-02 	9.273837e-01 
1.699300e-02 	9.250987e-01 
1.727900e-02 	9.227685e-01 
1.756500e-02 	9.203935e-01 
1.785000e-02 	9.179738e-01 
1.813600e-02 	9.155097e-01 
1.842100e-02 	9.130017e-01 
1.870700e-02 	9.104506e-01 
1.899300e-02 	9.078570e-01 
1.927800e-02 	9.052218e-01 
1.956400e-02 	9.025458e-01 
1.984900e-02 	8.998297e-01 
2.013500e-02 	8.970744e-01 
2.042100e-02 	8.942805e-01 
2.070600e-02 	8.914489e-01 
2.099200e-02 	8.885803e-01 
2.127700e-02 	8.856756e-01 
2.156300e-02 	8.827355e-01 
2.184900e-02 	8.797607e-01 
2.213400e-02 	8.767521e-01 
2.242000e-02 	8.737105e-01 
2.270500e-02 	8.706366e-01 
2.299100e-02 	8.675312e-01 
2.327700e-02 	8.643950e-01 
2.356200e-02 	8.612289e-01 
2.384800e-02 	8.580336e-01 
2.413300e-02 	8.548099e-01 
2.441900e-02 	8.515586e-01 
2.470500e-02 	8.482804e-01 
2.499000e-02 	8.449761e-01 
2.527600e-02 	8.416464e-01 
2.556100e-02 	8.382921e-01 
2.584700e-02 	8.349140e-01 
2.613300e-02 	8.315129e-01 
2.641800e-02 	8.280894e-01 
2.670400e-02 	8.246443e-01 
2.698900e-02 	8.211784e-01 
2.727500e-02 	8.176924e-01 
2.756100e-02 	8.141870e-01 
2.784600e-02 	8.106630e-01 
2.813200e-02 	8.071211e-01 
2.841700e-02 	8.035619e-01 
2.870300e-02 	7.999862e-01 
2.898900e-02 	7.963947e-01 
2.927400e-02 	7.927881e-01 
2.956000e-02 	7.891670e-01 
2.984500e-02 	7.855321e-01 
3.013100e-02 	7.818840e-01 
3.041700e-02 	7.782233e-01 
3.070200e-02 	7.745508e-01 
3.098800e-02 	7.708671e-01 
3.127300e-02 	7.671726e-01 
3.155900e-02 	7.634678e-01 
3.184500e-02 	7.597532e-01 
3.213000e-02 	7.560292e-01 
3.241600e-02 	7.522962e-01 
3.270100e-02 	7.485549e-01 
3.298700e-02 	7.448056e-01 
3.327300e-02 	7.410487e-01 
3.355800e-02 	7.372847e-01 
3.384400e-02 	7.335139e-01 
3.413000e-02 	7.297367e-01 
3.441500e-02 	7.259534e-01 
3.470100e-02 	7.221644e-01 
3.498600e-02 	7.183699e-01 
3.527200e-02 	7.145704e-01 
3.555800e-02 	7.107661e-01 
3.584300e-02 	7.069575e-01 
3.612900e-02 	7.031448e-01 
3.641400e-02 	6.993284e-01 
3.670000e-02 	6.955087e-01 
3.698600e-02 	6.916860e-01 
3.727100e-02 	6.878605e-01 
3.755700e-02 	6.840328e-01 
3.784200e-02 	6.802030e-01 
3.812800e-02 	6.763715e-01 
3.841400e-02 	6.725387e-01 
3.869900e-02 	6.687049e-01 
3.898500e-02 	6.648704e-01 
3.927000e-02 	6.610356e-01 
3.955600e-02 	6.572008e-01 
3.984200e-02 	6.533662e-01 
4.012700e-02 	6.495323e-01 
4.041300e-02 	6.456993e-01 
4.069800e-02 	6.418676e-01 
4.098400e-02 	6.380375e-01 
4.127000e-02 	6.342093e-01 
4.155500e-02 	6.303833e-01 
4.184100e-02 	6.265600e-01 
4.212600e-02 	6.227394e-01 
4.241200e-02 	6.189220e-01 
4.269800e-02 	6.151081e-01 
4.298300e-02 	6.112980e-01 
4.326900e-02 	6.074919e-01 
4.355400e-02 	6.036901e-01 
4.384000e-02 	5.998931e-01 
4.412600e-02 	5.961010e-01 
4.441100e-02 	5.923141e-01 
4.469700e-02 	5.885329e-01 
4.498200e-02 	5.847574e-01 
4.526800e-02 	5.809881e-01 
4.555400e-02 	5.772252e-01 
4.583900e-02 	5.734690e-01 
4.612500e-02 	5.697196e-01 
4.641000e-02 	5.659775e-01 
4.669600e-02 	5.622428e-01 
4.698200e-02 	5.585158e-01 
4.726700e-02 	5.547968e-01 
4.755300e-02 	5.510861e-01 
4.783800e-02 	5.473839e-01 
4.812400e-02 	5.436905e-01 
4.841000e-02 	5.400061e-01 
4.869500e-02 	5.363311e-01 
4.898100e-02 	5.326656e-01 
4.926600e-02 	5.290099e-01 
4.955200e-02 	5.253642e-01 
4.983800e-02 	5.217289e-01 
5.012300e-02 	5.181041e-01 
5.040900e-02 	5.144902e-01 
5.069400e-02 	5.108873e-01 
5.098000e-02 	5.072958e-01 
5.126600e-02 	5.037159e-01 
5.155100e-02 	5.001477e-01 
5.183700e-02 	4.965916e-01 
5.212200e-02 	4.930478e-01 
5.240800e-02 	4.895165e-01 
5.269400e-02 	4.859979e-01 
5.297900e-02 	4.824923e-01 
5.326500e-02 	4.789999e-01 
5.355000e-02 	4.755210e-01 
5.383600e-02 	4.720558e-01 
5.412200e-02 	4.686045e-01 
5.440700e-02 	4.651673e-01 
5.469300e-02 	4.617445e-01 
5.497800e-02 	4.583363e-01 
5.526400e-02 	4.549429e-01 
5.555000e-02 	4.515644e-01 
5.583500e-02 	4.482011e-01 
5.612100e-02 	4.448531e-01 
5.640700e-02 	4.415207e-01 
5.669200e-02 	4.382039e-01 
5.697800e-02 	4.349032e-01 
5.726300e-02 	4.316185e-01 
5.754900e-02 	4.283502e-01 
5.783500e-02 	4.250984e-01 
5.812000e-02 	4.218633e-01 
5.840600e-02 	4.186451e-01 
5.869100e-02 	4.154440e-01 
5.897700e-02 	4.122600e-01 
5.926300e-02 	4.090933e-01 
5.954800e-02 	4.059439e-01 
5.983400e-02 	4.028118e-01 
6.011900e-02 	3.996973e-01 
6.040500e-02 	3.966003e-01 
6.069100e-02 	3.935209e-01 
6.097600e-02 	3.904592e-01 
6.126200e-02 	3.874153e-01 
6.154700e-02 	3.843893e-01 
6.183300e-02 	3.813812e-01 
6.211900e-02 	3.783911e-01 
6.240400e-02 	3.754190e-01 
6.269000e-02 	3.724652e-01 
6.297500e-02 	3.695295e-01 
6.326100e-02 	3.666122e-01 
6.354700e-02 	3.637132e-01 
6.383200e-02 	3.608326e-01 
6.411800e-02 	3.579704e-01 
6.440300e-02 	3.551266e-01 
6.468900e-02 	3.523011e-01 
6.497500e-02 	3.494941e-01 
6.526000e-02 	3.467054e-01 
6.554600e-02 	3.439352e-01 
6.583100e-02 	3.411833e-01 
6.611700e-02 	3.384499e-01 
6.640300e-02 	3.357349e-01 
6.668800e-02 	3.330383e-01 
6.697400e-02 	3.303602e-01 
6.725900e-02 	3.277005e-01 
6.754500e-02 	3.250593e-01 
6.783100e-02 	3.224365e-01 
6.811600e-02 	3.198321e-01 
6.840200e-02 	3.172461e-01 
6.868700e-02 	3.146786e-01 
6.897300e-02 	3.121294e-01 
6.925900e-02 	3.095987e-01 
