#q 	 Ifit_avg 
7.110000e-03 	1.000000e+00 
7.880000e-03 	9.921969e-01 
8.650000e-03 	9.843676e-01 
9.420000e-03 	9.764859e-01 
1.019000e-02 	9.685254e-01 
1.095000e-02 	9.605651e-01 
1.172000e-02 	9.523696e-01 
1.249000e-02 	9.440164e-01 
1.326000e-02 	9.354791e-01 
1.403000e-02 	9.267314e-01 
1.480000e-02 	9.177469e-01 
1.557000e-02 	9.084995e-01 
1.634000e-02 	8.989643e-01 
1.710000e-02 	8.892504e-01 
1.787000e-02 	8.790884e-01 
1.864000e-02 	8.685996e-01 
1.941000e-02 	8.577895e-01 
2.018000e-02 	8.466728e-01 
2.095000e-02 	8.352714e-01 
2.172000e-02 	8.236135e-01 
2.249000e-02 	8.117310e-01 
2.325000e-02 	7.998166e-01 
2.402000e-02 	7.875920e-01 
2.479000e-02 	7.752485e-01 
2.556000e-02 	7.628212e-01 
2.633000e-02 	7.503430e-01 
2.710000e-02 	7.378451e-01 
2.787000e-02 	7.253563e-01 
2.864000e-02 	7.129026e-01 
2.940000e-02 	7.006685e-01 
3.017000e-02 	6.883528e-01 
3.094000e-02 	6.761360e-01 
3.171000e-02 	6.640355e-01 
3.248000e-02 	6.520658e-01 
3.325000e-02 	6.402405e-01 
3.402000e-02 	6.285718e-01 
3.479000e-02 	6.170695e-01 
3.555000e-02 	6.058886e-01 
3.632000e-02 	5.947435e-01 
3.709000e-02 	5.837887e-01 
3.786000e-02 	5.730301e-01 
3.863000e-02 	5.624721e-01 
3.940000e-02 	5.521186e-01 
4.017000e-02 	5.419733e-01 
4.094000e-02 	5.320384e-01 
4.170000e-02 	5.224399e-01 
4.247000e-02 	5.129264e-01 
4.324000e-02 	5.036267e-01 
4.401000e-02 	4.945401e-01 
4.478000e-02 	4.856659e-01 
4.555000e-02 	4.770031e-01 
4.632000e-02 	4.685503e-01 
4.709000e-02 	4.603055e-01 
4.785000e-02 	4.523693e-01 
4.862000e-02 	4.445299e-01 
4.939000e-02 	4.368897e-01 
5.016000e-02 	4.294455e-01 
5.093000e-02 	4.221939e-01 
5.170000e-02 	4.151307e-01 
5.247000e-02 	4.082511e-01 
5.324000e-02 	4.015507e-01 
5.400000e-02 	3.951086e-01 
5.477000e-02 	3.887507e-01 
5.554000e-02 	3.825585e-01 
5.631000e-02 	3.765266e-01 
5.708000e-02 	3.706495e-01 
5.785000e-02 	3.649220e-01 
5.862000e-02 	3.593396e-01 
5.938000e-02 	3.539676e-01 
6.015000e-02 	3.486596e-01 
6.092000e-02 	3.434818e-01 
6.169000e-02 	3.384290e-01 
6.246000e-02 	3.334963e-01 
6.323000e-02 	3.286793e-01 
6.400000e-02 	3.239735e-01 
6.477000e-02 	3.193750e-01 
6.553000e-02 	3.149373e-01 
6.630000e-02 	3.105391e-01 
6.707000e-02 	3.062348e-01 
6.784000e-02 	3.020201e-01 
6.861000e-02 	2.978912e-01 
6.938000e-02 	2.938450e-01 
7.015000e-02 	2.898784e-01 
7.091000e-02 	2.860381e-01 
7.168000e-02 	2.822199e-01 
7.245000e-02 	2.784714e-01 
7.322000e-02 	2.747894e-01 
7.399000e-02 	2.711715e-01 
7.476000e-02 	2.676154e-01 
7.553000e-02 	2.641188e-01 
7.630000e-02 	2.606793e-01 
7.706000e-02 	2.573382e-01 
7.783000e-02 	2.540051e-01 
7.860000e-02 	2.507223e-01 
7.937000e-02 	2.474880e-01 
8.014000e-02 	2.443010e-01 
8.110000e-02 	2.403917e-01 
8.206000e-02 	2.365508e-01 
8.283000e-02 	2.335176e-01 
8.360000e-02 	2.305249e-01 
8.437000e-02 	2.275710e-01 
8.514000e-02 	2.246549e-01 
8.610000e-02 	2.210707e-01 
8.706000e-02 	2.175425e-01 
8.783000e-02 	2.147522e-01 
8.859000e-02 	2.120315e-01 
8.955000e-02 	2.086407e-01 
9.052000e-02 	2.052644e-01 
9.128000e-02 	2.026532e-01 
9.224000e-02 	1.993968e-01 
9.321000e-02 	1.961530e-01 
9.417000e-02 	1.929874e-01 
9.513000e-02 	1.898653e-01 
9.609000e-02 	1.867856e-01 
9.705000e-02 	1.837470e-01 
9.801000e-02 	1.807483e-01 
9.897000e-02 	1.777887e-01 
9.993000e-02 	1.748675e-01 
1.010800e-01 	1.714176e-01 
1.020400e-01 	1.685784e-01 
1.030100e-01 	1.657466e-01 
1.041600e-01 	1.624366e-01 
1.051200e-01 	1.597124e-01 
1.060800e-01 	1.570228e-01 
1.072300e-01 	1.538453e-01 
1.083900e-01 	1.506874e-01 
1.093500e-01 	1.481091e-01 
1.103100e-01 	1.455622e-01 
1.114600e-01 	1.425519e-01 
1.126100e-01 	1.395859e-01 
1.137700e-01 	1.366395e-01 
1.149200e-01 	1.337634e-01 
1.160700e-01 	1.309311e-01 
1.172200e-01 	1.281418e-01 
1.183800e-01 	1.253705e-01 
1.195300e-01 	1.226641e-01 
1.206800e-01 	1.199979e-01 
1.220300e-01 	1.169192e-01 
1.233700e-01 	1.139179e-01 
1.245300e-01 	1.113639e-01 
1.256800e-01 	1.088723e-01 
1.270200e-01 	1.060190e-01 
1.283700e-01 	1.031978e-01 
1.295200e-01 	1.008367e-01 
1.308700e-01 	9.811397e-02 
1.322100e-01 	9.546337e-02 
1.333600e-01 	9.322948e-02 
1.347100e-01 	9.065481e-02 
1.360500e-01 	8.814974e-02 
1.374000e-01 	8.567661e-02 
1.389300e-01 	8.293459e-02 
1.402800e-01 	8.056841e-02 
1.416200e-01 	7.826869e-02 
1.431600e-01 	7.568534e-02 
1.445100e-01 	7.347267e-02 
1.458500e-01 	7.132393e-02 
1.473900e-01 	6.891241e-02 
1.489200e-01 	6.657728e-02 
1.504600e-01 	6.428737e-02 
1.520000e-01 	6.205756e-02 
1.535300e-01 	5.990105e-02 
1.550700e-01 	5.778899e-02 
1.566100e-01 	5.573499e-02 
1.581400e-01 	5.375118e-02 
1.596800e-01 	5.181118e-02 
1.612200e-01 	4.992750e-02 
1.627500e-01 	4.811106e-02 
1.644800e-01 	4.612260e-02 
1.662100e-01 	4.420305e-02 
1.677500e-01 	4.255155e-02 
1.694800e-01 	4.075981e-02 
1.712100e-01 	3.903461e-02 
1.729400e-01 	3.737520e-02 
1.746600e-01 	3.578960e-02 
1.763900e-01 	3.425816e-02 
1.781200e-01 	3.278912e-02 
1.798500e-01 	3.138138e-02 
1.817700e-01 	2.988961e-02 
1.835000e-01 	2.860805e-02 
1.852300e-01 	2.738490e-02 
1.871500e-01 	2.609437e-02 
1.890700e-01 	2.487239e-02 
1.909900e-01 	2.371690e-02 
1.929100e-01 	2.262573e-02 
1.948300e-01 	2.159690e-02 
1.967500e-01 	2.062871e-02 
1.986700e-01 	1.971947e-02 
2.005900e-01 	1.886740e-02 
2.027000e-01 	1.799462e-02 
2.048200e-01 	1.718210e-02 
2.067400e-01 	1.649957e-02 
2.088500e-01 	1.580544e-02 
2.109600e-01 	1.516741e-02 
2.130700e-01 	1.458302e-02 
2.151900e-01 	1.404742e-02 
2.173000e-01 	1.356311e-02 
2.196000e-01 	1.308759e-02 
2.217100e-01 	1.269668e-02 
2.238300e-01 	1.234511e-02 
2.261300e-01 	1.200752e-02 
2.284300e-01 	1.171248e-02 
2.307400e-01 	1.145591e-02 
2.330400e-01 	1.123711e-02 
2.353500e-01 	1.105130e-02 
2.376500e-01 	1.089732e-02 
2.401400e-01 	1.076244e-02 
2.426400e-01 	1.065708e-02 
2.449400e-01 	1.058407e-02 
2.474400e-01 	1.052791e-02 
2.499300e-01 	1.049323e-02 
2.524300e-01 	1.047703e-02 
2.549300e-01 	1.047691e-02 
2.574200e-01 	1.049034e-02 
2.601100e-01 	1.051734e-02 
2.626000e-01 	1.055147e-02 
2.651000e-01 	1.059227e-02 
2.679100e-01 	1.064343e-02 
2.704700e-01 	1.069327e-02 
2.731600e-01 	1.074796e-02 
2.758500e-01 	1.080424e-02 
2.787200e-01 	1.086518e-02 
