#q 	 Ifit_avg 
1.657400e-02 	1.000000e+00 
1.800200e-02 	9.873228e-01 
1.943100e-02 	9.745830e-01 
2.086000e-02 	9.617346e-01 
2.228900e-02 	9.487229e-01 
2.371800e-02 	9.354933e-01 
2.514600e-02 	9.220006e-01 
2.657500e-02 	9.081712e-01 
2.800400e-02 	8.939598e-01 
2.943300e-02 	8.793116e-01 
3.086200e-02 	8.641729e-01 
3.229000e-02 	8.485106e-01 
3.371900e-02 	8.322921e-01 
3.514800e-02 	8.155702e-01 
3.657700e-02 	7.984094e-01 
3.800600e-02 	7.808755e-01 
3.943500e-02 	7.630342e-01 
4.086300e-02 	7.449641e-01 
4.229200e-02 	7.267056e-01 
4.372100e-02 	7.083363e-01 
4.515000e-02 	6.899191e-01 
4.657900e-02 	6.715129e-01 
4.800700e-02 	6.531825e-01 
4.943600e-02 	6.349443e-01 
5.086500e-02 	6.168417e-01 
5.229400e-02 	5.988987e-01 
5.372300e-02 	5.811362e-01 
5.515100e-02 	5.635874e-01 
5.658000e-02 	5.462485e-01 
5.800900e-02 	5.291520e-01 
5.943800e-02 	5.123176e-01 
6.086700e-02 	4.957636e-01 
6.229500e-02 	4.795183e-01 
6.372400e-02 	4.635742e-01 
6.515300e-02 	4.479565e-01 
6.658200e-02 	4.326763e-01 
6.801100e-02 	4.177443e-01 
6.943900e-02 	4.031805e-01 
7.086800e-02 	3.889738e-01 
7.229700e-02 	3.751438e-01 
7.372600e-02 	3.616990e-01 
7.515500e-02 	3.486471e-01 
7.658300e-02 	3.360037e-01 
7.801200e-02 	3.237557e-01 
7.944100e-02 	3.119157e-01 
8.087000e-02 	3.004844e-01 
8.229900e-02 	2.894582e-01 
8.372800e-02 	2.788334e-01 
8.515600e-02 	2.686118e-01 
8.658500e-02 	2.587717e-01 
8.801400e-02 	2.493132e-01 
8.944300e-02 	2.402290e-01 
9.087100e-02 	2.315179e-01 
9.230000e-02 	2.231599e-01 
9.372900e-02 	2.151537e-01 
9.515800e-02 	2.074915e-01 
9.658700e-02 	2.001641e-01 
9.801600e-02 	1.931610e-01 
9.944400e-02 	1.864766e-01 
1.008730e-01 	1.800909e-01 
1.023020e-01 	1.739977e-01 
1.037310e-01 	1.681853e-01 
1.051600e-01 	1.626418e-01 
1.065880e-01 	1.573598e-01 
1.080170e-01 	1.523213e-01 
1.094460e-01 	1.475195e-01 
1.108750e-01 	1.429441e-01 
1.123040e-01 	1.385848e-01 
1.137320e-01 	1.344342e-01 
1.151610e-01 	1.304766e-01 
1.165900e-01 	1.267055e-01 
1.180190e-01 	1.231111e-01 
1.194480e-01 	1.196833e-01 
1.208760e-01 	1.164144e-01 
1.223050e-01 	1.132910e-01 
1.237340e-01 	1.103067e-01 
1.251630e-01 	1.074526e-01 
1.265920e-01 	1.047200e-01 
1.280200e-01 	1.021032e-01 
1.294490e-01 	9.959223e-02 
1.308780e-01 	9.718239e-02 
1.323070e-01 	9.486724e-02 
1.337360e-01 	9.264034e-02 
1.351640e-01 	9.049708e-02 
1.365930e-01 	8.842916e-02 
1.380220e-01 	8.643292e-02 
1.394510e-01 	8.450315e-02 
1.408800e-01 	8.263466e-02 
1.423080e-01 	8.082363e-02 
1.437370e-01 	7.906376e-02 
1.451660e-01 	7.735325e-02 
1.465950e-01 	7.568897e-02 
1.480240e-01 	7.406783e-02 
1.494520e-01 	7.248781e-02 
1.508810e-01 	7.094368e-02 
1.523100e-01 	6.943423e-02 
1.537390e-01 	6.795741e-02 
1.551680e-01 	6.651122e-02 
1.565960e-01 	6.509457e-02 
1.580250e-01 	6.370341e-02 
1.594540e-01 	6.233752e-02 
1.608830e-01 	6.099594e-02 
1.623120e-01 	5.967777e-02 
1.637410e-01 	5.838210e-02 
1.651690e-01 	5.710877e-02 
1.665980e-01 	5.585480e-02 
1.680270e-01 	5.462013e-02 
1.694560e-01 	5.340440e-02 
1.708850e-01 	5.220736e-02 
1.723130e-01 	5.102958e-02 
1.737420e-01 	4.986917e-02 
1.751710e-01 	4.872688e-02 
1.766000e-01 	4.760267e-02 
1.780290e-01 	4.649653e-02 
1.794570e-01 	4.540908e-02 
1.808860e-01 	4.433857e-02 
1.823150e-01 	4.328549e-02 
1.837440e-01 	4.224961e-02 
1.851730e-01 	4.123097e-02 
1.866010e-01 	4.023058e-02 
1.880300e-01 	3.924737e-02 
1.894590e-01 	3.828232e-02 
1.908880e-01 	3.733549e-02 
1.923170e-01 	3.640686e-02 
1.937450e-01 	3.549705e-02 
1.951740e-01 	3.460477e-02 
1.966030e-01 	3.373063e-02 
1.980320e-01 	3.287465e-02 
1.994610e-01 	3.203684e-02 
